row,section,function_group,line_item,kind,fy23_actual,fy24_actual,fy25_actual,fy25_budget,fy26_final,fy26_actual_td,fy26_encumb_td,fy27_restoration,fy27_core,fy27_level_service,fy27_balanced,forecast_outyear,restoration_2_24_26,comments
6,EXPENSES,,"DESCRIPTION, EXPENSES",line,,,,,,,,,,,,,,
7,EXPENSES,1110 - School Committee,1110 - School Committee,line,,,,,,,,,,,,8612.0,,
8,EXPENSES,1110 - School Committee,Staff Orientation Expenses,line,,,,250.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,
9,EXPENSES,1110 - School Committee,Dues/Meetings,line,3950.0,,5971.0,5971.0,6500.0,6111.0,0.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,
10,EXPENSES,1110 - School Committee,Classified Ads,line,996.88,2296.19,140.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,
11,EXPENSES,1110 - School Committee,School Committee Gen Supplies,line,79.96,40.0,,100.0,100.0,54.55,0.0,100.0,100.0,100.0,100.0,112.0,100.0,
12,EXPENSES,1210 - Superintendent Office,1210 - Superintendent Office,line,,,,,,,,,,,,15669.5,,
13,EXPENSES,1210 - Superintendent Office,Postage - System Wide,line,3872.49,5622.32,3812.7,5000.0,5350.0,0.0,1000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,
14,EXPENSES,1210 - Superintendent Office,Dues/Meetings,line,7752.11,11191.0,3988.0,5000.0,8000.0,2957.0,564.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,
15,EXPENSES,1210 - Superintendent Office,Supt. General Supplies,line,738.88,463.6,1117.78,1000.0,1500.0,355.0,4607.84,1590.0,1590.0,1590.0,1590.0,1669.5,1590.0,
16,EXPENSES,1410 - Business Office,1410 - Business Office,line,,,,,,,,,,,,11826.0,,
17,EXPENSES,1410 - Business Office,Business Office/Contracted Services,line,5250.0,49375.0,5927.5,6000.0,7000.0,21806.25,1331.25,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,
18,EXPENSES,1410 - Business Office,Admin Contr'd Technology Support (TSA),line,1533.83,1156.2,868.56,1600.0,1600.0,580.92,446.12,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,
19,EXPENSES,1410 - Business Office,Business Office General Supplies,line,5119.41,1274.0,,2500.0,2000.0,234.0,0.0,2120.0,2120.0,2120.0,2120.0,2226.0,2120.0,
20,EXPENSES,1430 - Legal,1430 - Legal,line,,,,,,,,,,,,35000.0,,
21,EXPENSES,1430 - Legal,School Committee Legal Expenses,line,36593.75,38561.25,26461.25,28000.0,35000.0,8197.16,411.25,50000.0,50000.0,50000.0,50000.0,35000.0,35000.0,how is FY26 tracking? Is FY27 increase justified based on FY26 spend? Yes based on actual spending
22,EXPENSES,1450 - Info Management & Tech Expense,1450 - Info Management & Tech Expense,line,,,,,,,,,,,,72355.0,,
23,EXPENSES,1450 - Info Management & Tech Expense,Admin Tech Contracted Services,line,241843.52,174976.87,143850.66,190327.0,156950.0,100778.74,22720.0,157256.0,154981.0,154981.0,154981.0,72355.0,157256.0,
24,EXPENSES,1450 - Info Management & Tech Expense,Admin Tech General Supplies,line,3352.57,,60.0,6000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,
25,EXPENSES,2000 - Instructional Services,2000 - Instructional Services,line,,,,,,,,,,,,1500.0,,
26,EXPENSES,2000 - Instructional Services,Mileage District  Reimbursements,line,904.82,800.0,1500.0,1000.0,500.0,226.8,0.0,500.0,500.0,500.0,500.0,1500.0,1500.0,Does FY26 spend thus far justify this increase in FY27? Level Funded
27,EXPENSES,2110 - Special Education,2110 - Special Education,line,,,,,,,,,,,,37335.0,,
28,EXPENSES,2110 - Special Education,Special Ed Genrl Office Suppls,line,559.72,669.53,735.13,800.0,800.0,533.95,274.9,800.0,800.0,800.0,800.0,800.0,800.0,
29,EXPENSES,2110 - Special Education,Special Ed Legal Services,line,,,1900.0,17000.0,25000.0,300.0,4700.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,
30,EXPENSES,2110 - Special Education,Specl Ed Computer Contracted Services,line,,26982.67,,20758.0,6000.0,0.0,4892.73,4573.0,4573.0,4573.0,4573.0,5533.0,4573.0,
31,EXPENSES,2110 - Special Education,Specl Ed Collabrtv Admin Fees,line,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,0.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,
32,EXPENSES,2110 - Special Education,Special Ed Travel Expenses,line,,,,,,,,,,,,,,
33,EXPENSES,2110 - Special Education,ELL General Supplies,line,2642.91,4093.62,3108.54,8000.0,8000.0,848.44,263.64,11702.0,11702.0,11702.0,11702.0,12502.0,11702.0,Does FY26 spend thus far justify this increase in FY27? Yes
34,EXPENSES,2110 - Special Education,504 Program General Supplies,line,,,,,,,,,,,,,,
35,EXPENSES,2110 - Special Education,ACE General Supplies,line,1177.0,2942.64,3382.9,6000.0,12000.0,1892.08,1871.92,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,
36,EXPENSES,2110 - System Curriculum Adop,2110 - System Curriculum Adop,line,,,,,,,,,,,,77550.0,,
37,EXPENSES,2110 - System Curriculum Adop,Curriculum Adoption/System,line,43043.06,10639.12,48854.94,35000.0,0.0,0.0,0.0,40408.0,40408.0,40408.0,0.0,30000.0,40408.0,
38,EXPENSES,2110 - System Curriculum Adop,Curriculum Adoption,line,32946.29,11629.4,6056.6,17686.0,40000.0,31501.08,2578.0,,,,,,,what happened to this line in FY27?
39,EXPENSES,2110 - System Curriculum Adop,District Wide Curriculum Materials,line,,,,,,,,9510.0,9510.0,9510.0,9510.0,47550.0,9510.0,"new line? Yes, new line"
41,EXPENSES,2210 - P.S. Principals Office,2210 - P.S. Principals Office,line,,,,,,,,,,,,4189.5,,
42,EXPENSES,2210 - P.S. Principals Office,P.S. Office Supplies & Matrls,line,1638.85,2235.57,2226.37,6607.0,3703.0,1116.1,78.15,3800.0,3800.0,3800.0,3800.0,4189.5,3800.0,
43,EXPENSES,2210 - E.S. Principals Office,2210 - E.S. Principals Office,line,,,,,,,,,,,,3508.0,,
44,EXPENSES,2210 - E.S. Principals Office,E.S. Office Supplies & Matrls,line,2868.66,3361.37,2342.94,5290.0,3450.0,355.24,6.76,3400.0,3400.0,3400.0,3400.0,3508.0,3400.0,
45,EXPENSES,2210 - M.S. Principals Office,2210 - M.S. Principals Office,line,,,,,,,,,,,,5645.0,,
46,EXPENSES,2210 - M.S. Principals Office,M.S. Office Supplies & Matrls,line,2444.06,2482.9,715.62,4300.0,2518.0,799.97,0.0,3800.0,3800.0,3800.0,3800.0,5645.0,3800.0,
48,EXPENSES,2210 - H.S. Principals Office,2210 - H.S. Principals Office,line,,,,,,,,,,,,23154.0,,
49,EXPENSES,2210 - H.S. Principals Office,H.S. Office Supplies & Matrls,line,4855.48,4836.13,2422.81,7200.0,2938.0,932.79,222.42,3800.0,3800.0,3800.0,3800.0,5676.0,3800.0,
50,EXPENSES,2210 - H.S. Principals Office,H.S. Graduation Expenses,line,7934.71,8250.65,8038.54,10000.0,10378.0,33.35,1616.65,10378.0,10378.0,10378.0,10378.0,10378.0,10378.0,
51,EXPENSES,2210 - H.S. Principals Office,H.S. Accreditation,line,,,4605.0,4500.0,4700.0,4745.0,0.0,4700.0,4700.0,4700.0,4700.0,4700.0,4700.0,
52,EXPENSES,2210 - H.S. Principals Office,H.S. Memberships,line,,,,0.0,2400.0,0.0,0.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,
53,EXPENSES,2310 - Tutoring Cont. Ser.,2310 - Tutoring Cont. Ser.,line,,,,,,,,,,,,175300.0,,
54,EXPENSES,2310 - Tutoring Cont. Ser.,Special Ed Hospital Tutoring,line,6635.46,6692.79,5977.89,6000.0,10000.0,4922.32,5077.68,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,How is FY26 tracking? Actuals for FY23-FY25 relatively flat at $6K-$7K
55,EXPENSES,2310 - Tutoring Cont. Ser.,Spcl Ed Contrtd Related Services,line,117197.19,144922.03,130041.85,103000.0,103000.0,71970.29,30926.54,130000.0,130000.0,130000.0,130000.0,157300.0,130000.0,
56,EXPENSES,2310 - Tutoring Cont. Ser.,Special Ed Contrctd Evaluations,line,,4810.62,11711.88,5000.0,5000.0,0.0,658.27,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,
57,EXPENSES,2357 - Professional Dev,2357 - Professional Dev,line,,,,,,,,,,,,41800.0,,
58,EXPENSES,2357 - Professional Dev,Prof Development - H.S.,line,,,,0.0,1800.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,
59,EXPENSES,2357 - Professional Dev,Prof Development - System Expenses,line,15159.78,26495.16,32924.95,35000.0,40000.0,24562.63,15971.29,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,
60,EXPENSES,2410 - H.S. Textbooks,2410 - H.S. Textbooks,line,,,,,,,,,,,,10256.65,,
61,EXPENSES,2410 - H.S. Textbooks,H.S. English Textbooks,line,,2260.88,3417.36,7340.0,2875.0,2311.94,309.84,3075.0,3075.0,3075.0,3075.0,8385.0,3075.0,
62,EXPENSES,2410 - H.S. Textbooks,H.S. World Language Textbooks,line,,2020.02,3042.32,4227.0,1206.0,1020.21,145.04,1826.0,1826.0,1826.0,1826.0,1871.65,1826.0,
63,EXPENSES,2410 - H.S. Textbooks,SCIENCE TEXTBOOKS,line,,,14355.0,17250.0,,0.0,0.0,,,,,,,
64,EXPENSES,2410 - H.S. Textbooks,MATH TEXTBOOKS,line,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5750.0,5750.0,5750.0,5750.0,,5750.0,
65,EXPENSES,2415 - P.S. Other Instr. Materials,2415 - P.S. Other Instr. Materials,line,,,,,,,,,,,,45859.02,,
66,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Art Supplies,line,1492.0,1427.65,575.59,600.0,795.49,420.95,366.37,500.0,500.0,500.0,500.0,551.25,500.0,
67,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Workbooks,line,,,,11000.0,8103.65,12326.24,0.0,27134.0,27134.0,27134.0,27134.0,29915.24,27134.0,only spend in FY26 & FY27 with FY27 being much higher
68,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Reading Supplies,line,577.41,2755.17,314.48,575.0,1260.4,2224.04,0.0,5391.0,5391.0,5391.0,5391.0,5943.58,5391.0,
69,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Math Supplies,line,1146.66,1263.24,,500.0,109.25,0.0,0.0,2400.0,2400.0,2400.0,2400.0,2646.0,2400.0,
70,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Library Periodicals,line,0.0,0.0,0.0,,69.0,0.0,0.0,70.0,70.0,70.0,70.0,77.7,70.0,
71,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Library Expenses,line,862.05,848.24,529.02,600.0,287.81,138.78,80.58,1000.0,1000.0,1000.0,1000.0,4740.75,1000.0,
72,EXPENSES,2415 - P.S. Other Instr. Materials,LIBRARY BOOKS,line,498.71,,,0.0,,0.0,0.0,,,,,,,
73,EXPENSES,2415 - P.S. Other Instr. Materials,P.S. Special Education Instr. Materials,line,1294.48,1843.26,,1869.0,1530.65,791.06,,1800.0,1800.0,1800.0,1800.0,1984.5,1800.0,
74,EXPENSES,2415 - E.S. Other Instr. Materials,2415 - E.S. Other Instr. Materials,line,,,,,,,,,,,,25400.44,,
75,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Workbooks,line,,,,12000.0,11341.0,9067.58,175.43,15000.0,15000.0,15000.0,15000.0,16223.0,15000.0,only spend in FY26 & FY27
76,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Reading Supplies,line,2175.21,,,,609.0,549.63,0.0,682.0,682.0,682.0,682.0,763.84,682.0,
77,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Math Supplies,line,414.88,,3017.5,13404.0,44.0,26.64,0.0,49.0,49.0,49.0,49.0,54.88,49.0,
78,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Social Studies,line,462.38,211.34,228.79,339.0,123.0,106.98,0.0,138.0,138.0,138.0,138.0,154.56,138.0,
79,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Art Supplies,line,829.55,676.52,,,1094.0,399.47,0.53,1225.0,1225.0,1225.0,1225.0,1372.0,1225.0,
80,EXPENSES,2415 - E.S. Other Instr. Materials,PERIODICALS,line,262.0,59.9,,65.0,,,,,,,,,,
81,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Library Expenses,line,360.0,1543.7,,1439.0,2080.0,0.0,0.0,2330.0,2330.0,2330.0,2330.0,2609.6,2330.0,
82,EXPENSES,2415 - E.S. Other Instr. Materials,LIBRARY BOOKS,line,1667.0,4083.76,,4600.0,,,,,,,,,,
83,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Audio Visual/ Technology Supplies,line,4979.0,4231.42,,873.0,1150.0,962.49,0.0,1288.0,1288.0,1288.0,1288.0,1442.56,1288.0,
84,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Special Education Instr. Materials,line,2965.24,792.12,386.04,614.0,1492.0,1310.96,0.0,3317.0,3317.0,3317.0,3317.0,1492.0,3317.0,
85,EXPENSES,2415 - E.S. Other Instr. Materials,E.S. Music,line,,,,,,,,500.0,500.0,500.0,500.0,1288.0,500.0,new line in FY27?
86,EXPENSES,2415 - M.S. Other Instr. Materials,2415 - M.S. Other Instr. Materials,line,,,,,,,,,,,,25620.0,,
87,EXPENSES,2415 - M.S. Other Instr. Materials,M.S. Workbooks,line,973.0,,9711.25,17435.0,375.0,296.35,0.0,420.0,420.0,420.0,420.0,470.4,420.0,"spike in FY25, are FY26 & FY27 OK at such a low number? Purchased reading system in FY25?"
88,EXPENSES,2415 - M.S. Other Instr. Materials,M.S. ELA Supplies,line,616.62,1554.82,684.36,740.0,962.0,642.07,193.93,1077.0,1077.0,1077.0,1077.0,1206.24,1077.0,
89,EXPENSES,2415 - M.S. Other Instr. Materials,M.S. Math Supplies,line,1066.68,1575.93,538.65,1171.0,1576.0,1124.67,177.07,1765.0,1765.0,1765.0,1765.0,1976.8,1765.0,
90,EXPENSES,2415 - M.S. Other Instr. Materials,M.S. Social Studies,line,890.44,1597.91,3866.83,3900.0,6082.0,4527.24,38.62,6812.0,6812.0,6812.0,6812.0,7629.44,6812.0,
