board,board_id,date,kind,file_id,path,url,has_text
Agricultural Commission,2,2017-03-09,agenda,504,agricultural-commission/2017-03-09-agenda-504.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03092017-504,Y
Agricultural Commission,2,2017-03-09,minutes,504,agricultural-commission/2017-03-09-minutes-504.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03092017-504,Y
Agricultural Commission,2,2017-04-20,agenda,505,agricultural-commission/2017-04-20-agenda-505.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04202017-505,Y
Agricultural Commission,2,2017-04-20,minutes,505,agricultural-commission/2017-04-20-minutes-505.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04202017-505,Y
Agricultural Commission,2,2017-06-08,agenda,508,agricultural-commission/2017-06-08-agenda-508.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06082017-508,Y
Agricultural Commission,2,2017-06-08,minutes,508,agricultural-commission/2017-06-08-minutes-508.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06082017-508,Y
Agricultural Commission,2,2017-07-20,agenda,503,agricultural-commission/2017-07-20-agenda-503.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202017-503,Y
Agricultural Commission,2,2017-07-20,minutes,503,agricultural-commission/2017-07-20-minutes-503.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07202017-503,Y
Agricultural Commission,2,2017-10-05,agenda,506,agricultural-commission/2017-10-05-agenda-506.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10052017-506,Y
Agricultural Commission,2,2017-10-05,minutes,506,agricultural-commission/2017-10-05-minutes-506.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10052017-506,Y
Agricultural Commission,2,2017-11-16,agenda,507,agricultural-commission/2017-11-16-agenda-507.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11162017-507,Y
Agricultural Commission,2,2017-11-16,minutes,507,agricultural-commission/2017-11-16-minutes-507.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11162017-507,Y
Agricultural Commission,2,2018-01-18,agenda,473,agricultural-commission/2018-01-18-agenda-473.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01182018-473,Y
Agricultural Commission,2,2018-01-18,minutes,473,agricultural-commission/2018-01-18-minutes-473.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01182018-473,Y
Agricultural Commission,2,2018-02-15,agenda,474,agricultural-commission/2018-02-15-agenda-474.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02152018-474,Y
Agricultural Commission,2,2018-02-15,minutes,474,agricultural-commission/2018-02-15-minutes-474.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02152018-474,Y
Agricultural Commission,2,2018-04-10,agenda,475,agricultural-commission/2018-04-10-agenda-475.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04102018-475,Y
Agricultural Commission,2,2018-04-10,minutes,475,agricultural-commission/2018-04-10-minutes-475.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04102018-475,Y
Agricultural Commission,2,2018-04-19,agenda,476,agricultural-commission/2018-04-19-agenda-476.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04192018-476,Y
Agricultural Commission,2,2018-04-19,minutes,476,agricultural-commission/2018-04-19-minutes-476.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04192018-476,Y
Agricultural Commission,2,2018-06-21,agenda,477,agricultural-commission/2018-06-21-agenda-477.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06212018-477,Y
Agricultural Commission,2,2018-07-12,agenda,478,agricultural-commission/2018-07-12-agenda-478.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07122018-478,Y
Agricultural Commission,2,2018-07-12,minutes,478,agricultural-commission/2018-07-12-minutes-478.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07122018-478,Y
Agricultural Commission,2,2018-08-16,agenda,482,agricultural-commission/2018-08-16-agenda-482.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08162018-482,Y
Agricultural Commission,2,2018-08-16,minutes,482,agricultural-commission/2018-08-16-minutes-482.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08162018-482,Y
Agricultural Commission,2,2018-10-18,agenda,479,agricultural-commission/2018-10-18-agenda-479.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10182018-479,Y
Agricultural Commission,2,2018-10-18,minutes,479,agricultural-commission/2018-10-18-minutes-479.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10182018-479,Y
Agricultural Commission,2,2018-11-15,agenda,480,agricultural-commission/2018-11-15-agenda-480.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11152018-480,Y
Agricultural Commission,2,2018-11-15,minutes,480,agricultural-commission/2018-11-15-minutes-480.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11152018-480,Y
Agricultural Commission,2,2018-12-20,agenda,481,agricultural-commission/2018-12-20-agenda-481.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12202018-481,Y
Agricultural Commission,2,2018-12-20,minutes,481,agricultural-commission/2018-12-20-minutes-481.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12202018-481,Y
Agricultural Commission,2,2019-01-17,agenda,509,agricultural-commission/2019-01-17-agenda-509.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01172019-509,Y
Agricultural Commission,2,2019-02-21,agenda,514,agricultural-commission/2019-02-21-agenda-514.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02212019-514,Y
Agricultural Commission,2,2019-03-21,agenda,515,agricultural-commission/2019-03-21-agenda-515.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03212019-515,Y
Agricultural Commission,2,2019-03-21,minutes,515,agricultural-commission/2019-03-21-minutes-515.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03212019-515,Y
Agricultural Commission,2,2019-04-18,agenda,483,agricultural-commission/2019-04-18-agenda-483.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04182019-483,Y
Agricultural Commission,2,2019-04-18,agenda,486,agricultural-commission/2019-04-18-agenda-486.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04182019-486,Y
Agricultural Commission,2,2019-04-18,minutes,483,agricultural-commission/2019-04-18-minutes-483.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04182019-483,Y
Agricultural Commission,2,2019-05-16,agenda,484,agricultural-commission/2019-05-16-agenda-484.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05162019-484,Y
Agricultural Commission,2,2019-05-16,minutes,484,agricultural-commission/2019-05-16-minutes-484.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05162019-484,Y
Agricultural Commission,2,2019-06-20,agenda,485,agricultural-commission/2019-06-20-agenda-485.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06202019-485,Y
Agricultural Commission,2,2019-06-20,minutes,485,agricultural-commission/2019-06-20-minutes-485.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06202019-485,Y
Agricultural Commission,2,2019-07-18,agenda,510,agricultural-commission/2019-07-18-agenda-510.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07182019-510,Y
Agricultural Commission,2,2019-07-18,minutes,510,agricultural-commission/2019-07-18-minutes-510.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07182019-510,Y
Agricultural Commission,2,2019-09-19,agenda,511,agricultural-commission/2019-09-19-agenda-511.pdf,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09192019-511,Y
