fy,stage,private,collaborative,total,documents_disagree
2014,actual,1025404,236285,1261689,0
2015,actual,1114849,335187,1450036,0
2016,actual,854122,112129,966251,0
2017,actual,552724,84953,637677,0
2017,proposed,581345,74189,655534,0
2018,actual,698812,170115,868927,0
2018,settled,700270,60000,760270,0
2018,proposed,828909,60000,888909,0
2019,actual,706879,251616,958495,0
2019,settled,694480,60000,754480,0
2019,proposed,694480,60000,754480,0
2020,actual,723939,145618,869557,0
2020,settled,600016,265730,865746,0
2020,proposed,600016,265730,865746,0
2021,actual,589156,130113,719269,0
2021,settled,589156,130113,719269,0
2021,proposed,589156,130113,719269,0
2022,actual,249557,147676,397233,0
2022,settled,639156,179560,818716,0
2022,proposed,639156,179560,818716,0
2023,actual,118194,186554,304748,0
2023,settled,303364,186554,489918,0
2023,proposed,303364,186554,489918,0
2024,actual,397529,190979,588508,0
2024,proposed,310260,190979,501239,0
2025,actual,703341,28957,732298,0
2025,proposed,703872,460952,1164824,1
2026,settled,988630,302663,1291293,0
2026,proposed,988630,782867,1771497,0
2027,proposed,536400,163742,700142,0
