function_group,line_item,fy27_balanced,counted_because
2310 - Teachers Specialists - Special Education,P.S. Special Ed Teachers,727463.00,function group is special education
3300 - Student Transportation,Special Education Transportation - System,649953.00,the district’s own name for the line
2330 - Paraprofessionals Special Education *** (LTP notes),P.S. Special Ed Paraprofessionals*,579914.00,function group is special education
2330 - Paraprofessionals Special Education *** (LTP notes),M.S. Special Ed Paraprofessionals,488600.00,function group is special education
2310 - Teachers Specialists - Special Education,M.S. Specl Ed Resourse Rm Teacher,473899.00,function group is special education
2330 - Paraprofessionals Special Education *** (LTP notes),E.S. Special Ed Paraprofessionals,396666.00,function group is special education
2310 - Teachers Specialists - Special Education,H.S. Specl Ed Resourse Rm Teacher,382549.00,function group is special education
2310 - Teachers Specialists - Special Education,ES Special Ed Teachers,335035.00,function group is special education
2330 - Paraprofessionals Special Education *** (LTP notes),H.S. Special Ed Paraprofessionals,320534.00,function group is special education
2320 - Therapeutic Services,Special Ed Specialists/System,202737.00,function group is special education
2320 - Therapeutic Services,P.S. Special Ed Speech Pathologists,154255.00,function group is special education
2800 - Psychological Services,P.S. Psychologist,102227.00,function group is special education
2310 - Teachers Specialists - Special Education,ACE Special Ed Resource Rm Teacher,99007.00,function group is special education
2320 - Therapeutic Services,E.S. Special Ed Speech Pathologists,85055.00,function group is special education
2320 - Therapeutic Services,Special Ed Summer Program,72502.00,function group is special education
2110 - Special Education Clerical,Special Ed Clerical,69382.00,function group is special education
2800 - Psychological Services,Middle School Psychologist,46685.00,function group is special education
2800 - Psychological Services,H.S. Psychologist,46685.00,function group is special education
2330 - Paraprofessionals Special Education *** (LTP notes),ACE Special Ed Paraprofessionals,38074.00,function group is special education
2320 - Therapeutic Services,M.S. Special Ed Speech Pathologists,37348.00,function group is special education
2320 - Therapeutic Services,H.S. Special Ed Speech Pathologists,37348.00,function group is special education
2325 - Special Education Substitutes,P.S. Special Ed Subs,20000.00,function group is special education
2325 - Special Education Substitutes,E.S. Special Ed Subs .,15500.00,function group is special education
2800 - Psych. Services,Psychological Testing/Supplies,12126.00,function group is special education
2110 - Special Education,Special Ed Legal Services,10000.00,function group is special education
2310 - Tutoring Cont. Ser.,Special Ed Hospital Tutoring,10000.00,the district’s own name for the line
2325 - Special Education Substitutes,M.S. Special Ed Subs .,8500.00,function group is special education
2325 - Special Education Substitutes,H.S. Special Ed Subs.,8500.00,function group is special education
2310 - Tutoring Cont. Ser.,Special Ed Contrctd Evaluations,8000.00,the district’s own name for the line
2110 - Special Education,ACE General Supplies,6000.00,function group is special education
2110 - Special Education,Specl Ed Computer Contracted Services,4573.00,function group is special education
7300 - Acquisition/Improvement Equipment,Special Ed Equipment,4000.00,the district’s own name for the line
2415 - E.S. Other Instr. Materials,E.S. Special Education Instr. Materials,3317.00,the district’s own name for the line
2110 - Special Education,Specl Ed Collabrtv Admin Fees,2500.00,function group is special education
2415 - H.S. Other Instr. Materials,H.S. Special Education Instr. Materials,2215.00,the district’s own name for the line
2415 - P.S. Other Instr. Materials,P.S. Special Education Instr. Materials,1800.00,the district’s own name for the line
2330 - Paraprofessionals Special Education *** (LTP notes),Special Ed Contracted Services,1000.00,function group is special education
2330 - Paraprofessionals Special Education *** (LTP notes),Special Ed Home/Hospital Tutoring,1000.00,function group is special education
2110 - Special Education,Special Ed Genrl Office Suppls,800.00,function group is special education
2415 - M.S. Other Instr. Materials,M.S. Special Education Instr. Materials,452.00,the district’s own name for the line
2110 - Special Education,2110 - Special Education,0.00,function group is special education
2110 - Special Education,Special Ed Travel Expenses,0.00,function group is special education
2110 - Special Education,504 Program General Supplies,0.00,function group is special education
2800 - Psych. Services,2800 - Psych. Services,0.00,function group is special education
2110 - Special Education Clerical,SALARIES CLERICAL,0.00,function group is special education
2320 - Therapeutic Services,Processing Coordinator Stipends,0.00,function group is special education
2325 - Special Education Substitutes,Kindergarten Special Ed Subs,0.00,function group is special education
2325 - Special Education Substitutes,P.S. Long Term Special Ed Subs,0.00,function group is special education
2325 - Special Education Substitutes,E.S. Long Term Special Ed Subs,0.00,function group is special education
2325 - Special Education Substitutes,M.S. Special Ed Long Term Subs,0.00,function group is special education
2325 - Special Education Substitutes,H.S. Special Ed Long Term Subs.,0.00,function group is special education
2330 - Paraprofessionals Special Education *** (LTP notes),Special Ed Contracted Services,0.00,function group is special education
2800 - Psychological Services,System School Psychologist,0.00,function group is special education
2800 - Psychological Services,E.S. Psychologist,0.00,function group is special education
