fy,stage,ps,es,ms,hs,ace,total,documents_disagree
2018,settled,175727,141075,192567,125144,0,634513,0
2019,settled,166986,107022,238679,101819,42986,657492,0
2019,proposed,153661,141976,216259,99957,49790,661643,0
2020,settled,308967,128497,278502,132009,23928,871903,0
2020,proposed,325603,130986,254654,109172,46512,866927,0
2021,settled,342946,129681,286383,136485,24850,920345,0
2021,proposed,342946,129681,286383,136485,24850,920345,0
2022,settled,233325,207180,238575,240844,26309,946233,0
2022,proposed,285734,231508,267527,161890,25810,972469,0
2023,settled,244972,244753,249148,248937,26949,1014759,0
2023,proposed,244972,247052,249148,248937,26949,1017058,0
2024,proposed,293987,248846,311657,286180,30271,1170941,0
2026,settled,424416,225152,373590,275473,43742,1342373,0
2027,proposed,650742,396666,488600,342739,38074,1916821,0
