dept,object,org,code,readable,basis,note
126,531005,,LEGAL EXPE,Legal expenses,plain reading,
132,578000,,RES FUND,Reserve Fund,department name,Department 132 is RESERVE FUND
133,578000,,RES FUND,Salary reserve,department name,"Department 133 is SALARY RESERVE — the same code as 132, a different fund"
135,531020,,AUDIT COST,Audit costs,plain reading,
136,531020,,AUDIT COST,Audit costs,department name,Department 136 is ANNUAL AUDIT
135,535006,,CONT SERV,Contracted services,plain reading,
155,535006,,CONT SERV,Contracted services,plain reading,
170,511000,,PB DIR,"Director salary, Land Use",department context,Department 170 is LAND USE and object 511000 is a salary. What PB stands for is not established
175,511000,,PLANN DIR,Planning director salary,department name,Department 175 is PLANNING BOARD
192,521011,,ELEC CHGS,Electricity charges,plain reading,
210,511006,,PATROL SAL,Patrol salaries,department name,Department 210 is POLICE DEPARTMENT
210,511004,,SARG SALAR,Sergeant salaries,department name,Department 210 is POLICE DEPARTMENT
220,511007,,CAREERFFSA,Career firefighter salaries,department name,Department 220 is FIRE DEPARTMENT
300,535023,,COLL TUITI,Collaborative tuitions,district document,The district budget prints the line as “9400 - Collaborative Tuitions”
300,535006,,CONT SERV,Contracted services,plain reading,
300,535012,,CONT SERV,"Contracted services, special services",department context,Sits in the special services org S1511062
300,521011,,ELEC CHGS,Electricity charges,plain reading,
300,511001,,ES TEACHER,Elementary school teachers,department context,Org S2044 is the elementary school across four accounts
300,570001,,HEALTH INS,Health insurance,plain reading,
300,511023,,PSYCHSALAR,School psychologist salaries,district document,The district budget prints “2800 - Psych. Services”
300,511024,,SOCWORKSAL,Social worker salaries,plain reading,
300,511103,,KINDAIDREG,"Kindergarten aides, regular",district document,The FY27 workbook prints the line as “Kindergarten Aides/Regular”
300,535025,,REG TRANS,Regular transportation,department context,General education busing. NOT the same as REG TRANS in department 825
300,535019,,SPED PRIVA,"Special education, private tuition",plain reading,
300,535026,,SPED TRANS,Special education transportation,plain reading,
300,570008,,UNEMPLOY C,Unemployment compensation,district document,The district budget prints “Unemployment Compensation”
310,532000,,MONTY TECH,Monty Tech assessment,department name,Department 310 is MONTY TECH ASSESSMENT — the Montachusett Regional Vocational Technical School District. Shortened for the chart; the full name is here.
