fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Table of contents / department index with page numbers,,3,"Alphabetical index of report sections with the printed page number or page range for each. A stray right-hand column of fragments ('10 PM', '0 PM', 'ISED') has bled in from the facing office-hours page.",one report section,(section name) | (page or page range),"two columns, name left and page right, dot leaders lost",,38,clean,"Row 29 has a page range (29-42) with no label and row 30 'School Reports / Lunenburg' has no page — the two rows are transposed. Page numbers here are the report's own printed numbers, which run 3 lower than the PDF page index.",contents department index numbers
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Town at a glance: roads, population, valuation, tax rate and legislative delegation",TOTAL ROADS: / STATE ROADS: / POPULATION: / DENSITY: / ASSESSED VALUATION: / TAX RATE: / UNITED STATES SENATORS IN CONGRESS: / REPRESENTATIVE IN CONGRESS: / STATE SENATOR: / REPRESENTATIVE IN GENERAL COURT:,4,"Label/value fact block at the head of the report. Carries the 2010 US Census population (10,085), the 2011 town census (9819), assessed valuation split real estate / personal property, and the FY2012 tax rate.",one town statistic or one officeholder,(label) | (value),two-column label/value list,,17,clean,"ASSESSED VALUATION is $1,092,532,700 real estate plus $28,433,861 personal property; TAX RATE is stated as '$ 16.83 (Fiscal 2012)' — a forward-year rate, not FY2011's.",delegation glance legislative population
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Town department office hours,OFFICE HOURS,4,"Opening hours for each town office, by day group.",one office and one day-group,(department) | (days) | (hours),three columns; several departments share a single brace-grouped hours block,,27,clean,Building Department / Planning Board / Selectmen-Licensing / Treasurer-Collector are braced together and share one set of hours.,department hours office
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Board and committee regular meeting schedule,,5,When and where each board meets. Continues from page 4.,one board and one recurring meeting slot,(board) | (which day of month) | (time) | (location),four columns; exception notes ('except July/Aug') on their own line under the board,,18,clean,Marks which meetings are televised.,board committee meeting regular
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Elected officials with term-expiry year,BOARD OF SELECTMEN / SEWER COMMISSIONERS / BOARD OF HEALTH / BOARD OF ASSESSORS / TOWN CLERK / CONSTABLE / SCHOOL COMMITTEE / TRUST FUND COMMISSIONERS / CEMETERY COMMISSIONERS / LIBRARY TRUSTEES / PLANNING BOARD / HOUSING AUTHORITY,6,"Every elected board, its members and the year each member's term expires.",one officeholder,(term expiry year) | (name),"two side-by-side column stacks, each a year/name pair grouped under a board heading",,37,clean,'**Denotes Chairperson' — chair is flagged by a trailing asterisk pair on the name.,elected expiry officials term
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Appointed officials, boards and one-year appointments",CAPITAL PLANNING-3. YRS. / CONSERVATION COMMISSION-3 YRS / CONSTABLE-1 YR / COUNCIL ON AGING-3 YRS / DAM KEEPER-1 YR / EMERGENCY MANAGEMENT DIRECTOR / FOREST WARDEN-1 YR / HAZARDOUS WASTE COORDINATOR 1 YR / HEARINGS OFFICER - 1YR. / HISTORICAL COMMISSION 3 YRS / HOUSING PARTNERSHIP YRS / INSPECTOR OF ANIMALS-1 YR / INSPECTOR OF PLUMBING & GAS FITTINGS / INSPECTOR OF WEIGHTS & MEASURES-1 YR / INSPECTOR OF WIRES-1 YR. / LUNENBURG CULTURAL COUNCIL / POLICE SERGEANTS & LIC. AUTHORITY AGENTS / RESERVE POLICE OFFICERS / POUND KEEPER / PACC - Public Access Cable Committee-3 yrs. / PUBLIC EMPLOYEE COMMITTEE (PEC).- MGL Chap.32B / PUBLIC WEIGHERS FY'2011 - 1 YI. / REGISTRAR OF VOTERS-3 YRS / TOWN HALL CLOCK WINDERS-1 YR / TOWN COUNSEL / TOWN FOREST COMMITTEE - 3 YRS / TREE WARDEN-1 YR / VETERANS' SERVICE OFFICER 1 YR. / WELLNESS COORDINATOR 1YR / D.P.W. BUILDING COMMITTEE / BY-LAW REVIEW COMMITTEE / MUNICIPAL WEB SERVICES TASK FORCE- 5 MEMBERS / UTILITY TASK FORCE-5 members,7-9,"Every appointed position and committee, its statutory term length, the appointee and the year the appointment expires. Includes the full reserve police officer list and the public weighers.",one appointee,(expiry year) | (name),"two side-by-side column stacks per page, grouped under committee headings",,140,clean,"Vacancies are recorded as rows ('2011 Vacancy', '(4) Vacancies', and Housing Partnership carries '2009 3 Vacancies / 2008 5 Vacancies / 2007 5 Vacancies' — unfilled seats dated back three years). Chair is flagged with a run of asterisks whose length varies.",appointed appointments boards officials
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Valuation and tax history, FY2004-FY2011",Fiscal Year | Tax Rate | Total Valuation | Accounts | Tax Levy | Change(%),12,"Eight years of tax rate, total assessed valuation, taxable account count, total levy and year-on-year percentage change in the levy.",one fiscal year,Fiscal Year | Tax Rate | Total Valuation | Accounts | Tax Levy | Change(%),"six-column table, newest year first",,8,clean,"The printed section heading above it is OCR rubble ('varatull allu ran motory') — the readable heading is the column header row itself. FY2011: rate 16.16, valuation 1,114,282,889, 5,185 accounts, levy 18,006,811.48. Note the valuation FALLS while the rate rises.",history tax valuation
2011,FY2011,4117-fy-2011-annual-town-report.pdf,Fiscal Year 2011 Abstract of Assessments,Fiscal Year 2011 Abstract of Assessments,12,"Assessed valuation broken down by DOR property class code, with account counts and average value per account.",one property class (or class range),Property Class Code/Description | Accts | Class Valuation | Avg. Value,four-column table,"TOTALS 1,114,282,889",13,messy,"Account counts are missing for Residential Condominiums, Vacant Land, Commercial, Industrial and Personal Property — the Accts column has holes even after correction. Valuations and average values are complete, so the missing counts can be recovered by division. The TOTALS row prints only the valuation, no account total.",abstract assessments
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"Assessor's account for exemptions, abatements and overlay, five years",Assessor's Account for Exemptions and Abatements,12,"Overlay raised, overlay deficits, charges against overlay, potential liability and amount released, FY2007-FY2011.",one overlay line item across five fiscal years,Description | FY2011 | FY2010 | FY2009 | FY2008 | FY2007,"six-column table, years across",,5,clean,Zero is printed as '-0-' or '-0.'. 'Charges to 6/30/2010' is the row label in the FY2011 report — the date does not advance with the fiscal year.,abatements account assessor exemptions
2011,FY2011,4117-fy-2011-annual-town-report.pdf,"New growth revenue by fiscal year, FY2004-FY2011",New Growth Revenue,12,"Valuation added by new construction each year, the rate applied, the revenue it produced and the change on the prior year.",one fiscal year,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change(%),"five-column table, newest first",,8,clean,The Tax Rate column here is offset from the one in the valuation table above: FY2011 new growth is shown at 14.20 while the FY2011 tax rate is 16.16. It appears to be the PRIOR year's rate. Anyone joining these two tables on Fiscal Year has to decide which rate is meant.,growth new revenue
