fy,table,pages,page_count,pages_with_figures,figure_rows,figures,columns,read_by,printed_total,checkable,csv_fields,grain
2011,appropriations,59,1,1,4,6,5,ocr,,no,"fy, department, appropriated, expended, balance",one row per department per year
2011,capital_project,"3,65,71",3,2,43,197,6,ocr,,no,"fy, project_number, project_name, balance",one row per capital project per year
2011,debt,"3,56,59",3,2,9,89,5,ocr,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2011,enterprise,"56,70",2,2,9,178,3,ocr,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2011,payroll,3,1,0,0,0,0,ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2011,receipts,58,1,1,49,79,7,ocr,,no,"fy, source, amount",one row per revenue source per year
2011,school_report,"2,4-6,14,25,28,32-34,37,43-44,47,49,51,55,64,66,71,79,81,85",23,8,54,328,6,ocr,,no,(not tabular),narrative
2011,special_revenue,"3,65",2,1,7,101,3,ocr,,no,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2011,staff_roster,"37,42,44",3,0,0,0,0,ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2011,tax_rate,"4,12",2,2,10,57,2,ocr,,no,"fy, class, rate",one row per class per year
2011,town_meeting,"11,13,15,21,26-28,71,81-83,87-89",14,8,46,131,6,ocr,,no,(not tabular),"votes and articles -- prose, not a table"
2011,trust_funds,"3,6,56,72-74,79",7,4,72,400,9,ocr,"GRAND TOTALS=1,905,698.11",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2011,valuation,"4,12",2,2,10,57,2,ocr,,no,"fy, class, valuation",one row per property class per year
2012,appropriations,"3,59",2,1,5,6,4,ocr,,no,"fy, department, appropriated, expended, balance",one row per department per year
2012,balance_sheet,3,1,0,0,0,0,ocr,,no,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2012,capital_project,"3,71",2,1,41,63,6,ocr,"GRAND TOTAL=1,558,447.62",yes,"fy, project_number, project_name, balance",one row per capital project per year
2012,debt,"3,56,59",3,2,10,74,4,ocr,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2012,enterprise,"56,70,81,83",4,3,11,187,3,ocr,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2012,payroll,3,1,0,0,0,0,ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2012,receipts,58,1,1,53,80,7,ocr,,no,"fy, source, amount",one row per revenue source per year
2012,school_report,"2-6,8-9,28,31-33,39,41,43-44,46,49,51,54,64,66,71,80,82-83,104,116",27,5,57,314,6,ocr,"GRAND TOTAL=1,558,447.62",yes,(not tabular),narrative
2012,staff_roster,"37,40",2,0,0,0,0,ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2012,tax_rate,"4,10",2,2,10,60,2,ocr,,no,"fy, class, rate",one row per class per year
2012,town_meeting,"3,9,12-13,19-20,22,28,41,71,79,83-84,94,100-101",16,6,50,111,6,ocr,"GRAND TOTAL=1,558,447.62",yes,(not tabular),"votes and articles -- prose, not a table"
2012,trust_funds,"2-3,6,56,72-74,104",8,4,72,486,11,ocr,,no,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2012,valuation,"4,10",2,2,10,60,2,ocr,,no,"fy, class, valuation",one row per property class per year
2013,appropriations,64,1,1,4,6,5,ocr,,no,"fy, department, appropriated, expended, balance",one row per department per year
2013,balance_sheet,3,1,1,1,2,1,ocr,,no,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2013,capital_project,"3,70",2,2,6,49,3,ocr,,no,"fy, project_number, project_name, balance",one row per capital project per year
2013,debt,"3,61,64",3,3,10,83,5,ocr,,no,"fy, issue, principal, interest, maturity",one row per debt issue per year
2013,enterprise,"61,75,86",3,3,10,145,3,ocr,,no,"fy, fund, line, amount",one row per enterprise fund line per year
2013,payroll,3,1,1,1,2,1,ocr,,no,"fy, department, position_count, gross",AGGREGATE ONLY -- never one row per named person
2013,receipts,63,1,1,48,80,7,ocr,,no,"fy, source, amount",one row per revenue source per year
2013,school_report,"4-6,8-9,12,22,31-33,44-46,48,50,58-59,69,71,76,84,88,91",23,6,17,244,3,ocr,,no,(not tabular),narrative
2013,special_revenue,3,1,1,1,2,1,ocr,,no,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2013,staff_roster,"37,39,42",3,0,0,0,0,ocr,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2013,tax_rate,"4,10",2,2,7,59,2,ocr,,no,"fy, class, rate",one row per class per year
2013,town_meeting,"3,9,12-13,25,40,76,84-86,89",11,6,8,83,2,ocr,,no,(not tabular),"votes and articles -- prose, not a table"
2013,trust_funds,"3,6,61,73,77-79,92",8,6,56,571,11,ocr,,no,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2013,valuation,"4,10",2,2,7,59,2,ocr,,no,"fy, class, valuation",one row per property class per year
2014,appropriations,"4,23",2,1,7,7,1,plain,,no,"fy, department, appropriated, expended, balance",one row per department per year
2014,balance_sheet,"4,20",2,1,44,80,2,plain,"TOTAL ASSETS=6,152,141.84",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2014,capital_project,"4,28,34",3,2,82,268,2,plain,"GRAND TOTAL=31,356,354.04",yes,"fy, project_number, project_name, balance",one row per capital project per year
2014,debt,"20,23",2,2,51,87,2,plain,"TOTAL ASSETS=6,152,141.84",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2014,enterprise,"33,60,138,142",4,1,27,75,2,plain,"GRAND TOTAL=2,209,000.67",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2014,receipts,22,1,1,54,109,2,plain,"GRAND TOTAL=30,789,379.47",yes,"fy, source, amount",one row per revenue source per year
2014,school_report,"5,7,10-14,19,27,29-30,34,48,55,85,91-95,101,113-115,129,135,138,141,153,167",30,5,171,472,2,ocr+plain,,no,(not tabular),narrative
2014,special_revenue,"4,29-33",6,5,131,382,2,plain,"GRAND TOTAL=2,209,000.67",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2014,staff_roster,"102,109",2,0,0,0,0,plain,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2014,tax_rate,"6,35",2,2,28,77,4,plain,TOTALS=100.00,yes,"fy, class, rate",one row per class per year
2014,town_meeting,"5-7,19,34,56,59-60,85-86,106,133-138,142-151",27,9,90,182,2,plain,,no,(not tabular),"votes and articles -- prose, not a table"
2014,trust_funds,"4,10,20,36-38,154",7,4,125,554,2,plain,"GRAND TOTALS=1,787,033.56",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2014,valuation,35,1,1,26,75,4,plain,TOTALS=100.00,yes,"fy, class, valuation",one row per property class per year
2015,appropriations,23,1,1,6,7,4,ocr,,no,"fy, department, appropriated, expended, balance",one row per department per year
2015,balance_sheet,"4,20",2,1,44,81,2,plain,"TOTAL ASSETS=6,574,503.35",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2015,capital_project,"28,34",2,2,85,280,2,plain,"GRAND TOTAL=32,216,220.58",yes,"fy, project_number, project_name, balance",one row per capital project per year
2015,debt,"20,23,70",3,3,51,89,4,ocr+plain,"TOTAL ASSETS=6,574,503.35",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2015,enterprise,"33,139,142",3,3,41,92,2,plain,"GRAND TOTAL=2,599,893.63",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2015,receipts,22,1,1,53,110,2,plain,"GRAND TOTAL=31,842,092.19",yes,"fy, source, amount",one row per revenue source per year
2015,school_report,"3,5,7,10-11,14-15,27,29,34,51,59,69,93,99-103,107,117-119,122,133,137,139,141,143,190,201,203,212",33,8,172,451,9,ocr+plain,,no,(not tabular),narrative
2015,special_revenue,"4,29-33",6,5,125,360,2,plain,"GRAND TOTAL=2,599,893.63",yes,"fy, fund_number, fund_name, balance, receipts, deficit",one row per fund per year -- turns fund_activity from a snapshot into a history
2015,staff_roster,"107,114",2,0,0,0,0,plain,,no,"fy, school, position, count","COUNTS, never names. The names stay in the archived PDF"
2015,tax_rate,"6,35",2,2,30,80,6,plain,TOTALS=100.00,yes,"fy, class, rate",one row per class per year
2015,town_meeting,"3,5-7,34,70,93-94,137-139,142,146,151,154,160,180,189-190,199",20,10,94,218,2,plain,,no,(not tabular),"votes and articles -- prose, not a table"
2015,trust_funds,"4,10,20,37-40,202-203",9,5,106,557,3,ocr+plain,"TOTAL ASSETS=6,574,503.35",yes,"fy, fund_number, fund_name, balance, income",one row per trust fund per year
2015,valuation,35,1,1,28,78,6,plain,TOTALS=100.00,yes,"fy, class, valuation",one row per property class per year
2016,appropriations,"4,24",2,1,7,7,1,plain,,no,"fy, department, appropriated, expended, balance",one row per department per year
2016,balance_sheet,"4,20-21",3,2,47,86,3,plain,"TOTAL ASSETS=7,651,036.89",yes,"fy, fund_type, line, amount",one row per balance sheet line per fund type
2016,capital_project,"30,36",2,2,75,240,2,plain,"GRAND TOTAL=35,284,130.91",yes,"fy, project_number, project_name, balance",one row per capital project per year
2016,debt,"20,24,64-65,77",5,4,48,73,3,layout+plain,"TOTAL ASSETS=7,651,036.89",yes,"fy, issue, principal, interest, maturity",one row per debt issue per year
2016,enterprise,"6,35,144,150-151",5,5,104,262,6,layout+ocr+plain,"GRAND TOTAL=2,704,480.72",yes,"fy, fund, line, amount",one row per enterprise fund line per year
2016,receipts,"1,23",2,2,35,131,2,ocr+plain,,no,"fy, source, amount",one row per revenue source per year
2016,school_report,"2,5-6,9-11,13-15,18,29,31,33,36,53,62,64-65,75,94,100-103,109,112,122-124,127,129,138,142,149,152-155,176-177,183,192,194",43,13,203,553,6,layout+ocr+plain,,no,(not tabular),narrative
