fy,source,amount,status,document,page
2011,PERSONAL PROPERTY TAXES,449774.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,RENTAL FEES CELL TOWER,31162.58,no check,4117-fy-2011-annual-town-report.pdf,58
2011,REAL ESTATE TAXES,17241283.89,no check,4117-fy-2011-annual-town-report.pdf,58
2011,STREET LISTS,220.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,TAX LIENS REDEEMED,228736.20,no check,4117-fy-2011-annual-town-report.pdf,58
2011,VOTING LISTS,10.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,COBRA FEES,202.58,no check,4117-fy-2011-annual-town-report.pdf,58
2011,PRIOR YEAR REFUNDS,36210.09,no check,4117-fy-2011-annual-town-report.pdf,58
2011,SUPPL TAX-NEW CONSTRUCTION,23947.19,no check,4117-fy-2011-annual-town-report.pdf,58
2011,DISHONORED CHECK FEE,410.50,no check,4117-fy-2011-annual-town-report.pdf,58
2011,MOTOR VEHICLE EXCISE,1179519.65,no check,4117-fy-2011-annual-town-report.pdf,58
2011,SENIOR CENTER RENTAL FEES,335.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,LAND LEASE,1300.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,INTEREST PERSONAL PROPERTY,687.12,no check,4117-fy-2011-annual-town-report.pdf,58
2011,INTEREST REAL ESTATE,49552.07,no check,4117-fy-2011-annual-town-report.pdf,58
2011,ALCOHOLIC BEVERAGES,28240.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,INTEREST MOTOR VEHICLE EXCISE,7456.69,no check,4117-fy-2011-annual-town-report.pdf,58
2011,MARRIAGE LICENSES,900.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,HEALTH LICENSES,1575.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,SELECTMEN'S LICENSES,4155.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,GASOLINE LICENSES,585.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,DEMANDS MOTOR VEHICLE EXCISE,24875.66,no check,4117-fy-2011-annual-town-report.pdf,58
2011,DOG LICENSES,8030.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,DEMANDS REAL ESTATE,1697.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,WIRING PERMITS,30160.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,GAS PERMITS,10590.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,PLUMBING PERMITS,15644.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,PENALTY/INTEREST TAX LIENS,48004.23,no check,4117-fy-2011-annual-town-report.pdf,58
2011,BUILDING PERMITS,181516.40,no check,4117-fy-2011-annual-town-report.pdf,58
2011,PAYMENT IN LIEU OF TAXES,1606.50,no check,4117-fy-2011-annual-town-report.pdf,58
2011,WOODSTOVE PERMITS,440.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,FIRE PERMITS,13847.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,POLICE PERMITS,3625.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,POLICE REPORT FEES,1210.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,TRENCH PERMIT,520.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,FIRE REPORT FEES,60.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,EARTH REMOVAL PERMITS,1600.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,FISH & GAME FEES,63.75,no check,4117-fy-2011-annual-town-report.pdf,58
2011,RAFFLES & BAZAARS,40.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,SPECIAL DETAIL ADMIN. FEES,8936.04,no check,4117-fy-2011-annual-town-report.pdf,58
2011,ROAD OPENING PERMITS,1400.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,MUNICIPAL LIENS,10425.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,"CERT COPY BIRTH, DEATH, MARRIAGE",3900.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,BUSINESS CERTIFICATE,1990.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,STATE OWNED LAND,46150.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,RESIDENCY CERTIFICATE,30.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,VET/BLIND/SURVIVING SPOUSE ABATEMENTS,33569.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,POLE LOCATIONS,100.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,ABATEMENTS ELDERLY,26104.00,no check,4117-fy-2011-annual-town-report.pdf,58
2011,CERTIFICATE OF INSPECTION,840.00,no check,4117-fy-2011-annual-town-report.pdf,58
