season,scope,metric,fy,printed,printed_cell,printed_raw,summed_from_rows,difference,ties
Fall,ALL,2nd Sibling,2024,3080.0,H26,3080,22.0,3058.0,0
Fall,ALL,2nd Sibling,2025,2660.0,I26,2660,19.0,2641.0,0
Fall,ALL,3rd sibling,2024,85.0,K26,85,1.0,84.0,0
Fall,ALL,3rd sibling,2025,255.0,L26,255,3.0,252.0,0
Fall,ALL,Assignor,2024,1006.0,AI26,1006,1006.0,0.0,1
Fall,ALL,Assignor,2025,1204.0,AJ26,1204,1204.0,0.0,1
Fall,ALL,Coaches,2024,36508.4,AO26,36508.4,36508.4,0.0,1
Fall,ALL,Coaches,2025,52386.0,AP26,52386,52386.0,0.0,1
Fall,ALL,Costs for all 3 Seasons,2024,10830.92,AX26,10830.92,0,10830.92,0
Fall,ALL,Costs for all 3 Seasons,2025,12258.05,AY26,12258.05,0,12258.05,0
Fall,ALL,Due,2024,700.0,Z26,700,700.0,0.0,1
Fall,ALL,Due,2025,1050.0,AA26,1050,1050.0,0.0,1
Fall,ALL,Dues & Fees,2024,3512.0,BA26,3512,3512.0,0.0,1
Fall,ALL,Dues & Fees,2025,2204.0,BB26,2204,2204.0,0.0,1
Fall,ALL,Equipment,2024,2029.51,BG26,2029.51,2029.51,0.0,1
Fall,ALL,Equipment,2025,3248.3700000000003,BH26,3248.3700000000003,3248.37,0.0,1
Fall,ALL,Equipment Recon,2024,6132.01,AU26,6132.01,6132.01,0.0,1
Fall,ALL,Equipment Recon,2025,7189.85,AV26,7189.85,7189.85,0.0,1
Fall,ALL,Expected Fees Received,2024,48312.5,W26,48312.5,48312.5,0.0,1
Fall,ALL,Expected Fees Received,2025,47557.0,X26,47557,47307.0,250.0,0
Fall,ALL,Full Pay,2024,45050.0,E26,45050,197.0,44853.0,0
Fall,ALL,Full Pay,2025,44250.0,F26,44250,193.0,44057.0,0
Fall,ALL,Full Waiver,2024,28.0,N26,28,28.0,0.0,1
Fall,ALL,Full Waiver,2025,40.0,O26,40,37.0,3.0,0
Fall,ALL,HS Red Fee,2024,97.5,Q26,97.5,3.0,94.5,0
Fall,ALL,HS Red Fee,2025,340.0,R26,340,277.0,63.0,0
Fall,ALL,MS Red Fee,2024,0.0,T26,0,0,0,1
Fall,ALL,MS Red Fee,2025,52.0,U26,52,2.0,50.0,0
Fall,ALL,Misc,2024,823.97,BJ26,823.97,823.97,0.0,1
Fall,ALL,Misc,2025,252.0,BK26,252,252.0,0.0,1
Fall,ALL,Official,2024,19556.039999999997,AF26,19556.039999999997,19556.04,0.0,1
Fall,ALL,Official,2025,17064.0,AG26,17064,17064.0,0.0,1
Fall,ALL,Police/ EMS,2024,2415.9,AL26,2415.9,2415.9,0.0,1
Fall,ALL,Police/ EMS,2025,1707.17,AM26,1707.17,1707.17,0.0,1
Fall,ALL,Total Athletes,2024,252.0,B26,252,252.0,0.0,1
Fall,ALL,Total Athletes,2025,256.0,C26,256,255.0,1.0,0
Fall,ALL,Total Athletes,2026,,D26,,257.0,-257.0,0
Fall,ALL,Total Expenses,2024,118417.55,BM26,118417.55,118417.55,0.0,1
Fall,ALL,Total Expenses,2025,129805.45,BN26,129805.45,129805.45,0.0,1
Fall,ALL,Total Received,2024,47612.5,AC26,47612.5,47612.5,0.0,1
Fall,ALL,Total Received,2025,46257.0,AD26,46257,46257.0,0.0,1
Fall,ALL,Transportation,2024,44627.5,AR26,44627.5,44627.5,0.0,1
Fall,ALL,Transportation,2025,43446.06,AS26,43446.06,43446.06,0.0,1
Fall,ALL,Uniforms,2024,1806.22,BD26,1806.22,1806.22,0.0,1
Fall,ALL,Uniforms,2025,1104.0,BE26,1104,1104.0,0.0,1
Fall,HS,2nd Sibling,2024,2520.0,H19,2520,18.0,2502.0,0
Fall,HS,2nd Sibling,2025,2100.0,I19,2100,15.0,2085.0,0
Fall,HS,3rd sibling,2025,0.0,L19,0,0,0,1
Fall,HS,Assignor,2024,910.0,AI19,910,910.0,0.0,1
Fall,HS,Assignor,2025,1131.0,AJ19,1131,1131.0,0.0,1
Fall,HS,Coaches,2024,28885.0,AO19,28885,28885.0,0.0,1
Fall,HS,Coaches,2025,45270.0,AP19,45270,45270.0,0.0,1
Fall,HS,Costs for all 3 Seasons,2024,,AX19,,0,0,1
Fall,HS,Costs for all 3 Seasons,2025,,AY19,,0,0,1
Fall,HS,Due,2024,350.0,Z19,350,350.0,0.0,1
Fall,HS,Due,2025,850.0,AA19,850,850.0,0.0,1
Fall,HS,Dues & Fees,2024,3101.0,BA19,3101,3101.0,0.0,1
Fall,HS,Dues & Fees,2025,2009.0,BB19,2009,2009.0,0.0,1
Fall,HS,Equipment,2024,1405.73,BG19,1405.73,1405.73,0.0,1
Fall,HS,Equipment,2025,3248.3700000000003,BH19,3248.3700000000003,3248.37,0.0,1
Fall,HS,Equipment Recon,2024,6132.01,AU19,6132.01,6132.01,0.0,1
Fall,HS,Equipment Recon,2025,7189.85,AV19,7189.85,7189.85,0.0,1
Fall,HS,Expected Fees Received,2024,38067.5,W19,38067.5,38067.5,0.0,1
Fall,HS,Expected Fees Received,2025,39290.0,X19,39290,39040.0,250.0,0
Fall,HS,Full Pay,2024,35450.0,E19,35450,149.0,35301.0,0
Fall,HS,Full Pay,2025,36850.0,F19,36850,156.0,36694.0,0
Fall,HS,Full Waiver,2024,26.0,N19,26,26.0,0.0,1
Fall,HS,Full Waiver,2025,34.0,O19,34,34.0,0.0,1
Fall,HS,HS Red Fee,2024,97.5,Q19,97.5,3.0,94.5,0
Fall,HS,HS Red Fee,2025,340.0,R19,340,277.0,63.0,0
Fall,HS,MS Red Fee,2025,0.0,U19,0,0,0,1
Fall,HS,Misc,2024,823.97,BJ19,823.97,823.97,0.0,1
Fall,HS,Misc,2025,252.0,BK19,252,252.0,0.0,1
Fall,HS,Official,2024,18780.489999999998,AF19,18780.489999999998,18780.49,0.0,1
Fall,HS,Official,2025,16010.0,AG19,16010,16010.0,0.0,1
Fall,HS,Police/ EMS,2024,2415.9,AL19,2415.9,2415.9,0.0,1
Fall,HS,Police/ EMS,2025,1707.17,AM19,1707.17,1707.17,0.0,1
Fall,HS,Total Athletes,2024,197.0,B19,197,197.0,0.0,1
Fall,HS,Total Athletes,2025,208.0,C19,208,207.0,1.0,0
Fall,HS,Total Athletes,2026,,D19,,213.0,-213.0,0
Fall,HS,Total Expenses,2024,104382.82,BM19,104382.82,104382.82,0.0,1
Fall,HS,Total Expenses,2025,117574.95,BN19,117574.95,117574.95,0.0,1
Fall,HS,Total Received,2024,37717.5,AC19,37717.5,37717.5,0.0,1
Fall,HS,Total Received,2025,38190.0,AD19,38190,38190.0,0.0,1
Fall,HS,Transportation,2024,40882.5,AR19,40882.5,40882.5,0.0,1
Fall,HS,Transportation,2025,39653.56,AS19,39653.56,39653.56,0.0,1
Fall,HS,Uniforms,2024,1046.22,BD19,1046.22,1046.22,0.0,1
Fall,HS,Uniforms,2025,1104.0,BE19,1104,1104.0,0.0,1
Fall,MS,2nd Sibling,2024,560.0,H24,560,4.0,556.0,0
Fall,MS,2nd Sibling,2025,560.0,I24,560,4.0,556.0,0
Fall,MS,3rd sibling,2024,85.0,K24,85,1.0,84.0,0
Fall,MS,3rd sibling,2025,255.0,L24,255,3.0,252.0,0
Fall,MS,Assignor,2024,96.0,AI24,96,96.0,0.0,1
Fall,MS,Assignor,2025,73.0,AJ24,73,73.0,0.0,1
Fall,MS,Coaches,2024,7623.4,AO24,7623.4,7623.4,0.0,1
Fall,MS,Coaches,2025,7116.0,AP24,7116,7116.0,0.0,1
Fall,MS,Due,2024,350.0,Z24,350,350.0,0.0,1
Fall,MS,Due,2025,200.0,AA24,200,200.0,0.0,1
Fall,MS,Dues & Fees,2024,411.0,BA24,411,411.0,0.0,1
Fall,MS,Dues & Fees,2025,195.0,BB24,195,195.0,0.0,1
Fall,MS,Equipment,2024,623.78,BG24,623.78,623.78,0.0,1
Fall,MS,Expected Fees Received,2024,10245.0,W24,10245,10245.0,0.0,1
Fall,MS,Expected Fees Received,2025,8267.0,X24,8267,8267.0,0.0,1
Fall,MS,Full Pay,2024,9600.0,E24,9600,48.0,9552.0,0
Fall,MS,Full Pay,2025,7400.0,F24,7400,37.0,7363.0,0
Fall,MS,Full Waiver,2024,2.0,N24,2,2.0,0.0,1
Fall,MS,Full Waiver,2025,3.0,O24,3,3.0,0.0,1
Fall,MS,HS Red Fee,2025,0.0,R24,0,0,0,1
Fall,MS,MS Red Fee,2024,0.0,T24,0,0,0,1
Fall,MS,MS Red Fee,2025,52.0,U24,52,2.0,50.0,0
Fall,MS,Official,2024,775.55,AF24,775.55,775.55,0.0,1
Fall,MS,Official,2025,1054.0,AG24,1054,1054.0,0.0,1
Fall,MS,Police/ EMS,2024,,AL24,,0,0,1
Fall,MS,Total Athletes,2024,55.0,B24,55,55.0,0.0,1
Fall,MS,Total Athletes,2025,48.0,C24,48,48.0,0.0,1
Fall,MS,Total Athletes,2026,,D24,,44.0,-44.0,0
Fall,MS,Total Expenses,2024,14034.73,BM24,14034.73,14034.73,0.0,1
Fall,MS,Total Expenses,2025,12230.5,BN24,12230.5,12230.5,0.0,1
Fall,MS,Total Received,2024,9895.0,AC24,9895,9895.0,0.0,1
Fall,MS,Total Received,2025,8067.0,AD24,8067,8067.0,0.0,1
Fall,MS,Transportation,2024,3745.0,AR24,3745,3745.0,0.0,1
Fall,MS,Transportation,2025,3792.5,AS24,3792.5,3792.5,0.0,1
Fall,MS,Uniforms,2024,760.0,BD24,760,760.0,0.0,1
Winter,ALL,2nd Sibling,2024,19.0,H23,19,19.0,0.0,1
Winter,ALL,2nd Sibling,2025,18.0,I23,18,18.0,0.0,1
Winter,ALL,3rd sibling,2024,1.0,K23,1,1.0,0.0,1
Winter,ALL,3rd sibling,2025,1.0,L23,1,1.0,0.0,1
Winter,ALL,Assignor,2024,,AJ23,,572.5,-572.5,0
Winter,ALL,Assignor,2025,827.5,AK23,827.5,827.5,0.0,1
Winter,ALL,Coaches,2024,46779.0,AP23,46779,46779.0,0.0,1
Winter,ALL,Coaches,2025,39203.0,AQ23,39203,39203.0,0.0,1
Winter,ALL,Costs for all 3 Seasons,2024,10830.92,AY23,10830.92,0,10830.92,0
Winter,ALL,Costs for all 3 Seasons,2025,12258.05,AZ23,12258.05,0,12258.05,0
Winter,ALL,Due,2024,32.5,Z23,32.5,32.5,0.0,1
Winter,ALL,Due,2025,3000.0,AA23,3000,3000.0,0.0,1
Winter,ALL,Dues & Fees,2024,14600.48,BB23,14600.48,14600.48,0.0,1
Winter,ALL,Dues & Fees,2025,19844.36,BC23,19844.36,19844.36,0.0,1
Winter,ALL,Equipment,2024,2567.2,BH23,2567.2,2567.2,0.0,1
Winter,ALL,Equipment,2025,1768.5,BI23,1768.5,1768.5,0.0,1
Winter,ALL,Expected Fees Received,2024,37375.0,W23,37375,37375.0,0.0,1
Winter,ALL,Expected Fees Received,2025,35870.0,X23,35870,35870.0,0.0,1
Winter,ALL,Fee Received,2024,37342.5,AC23,37342.5,37342.5,0.0,1
Winter,ALL,Fee Received,2025,32870.0,AD23,32870,32870.0,0.0,1
Winter,ALL,Full Pay,2024,142.0,E23,142,142.0,0.0,1
Winter,ALL,Full Pay,2025,5800.0,F23,5800,137.0,5663.0,0
