fy,side,item,amount,basis,source
2014,general,Athletic Coaches,114636,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Athletic Dues & Fees,9519,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Athletic Equipment/Reconditioning,3065,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Athletic Insurance,5990,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Athletic Officials,39875,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Athletic Replacement of Uniforms,3787,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Athletic Transportation,17000,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,general,Special Detail/Athletic Events,444,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,revolving,Athletic Coaches,45278,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,revolving,Athletic Expenses/Supplies,31894,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,revolving,Athletic New Equipment,890,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2014,revolving,Athletic Transportation,30085,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Coaches,130661,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Dues & Fees,9759,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Equipment/Reconditioning,4361,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Insurance,5990,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic New Equipment,1440,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Officials,40469,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Replacement of Uniforms,4960,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Athletic Transportation,21600,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,general,Special Detail/Athletic Events,5559,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,revolving,Athletic Coaches,27221,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,revolving,Athletic Expenses/Supplies,38730,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
2015,revolving,Athletic Secretary,5245,actual,district-budget/docs/fy19-proposed-athletics-budget.pdf
