fy,department,person,title,page,as_printed
2011,Council on Aging,Peter Lincoln,Chairperson,29,"Anderson, Van Driver. Board Members during this period were Peter Lincoln, Chairperson, Mary Lynn Conrad, Vice Chair,"
2011,Council on Aging,Mary Lynn Conrad,Vice Chair,29,"Anderson, Van Driver. Board Members during this period were Peter Lincoln, Chairperson, Mary Lynn Conrad, Vice Chair,"
2011,Department of Public Works,Emerick R. Bakaysa,Chair,15,"Emerick R. Bakaysa, Chair • Joanna L. Bilotta-Simeone, Vice Chair"
2011,Department of Public Works,Joanna Bilotta-Simeone,Vice Chair,15,"Robert Saila, member, remains the representative to the Montachusetts Joint Transportation Commission. Vice Chair Joanna"
2011,Department of Public Works,Joanna L. Bilotta-Simeone,Vice Chair,15,"Emerick R. Bakaysa, Chair • Joanna L. Bilotta-Simeone, Vice Chair"
2011,Montachusett Regional Vocational Technical School,Diane Swenson,Chair,55,"Diane Swenson, Chair/ Ashburnham Eric Olson, Vice Chair/Phillipston"
2011,Montachusett Regional Vocational Technical School,Ashburnham Eric Olson,Vice Chair,55,"Diane Swenson, Chair/ Ashburnham Eric Olson, Vice Chair/Phillipston"
2011,Payroll Report 97-99 10 PM Personnel Committee,Robert Rand,Vice Chair,26,"Of - Robert Rand, Vice Chair - William Murray, Secretary - Deborah Christen, Barbara Reynolds and the Employee Represent"
2013,Building Inspector / Zoning Official Capital Planning Committee,Joanna Bilotta-Simeone,Chair,13,Chair Joanna Bilotta-Simeone is the Board's representative to the Montachusetts Regional Planning Commission. Matthew Al
2013,Building Inspector / Zoning Official Capital Planning Committee,Joanna L. Bilotta-Simeone,Chair,13,"Joanna L. Bilotta-Simeone, Chair Matthew Allison, Member"
2013,Building Inspector / Zoning Official Capital Planning Committee,Nathan J. Lockwood,Vice Chair,13,"Nathan J. Lockwood, Vice Chair Marion M. Benson, Planning Director"
2013,Fire Department,Carl Luck,Chair,24,"Carl Luck, Chair Mike Nault, Member"
2013,Fire Department,Carl Luck,Chairman,24,will drive the need for a new policy to assure a fair sharing of these costs by new users. Chairman Carl Luck and past C
2013,Fire Department,Jay Simeone,Vice Chair,24,"Jay Simeone, Vice Chair Butch Bilotta, Member"
2013,Green Community Task Force,David Blatt,Chair,15,"David Blatt, Chair"
2013,Technology Department,Donald F. Bowen,Chairman,19,"The Zoning Board consists of the following members: Donald F. Bowen, Chairman, Raymond Beal, Vice Chairman, James Besark"
2013,Technology Department,Raymond Beal,Vice Chairman,19,"The Zoning Board consists of the following members: Donald F. Bowen, Chairman, Raymond Beal, Vice Chairman, James Besark"
2014,Board of Assessors,Louis J. Franco,Chairman,35,"Louis J. Franco, Chairman Christopher M. Comeau, Member Matthew J. Papini, Sr., Member"
2014,Capital Planning,Planning Director,Chair,85,"Marion Benson, Planning Director, Chair"
2014,Green Community Task Force,Dave Blatt,Chairman,56,"Submitted by Dave Blatt, Chairman"
2014,Green Community Task Force,Rebecca Lantry,Chairwoman,56,"Report submitted by Rebecca Lantry, Chairwoman"
2014,Planning Board,Joanna Bilotta-Simeone,Chair,86,Chair Joanna Bilotta-Simeone is the Board's representative to the Montachusett Regional
2014,Planning Board,Joanna L. Bilotta-Simeone,Chair,87,"Joanna L. Bilotta-Simeone, Chair"
2014,Planning Board,Nathan J. Lockwood,Vice Chair,87,"Nathan J. Lockwood, Vice Chair"
2014,Sewer Commission,Carl Luck,Chair,61,"Carl Luck, Chair"
2014,Sewer Commission,Carl Luck,Chairman,60,"capacity to new users. Chairman Carl Luck and past Chairman and current Board of Selectmen liaison, Bob"
2014,Sewer Commission,Dave MacDonald,Vice Chair,61,"Dave MacDonald, Vice Chair"
2014,Special Services,Kelly Harvey,Chairperson,98,made up of Chairperson Kelly Harvey and Treasurer Pami Terren. Several events and
2014,Zoning Board of Appeals,Donald F. Bowen,Chairman,88,"The Zoning Board consists of the following members: Donald F. Bowen, Chairman, Raymond Beal,"
2014,Zoning Board of Appeals,Raymond Beal,Vice Chairman,88,"Raymond Beal, Vice Chairman"
2015,Agricultural Commission,Jeffrey L. Mendoza,Chairman,49,"Jeffrey L. Mendoza, Chairman,"
2015,Agricultural Commission,Garrett Stillman,Vice-Chairman,49,"Garrett Stillman, Vice-Chairman"
2015,Board of Health,George Emond,Chairman,75,"George Emond, Chairman"
2015,Capital Planning Committee,Citizens' Representative,Vice Chair,93,"Dennis Mannone Jr., Citizens' Representative, Vice Chair"
2015,Conservation Commission,Richard Bursch,Chair,52,"Richard Bursch, Chair"
2015,Conservation Commission,Jack Rabbitt,Vice-Chair,52,"Jack Rabbitt, Vice-Chair"
2015,Planning Board,Joanna L. Bilotta-Simeone,Chair,94,"Joanna L. Bilotta-Simeone, Chair Kenneth Chenis, Member"
2015,Planning Board,Nathan J. Lockwood,Vice Chair,94,"Nathan J. Lockwood, Vice Chair Matthew Allison, Member"
2015,Public Access Channel Committee,Steve Walker,Chair,62,"Steve Walker, Chair"
2015,"Sewer Commission 70,",Carl Luck,Chair,71,"Carl Luck, Chair"
2015,"Sewer Commission 70,",Mike Nault,Vice Chair,71,"Mike Nault, Vice Chair"
2015,Zoning Board of Appeals,Raymond E. Beal,Chair,95,"Raymond E. Beal, Chair"
2015,Zoning Board of Appeals,Raymond E. Beal,Chairman,95,"Raymond E. Beal, Chairman, Donald F. Bowen, Vice Chairman, James Besarkarski, Alfred Gravelle, Hans Wentrup and"
2015,Zoning Board of Appeals,Donald F. Bowen,Vice Chairman,95,"Raymond E. Beal, Chairman, Donald F. Bowen, Vice Chairman, James Besarkarski, Alfred Gravelle, Hans Wentrup and"
2016,Board of Assessors,Louis J. Franco,Chairman,38,"Louis J. Franco, Chairman"
2016,Capital Planning Committee,Citizens' Representative,Vice Chair,94,"Dennis Mannone Jr., Citizens' Representative, Vice Chair"
2016,Conservation Commission,Richard Bursch,Chairman,54,"Richard Bursch, Chairman"
2016,Conservation Commission,Todd Dwyer,Vice-Chairman,54,"Todd Dwyer, Vice-Chairman"
2016,Finance Committee,Mark Erickson,Chair,65,"Mark Erickson, Chair"
2016,Finance Committee,Terri Burchfield,Vice Chair,65,"Terri Burchfield, Vice Chair John Henshaw, Secretary"
2016,Historical Commission,Rebecca Lantry,Chairperson,66,"Rebecca Lantry, Chairperson"
2016,Library 68-69 Public Access Channel Committee,Steve Walker,Chair,70,"Steve Walker, Chair"
2016,Library 68-69 Public Access Channel Committee,Faith Beall,Vice Chair,70,"Faith Beall, Vice Chair"
2016,Planning Board,Damon McQuaid,Chair,96,"Damon McQuaid, Chair Kenneth Chenis, Clerk Gregory Bittner, Member Matthew Allison,"
2016,Planning Board,David Prokowiew,Vice Chair,96,"Vice Chair David Prokowiew, Member Adam R. Burney, Land Use Director"
2016,Sewer Commission,Carl Luck,Chair,77,"Carl Luck, Chair"
2016,Sewer Commission,John Reynolds,Vice Chair,77,"John Reynolds, Vice Chair"
2016,Zoning Board of Appeals,Raymond Beal,Chairman,97,"The Zoning Board consists of the following members: Raymond Beal, Chairman, Alfred Gravelle, Vice"
2017,Board of Assessors,Louis J. Franco,Chairman,35,"Louis J. Franco, Chairman Richard H. Letarte, Member Rena Swezey., Member"
2017,Capital Planning Committee,Jamie Toale,Chair,90,"Jamie Toale, Chair, BOS Representative"
2017,Capital Planning Committee,Heather Sroka,Vice-Chair,90,"Heather Sroka, Vice-Chair, School Committee Representative"
2017,Cemetery Commission,Lorraine Mendoza,Vice-Chairman,49,"Lorraine Mendoza, Vice-Chairman"
2017,Conservation Commission,Richard Bursch,Chair,51,"Richard Bursch, Chair"
2017,Conservation Commission,Todd Dwyer,Vice-Chair,51,"Todd Dwyer, Vice-Chair"
2017,Finance Committee,Terri Burchfield,Chair,60,"Terri Burchfield, Chair; Mark Erickson, Vice Chair; Jay Simeone, Clerk"
2017,Finance Committee,Mark Erickson,Vice Chair,60,"Terri Burchfield, Chair; Mark Erickson, Vice Chair; Jay Simeone, Clerk"
2017,Planning Board,Gregory Bittner,Chair,91,"Gregory Bittner, Chair Kenneth Chenis, Clerk"
2017,Planning Board,Matthew Allison,Vice Chair,91,"Chair, and Matthew Allison, Vice Chair. Kenneth Chenis continued as Clerk. Board members served as repre-"
2017,Public Access Channel Committee,Steve Walker,Chair,65,"Steve Walker, Chair"
2017,Public Access Channel Committee,Faith Beall,Vice Chair,65,"Faith Beall, Vice Chair"
2017,Sewer Commission,Joe Anderson,Chair,72,"Joe Anderson, Chair"
2017,Sewer Commission,Carl Luck,Vice Chair,72,"Carl Luck, Vice Chair"
2017,Town Manager Report,Jamie Toale,Chairman,16,"Manager Heather Lemieux, Selectmen Chairman Jamie Toale, Land Use Director Adam"
2017,Zoning Board of Appeals,Alfred Gravelle,Chairman,93,"Alfred Gravelle, Chairman Ritter Memorial Building"
2017,Zoning Board of Appeals,James Besarkarski,Vice Chairman,93,"James Besarkarski, Vice Chairman 960 Massachusetts Avenue"
2018,Ad Hoc Open Space Advisory Committee,Brandon Kibbe,Chair,106,"Brandon Kibbe, Chair Richard Brockelman, Member At Large"
2018,BOARD OF ASSESSORS,Louis Franco,Chairman,42,"Louis Franco, Chairman Richard Letarte, Member Rena Swezey., Member"
2018,Capital Planning Committee,Damon McQuaid,Chair,104,"Damon McQuaid, Chair, BOS Representative"
2018,Capital Planning Committee,Heather Sroka,Vice-Chair,104,"Heather Sroka, Vice-Chair, School Committee Representative"
2018,Conservation Commission,Richard Bursch,Chair,59,"Richard Bursch, Chair"
2018,Conservation Commission,Todd Dwyer,Vice-Chair,59,"Todd Dwyer, Vice-Chair"
2018,Council on Aging,Jacquelyn Dwyer,Chairperson,60,"Chairperson Jacquelyn Dwyer, Betty DiGiacomo, Sarah Grant, Brian Guenard, Deb Lincoln, Kevin"
2018,Council on Aging,Pete Lincoln,Chairperson,60,"Board of Selectmen. The FY16 Council on Aging Board members were; Chairperson Pete Lincoln, Vice-"
2018,Planning Board,Gregory Bittner,Chair,105,"Gregory Bittner, Chair Kenneth Chenis, Clerk Tanner Cole, Member"
2018,Planning Board,Matthew Allison,Vice Chair,105,"Matthew Allison, Vice Chair David Prokowiew, Member"
2018,Zoning Board of Appeals,Alfred Gravelle,Chairman,107,"Alfred Gravelle, Chairman Ritter Memorial Building"
2018,Zoning Board of Appeals,James Besarkarski,Vice Chairman,107,"James Besarkarski, Vice Chairman 960 Massachusetts Avenue"
2019,105 Capital Planning Committe lanning Boar,Matthew Allison,Chair,108,"Matthew Allison, Chair Gregory Bittner, Clerk Rhonda Lisio, Member"
2019,105 Capital Planning Committe lanning Boar,Tanner Cole,Vice Chair,108,"Tanner Cole, Vice Chair Paula Bertram, Member Adam R. Burney, Land Use Director"
2019,Ad Hoc Open Space Advisory Committee,Brandon Kibbe,Chairman,109,"Brandon Kibbe, Chairman"
2019,Architectural Preservation District Commission,La Veck,Vice-Chair,59,"Neglect, and if notices of violation were applied evenly. To address the issue, Vice-Chair La Veck drafted a"
2019,Cemetery Commission,William Tyler,Chairman,61,"William Tyler, Chairman"
2019,Cemetery Commission,Lorraine Mendoza,Vice-Chairman,61,"Lorraine Mendoza, Vice-Chairman"
2019,Conservation Commission,Richard Bursch,Chair,63,"Richard Bursch, Chair"
2019,Conservation Commission,Todd Dwyer,Vice-Chair,63,"Todd Dwyer, Vice-Chair"
2019,enior Property Tax Work Off Prograr,Robert Hamel,Chairperson,85,"Robert Hamel, Chairperson; Susan Doherty, Vice-Chairperson; Sheila Craigen, Clerk; Nancy Forest,"
2019,enior Property Tax Work Off Prograr,Susan Doherty,Vice-Chairperson,85,"Robert Hamel, Chairperson; Susan Doherty, Vice-Chairperson; Sheila Craigen, Clerk; Nancy Forest,"
2019,ewer Commissio,Mike Nault,Chair,87,"Carl Luck, Acting Chair Mike Nault, Member"
