slug,name,source,url,local,sha256,meets,members,overview,charter_ref,facebook,facebook_scope,fetched_at
agricultural-commission,Agricultural Commission,town,https://www.lunenburgma.gov/159/Agricultural-Commission,sources/town-supplementary/docs/board-159-agricultural-commission.html,a6658110fe8184bd2aaef2fb3a8ac1af82655d2d5fec7f7803df0d29015b304c,"7 pm
3rd Thursday of each month
Lower level of the Ritter Memorial Building","Jennifer Duffy, Chair — Term Expires June 2029
Maryrae Holman, Vice Chair — Term Expires June 2027
Jacqueline Chabot, Clerk — Term Expires June 2028
Kathy Dugan, Member — Term Expires June 2027
Ryan Stober, Member — Term Expires June 2027
Kira McClellan, Associate Member — Term Expires June 2028
Kim Muzzi, Associate Member — Term Expires June 2029","The Agricultural Commission shall have the primary responsibility of assisting in maintaining agriculture in Lunenburg. The Commission shall administer the Right to Farm Bylaw and will hold additional responsibilities as charged by the Board of Selectmen. The Commission is a component of the state's ""Sustainable Development"" program, thereby helping Lunenburg become eligible for various state grant programs. The Agricultural Commission can oversee, operate or run a Farmers' Market.
The Agricultural Commission shall develop a work plan to guide its activities. Such activities may include but are not limited to, the following: encouraging the continued pursuit of agriculture in Lunenburg; promoting agricultural-based economic opportunities in Town; mediating, advocating, educating, and/or negotiating on farming issues; working for the preservation of prime agricultural lands; and pursuing all initiatives appropriate to retaining farming in Lunenburg.
""Encouraging the continued pursuit of agriculture; promoting agriculturally based economic opportunities in town; mediating, advocating, educating and/or negotiating on farming issues; working for the preservation of prime agricultural lands; and pursuing all initiatives appropriate to retaining farming in Lunenburg.""
The Agricultural Commission consists of five members and two alternate members appointed by the Board of Selectmen for terms of three years each. A majority of the membership shall be substantially engaged in the pursuit of agriculture. A vacancy occurring otherwise than by expiration of a term shall be filled for the unexpired term in the same manner as the original appointment.
Anyone and everyone interested in farming, pursuing farming, or seeking to help preserve, protect, and promote Lunenburg's agricultural heritage is always welcome.",a Town Bylaw,https://www.facebook.com/LunenburgCommunityFarmersMarket,board,2026-09-14T14:56:35Z
americans-with-disabilities-committee,Americans with Disabilities Committee,town,https://www.lunenburgma.gov/202/Americans-with-Disabilities-Committee,sources/town-supplementary/docs/board-202-americans-with-disabilities-committee.html,bf0bbfdbba9d2e8102de5c194df711ce2c019bc1b2ed75cf7d9c4f1db66b352a,,"Barbara Reynolds, Member at Large — Term Expires June 30, 2027
Richard Taylor, Member at Large — Term Expires June 30, 2029
Heather Gleason, Member at Large — Term Expires June 30, 2029
Renee Emkey, Select Board Representative
Brian Gingras, Building Commissioner
Overview:
This Committee is composed of five members serving three-year terms appointed by the Town Manager and ratified by the Select Board.
The majority of members shall consist of people with disabilities or may be a member of the immediate family of a person with a disability. One shall be a representative of the Select Board, or their designee, and shall be initially appointed for a one-year term, one shall be the Building Commissioner or Local Inspector initially appointed for a three-year term, and three at-large members initially appointed with staggered terms of one, two and three years. After the initial term, all members shall serve three-year terms.
Any vacancies shall be filled in the same manner as an original appointment. All duly appointed members have full voting rights. It is the responsibility of the ADA Committee to make recommendations to the Town that enables compliance with the provisions of the Americans with Disabilities Act of 1992 and will hold additional duties as charged by the Select Board. (Adopted as a bylaw in 1993, Amended on November 13, 2018, STM, Article 10).",,,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
architectural-preservation-district-commission,Architectural Preservation District Commission,town,https://www.lunenburgma.gov/203/Architectural-Preservation-District-Comm,sources/town-supplementary/docs/board-203-architectural-preservation-district-commission.html,933388f0d0b5f6de4124746f55c2f983dde0702b3ace5c4314a0bac86ef7e69b,"7:30pm
2nd Thursday
Ritter Building","Anthony Sculimbrene, Chair — Term Expires June 2028
William Lloyd, Clerk - Design Professional — Term Expires June 2028
Mali Wagner, Member — Term Expires June 2029
Jennifer Sanderson, Member- Historical Commission Representative — Term Expires June 2027
Andrew Gillis, Member — Term Expires June 2026","Welcome to the website for the Lunenburg Architectural Preservation District Commission.
The 2015 Lunenburg Town Meeting established the Architectural Preservation District (""District"") Bylaw (""Bylaw"") to regulate the construction, demolition, or renovation of existing ""Contributing Property"" structures as defined by the bylaw within an established bounded District (""District""). The Bylaw was introduced at Town Meeting along with the Village District Bylaw, which created an overlay zoning district to encourage mixed-use commercial and residential development. While the Village District Bylaw encourages the economic vitalization of downtown Lunenburg, the Architectural Preservation District Bylaw ensures that it will not come at the expense of the town's historical character and integrity.
The Bylaw also mandated the creation of Design Guidelines (""Guidelines"") to assist the Architectural Preservation District Commission (""APDC"") in evaluating requests for construction, renovation, and demolition of structures that are 75 years old or older within the District, as shown in the District Map (PDF).
The Select Board shall appoint a five-member APDC to oversee the APD pursuant to this bylaw. Initially, two members shall be appointed for one year, two for two years, and one for three years; each successive appointment shall be made for three years. The Select Board may also appoint up to two alternate members, initially for terms of one, two, and three years, and for three-year terms thereafter.
To the extent achievable, the APDC shall be comprised of the following persons: a member of the Lunenburg Historical Commission; a design professional; a craftsperson or building contractor familiar with historic restoration; one resident of the APD, and one resident at large. Members and alternates of the APDC shall by reason of experience and/or education have demonstrable knowledge, interest, and ability to effectively carry out the APDC's responsibilities.
To request additional information or to inquire about a non-binding Administrative Review, please email Email APDC.",a Town Bylaw,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
board-of-assessors,Board of Assessors,town,https://www.lunenburgma.gov/772/Board-of-Assessors,sources/town-supplementary/docs/board-772-board-of-assessors.html,53080cda14370bf498685ec69d0265f1fda1ebe512b970c91bfbcb0094e7ae98,,"Brian Laffond, Chair — Term Expires June 2029
Sarah Cammer, Vice Chair — Term Expires June 2027
Bryant Moscon, Member — Term Expires June 2028","In Massachusetts, Assessors are either appointed or elected to three-year terms. The Assessors' primary responsibility is to value all real estate and personal property subject to taxation. Assessed valuations are based on ""full and fair cash value"" of as of the January 1st preceding each fiscal year. Ex. For Fiscal Year 2021, the assessment date is January 1, 2020, and market sales utilized for valuation purposes are from calendar year 2019.
In order to maintain assessment at or near market value, the Assessors regularly compare property valuations with the selling prices of properties that have sold. Assessment-to-sale ration statistics are analyzed to determine the median assessment level, as well as assessment uniformity. No valuation methodology can accurately predict what a property will sell for.
Under the umbrella of Massachusetts state and local town laws, Lunenburg’s Assessing organization will work with the town operations and our citizens to meet our vision for delivering a fair and equitable taxation for our citizens. The Lunenburg Board of Assessors will evolve and administer a service of “Best Practices” methodologies consistent with our Vision. These practices will ensure equitable treatment and compassion for all our citizens.
The Board of Assessors has empowered an Assessor organization that has the capability to evaluate and assess all property at its full and fair market value. This is accomplished through a rigorous measurement of property, collection of appropriate data, analysis and maintenance of all property tax data records. Additionally, the Assessor department administers a motor vehicle excise tax, real estate and motor vehicle tax abatements, and all statutory tax exemptions as allowed by law. The Assessor Organization will work cohesively with other town departments.
The Fiscal Year 2026 tax rate is $14.39 per thousand.
Vision Statement
To provide Lunenburg with fiscal stability; by promptly, fairly and equitably determining the valuation of all real and personal property located within the geographic boundaries of Lunenburg; and execute the Assessor functions as described by Mass General Laws, the Mass Department of Revenue and the Citizens of Lunenburg.
This will be accomplished through a rigorous measurement of property, collection appropriate data, analysis and maintenance of all property tax data records. Additionally, the Assessor department will also administer a motor vehicle excise tax, real, tax abatements, and all statutory tax exemptions as allowed by law. The Assessor Organization will work cohesively with other town departments.
The Lunenburg Board of Assessors will actively reach out to the citizens of Lunenburg, to assure all members of the community are aware of all taxation practices and exemptions available. The assessors will assist with clarification these practices & exemptions, as well as guide citizens in their usage of these exemptions.
Mission Statement
Under the umbrella of Massachusetts state and local town laws; Lunenburg's Assessor organization will work with the town operations and our citizens to meet our vision for delivering a fair and equitable taxation for our citizens
The Lunenburg Board of Assessors will evolve and administer a series of “Best Practices” methodologies consistent our Vision. These practices will assure equitable treatment and compassion for all our citizens.
Board of Directors will empower an Assessor organization that will have the capability to evaluate and assess all property at its full and fair market value, for the purpose of fair and equitable taxation.
This will be accomplished through a rigorous measurement of property, collection appropriate data, analysis and maintenance of all property tax data records. Additionally, the Assessor department will also administer a motor vehicle excise tax, real, tax abatements, and all statutory tax exemptions as allowed by law. The Assessor Organization will work cohesively with other town departments.
The Lunenburg BOA activities are defined within our Town Charter.
As members of the Lunenburg Board of Assessors, (Both elected and appointed), we are in fact employees of the Town of Lunenburg, and subject to all Mass Conflict of Interest Laws and regulations: G.L c 268A.",,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
board-of-health,Board Of Health,town,https://www.lunenburgma.gov/207/Board-Of-Health,sources/town-supplementary/docs/board-207-board-of-health.html,40caf73ce09c74e7f1902d1dbc1084d049404eade22531e50d4cff2e4caab12f,"Regular meetings4:30pm
1st and 3rd Monday of each month
Lower level conference room
Ritter Memorial Building
During July, August, and September4:30pm
3rd Monday of each month
Lower level conference roomRitter Memorial Building","The Lunenburg Board of Health consists of 5 members, all are elected for staggered terms of three years.
Matt Proctor, Chair — Term Expires May 2027
Perry Jewell, Vice Chair — Term Expires May 2029
Paul Fortin, Secretary — Term Expires May 2027
Nicholas Pirro, Member — Term Expires May 2028
Lorraine Rudd, Member — Term Expires May 2029","Nashoba Associated Boards of Health 2024 Annual Report
3/11/25 Clinical Advisory
Update regarding the spread of measles in the United States (PDF)
Please use the information below to assist with common needs
Many of the applications for lot testing, septic system repairs/replacement, and food service can be obtained by visiting the Nashoba Associated Boards of Health website.
Visit the Department of Environmental Protection Website for information on Title 5, Hazardous waste sites, and various other topics.
The Department of Public Health website contains useful information on topics relating to public health, including information on influenza, Easter Equine Encephalitis, and West Nile Virus.
The Massachusetts Department of Agricultural Resources (MDAR) mission is to ensure the long-term viability of agriculture in Massachusetts. Through its four divisions - Agricultural Conservation and Technical Assistance, Agricultural Markets, Animal Health, and Crop and Pest Services - MDAR strives to support, regulate and enhance the rich diversity of the Commonwealth's agricultural community to promote economically and environmentally sound food safety and animal health measures and fulfill agriculture's role in energy conservation and production.",,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
board-of-registrars,Board of Registrars,town,https://www.lunenburgma.gov/398/Board-of-Registrars,sources/town-supplementary/docs/board-398-board-of-registrars.html,631abd2b1e880e2c29facad616ce4e2655bd93fcf19e3401e12bab8eabc04f18,,"Ruth Anderson, Member
Term expires March 31, 2025
Karen Kemp, Member
Term expires March 31, 2026
Shirley McBride, Member
Term expires March 31, 2024
Kathryn Herrick, Ex Officio member",,,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
budget-task-force,Budget Task Force,town,https://www.lunenburgma.gov/719/Budget-Task-Force,sources/town-supplementary/docs/board-719-budget-task-force.html,2296d4efb5bc79ffc63b8ee97c93b5d17c53dc8f093e10adb3e5674a79af7c82,,"Anthony Sculimbrene, Chair (School Committee Representative)
Karen Barrett, Vice Chair (Director of Municipal Finance/Town Accountant)
Renee Emkey, Clerk (Select Board Representative)
Jean Russell, Member (Finance Committee Representative)
Jennifer Warren-Dyment, Member (Town Manager)
Kate Burnham, Ed. D., Member (Superintendent Lunenburg Public Schools)
Susan Gilson, Ph. D., Member (Director of Administration and Finance, Lunenburg Public Schools)
Laura Brzozoski, School Committee Alternate
Jean Russell, Finance Committee Alternate","Section 1: General
The Budget Task Force shall be charged with recommending scenarios for a three to five-year sustainable fiscal plan for the Town of Lunenburg. A sustainable fiscal plan is defined as a financial forecast that uses realistic assumptions for revenue and expenditure growth that allow the Town to provide services that meet residents’ expectations and meet ongoing expenditure obligations through regularly occurring revenues. Said fiscal plan shall consider, as an example, alternative revenue sources; overrides and exclusions under proposition 2 ½; cuts in service; contracting out of services, as well as other measures. Said fiscal plan shall include both operational and capital budgets for the town. The Budget Task Force shall consult with pertinent departments as it formulates its plan.
The Budget Task Force shall present its findings and recommendations to the Select Board, Finance Committee, and School Committee no later than December 31, 2024.
Section 2: Tasks and Responsibilities
Collect data on revenue and expenditure historical trends, and project future estimates based on trends and various assumptions.
Benchmark municipal and school performance, programs, expenditures, and revenues with comparable municipalities.
Examine potential revenue sources; overrides and exclusions under Proposition 2 ½ as well as non-tax and non-override revenue sources in compliance with the Town Financial Policy including costs, feasibility, potential savings, and other impacts of potential adoption and implementation; cuts in service; contracting out of services, as well as other measures.
Evaluate strategies to properly staff municipal and school operations while managing growth of personnel costs.
Analyze capital project funding needs and impacts, including long term large capital projects.
Include both operational and capital budgets in the fiscal plan recommendations.
Assess the impact any increased taxes and fees will have on taxpayers and residents, including the tax impact of debt exclusions related to large capital projects under consideration.
Section 3: Membership and Meetings
The Select Board does hereby establish the Budget Task Force as a temporary working group consisting of seven (7) members:Select Board, 1 representative and an optional alternate appointed by it
School Committee, 1 representative and an optional alternate appointed by it
Finance Committee, 1 representative and an optional alternate appointed by it
Town Manager
School Superintendent
Town Finance Director
School Director of Administration and Finance
The Select Board shall reserve the right to continue the Budget Task Force after its task is complete in order to adjust the plan due to changing circumstances.
The Budget Task Force shall meet at a time and place mutually agreeable to its membership.
Voting Power: All duly appointed members shall have full voting power.
A quorum shall consist of four (4) members.\
The election of officers including a Chair, Vice-Chair, and Clerk shall be by a majority vote of the Budget Task Force.
The recording of minutes and votes of all meetings as prescribed by Open Meeting Law. Copies of the minutes shall be submitted to the Town Clerk as prescribed in the Town Bylaws and according to Open Meeting Law.
This charge was adopted by the Lunenburg Select Board at their June 18, 2024 meeting and may be amended at any future meeting.",a Town Bylaw,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
by-law-committee,By-Law Review Committee,town,https://www.lunenburgma.gov/210/By-Law-Review-Committee,sources/town-supplementary/docs/board-210-by-law-review-committee.html,53a50361bc91277fdcd349c395dda97935a5bc55deca6dbc979f3266b0bf6289,,"Please direct emails to the board as a whole here. For individual member contact, refer to the list below.
Caesar Nuzzolo, Member
Jennifer Duffy, Member
Nancy Gray, Member
Robert Bowen, Member
Kathy Herrick, Member
Town Charter / Bylaws
Agendas & Minutes
Careers
Online Payments & Applications
Calendar
Explore & Discover Trails
Town Meeting & Finances
-->
Town of Lunenburg
17 Main Street
P.O. Box 135
Lunenburg, MA 01462
Phone: 978-582-4130
Quick Links
Boards and Commissions
Charter and Town Bylaws
Explore Lunenburg Brochure
Police
Town Clerk
/QuickLinks.aspx
Site Links
Home
Site Map",,,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
cable-advisory-committee,Cable Advisory Committee,town,https://www.lunenburgma.gov/826/Cable-Advisory-Committee,sources/town-supplementary/docs/board-826-cable-advisory-committee.html,699c50e7900494a2a010ffb458fd884ce3d6eb06eadc8caab5a56750bc1b594f,TBD,"Steve Archambault, Chair(PACC Representative)
Brian Lehtinen, Vice-Chair (Select Board Representative)
Brian Vienneau, Secretary (PACC Representative)
Karin Menard, Member-at-Large
Thomas Bodkin Jr., Member-at-Large","On February 10, 2026 the Select Board voted to form and charge the Cable Advisory Committee in order to advise the Select Board, as Issuing Authority, relative to the license renewal with Comcast. The vote passed 4-0. Under Massachusetts regulations (207 CMR § 3.03 (3)), the Select Board may appoint a Cable Advisory Committee to advise the Issuing Authority (Select Board) through the Cable Television License Renewal process.
Charge
The Lunenburg Cable Advisory Committee shall assist the Select Board as the Issuing Authority by performing the following duties:
Select and engage with Counsel relative to the Cable Television License Renewal process
Review and evaluate the current License Agreement
Engage in the Ascertainment process, to include, but not limited to:Developing and conducting a survey or surveys;
Holding community meetings,
Meeting with Comcast representatives, together with Counsel, negotiate the License Renewal
Regularly report to the Select Board on the status of the Committee
Advise the Select Board relative to the License Renewal
Membership
The Committee shall be composed of five (5) regular members appointed by the Select Board as follows:
Two members from Public Access Cable Committee (PACC)
One member from the Select Board
Two members that are residents of Lunenburg
The Committee shall abide by the Open Meeting Law.",,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
capital-planning-committee,Capital Planning Committee,town,https://www.lunenburgma.gov/212/Capital-Planning-Committee,sources/town-supplementary/docs/board-212-capital-planning-committee.html,fe6d255b70b8b16c72eb95e8eca3c23c2abc4db55d67e1130e4640937274f9bc,,"Peter Beardmore, Chair (School Committee Representative) — Term Expires June 2027
Matthew Brenner, Clerk (Planning Board Representative) — Term Expires June 2025
Chris Menard (Finance Committee Representative) — Term Expires June 2026
Brian Lehtinen, Member (Select Board Representative) — Term Expires June 2026
Robert Bowen, Resident at Large (Appointed by Town Moderator) — Term Expires June 2027","The goal of the Capital Planning Committee is to provide a means of planning for necessary expenditures for maintenance, equipment, and/ or improvements of the capital assets and infrastructure of the Town of Lunenburg.
The Capital Planning Committee shall research, study and advise the Selectmen and Finance Committee of the requests for short and long-range capital purchases for the Town. The Committee shall be charged with facilitating the coordination between community objectives, capital needs, and fiscal capacity. The Committee will help the Town to understand the tax impact of the capital expenditures and consider the relative need, timing, and cost of each capital expenditure. The Committee shall consider all written requests and make recommendations. The Committee shall provide a written report to assist the Selectmen and Finance Committee in keeping the community informed about the Town's future anticipated needs and projects that will be voted on at the Annual Town Meeting.
The Capital Planning Committee receives its authorization from Article 27 of the Town's Bylaws which states, ""There shall be a Capital Planning Committee. That Committee shall consist of five members to be appointed as follows: One member each designated by the Financial Committee, the Select Board, the School Committee, and the Planning Board, and a fifth member chosen at large by the Town Moderator. Each member shall be appointed for a term of three years, said terms staggered so that nearly an equal number of members shall be appointed each year. The Capital Planning Committee shall establish and update a comprehensive capital plan.
The committee shall at least annually provide its materials to the Chief Administrative and Financial Officer so that the Chief Administrative and Financial Officer will meet the obligations of the Office set forth in Section 6-6 (sic) of the Lunenburg Town Charter. The Capital Planning Committee shall be responsible for providing a complete inventory of town property, real and personal, including school property, in conjunction with the Chief Administrative and Financial Officer. (ATM 5/05/07, Art.21)",a Town Bylaw,https://www.facebook.com/townoflunenburgma/,town,2026-09-14T14:56:35Z
