fy,opens,closes,election,source,note
2012,,2011-05-21,2011-05-21,"annual town report, elections page (report-elections.csv)",
2015,2011-05-22,2014-05-17,2014-05-17,"annual town report, elections page (report-elections.csv)",
2016,2014-05-18,2015-05-16,2015-05-16,"annual town report, elections page (report-elections.csv)",
2017,2015-05-17,2016-05-21,2016-05-21,"annual town report, elections page (report-elections.csv)",
2018,2016-05-22,2017-05-20,2017-05-20,"annual town report, elections page (report-elections.csv)",
2019,2017-05-21,2018-05-19,2018-05-19,"annual town report, elections page (report-elections.csv)",
2021,2018-05-20,2020-06-20,2020-06-20,"annual town report, elections page (report-elections.csv)",election and Town Meeting delayed by COVID-19
2023,2020-06-21,2022-05-21,2022-05-21,"annual town report, elections page (report-elections.csv)",
2024,2022-05-22,2023-05-20,2023-05-20,"annual town report, elections page (report-elections.csv)",
2025,2023-05-21,2024-05-18,2024-05-18,"annual town report, elections page (report-elections.csv)",
2026,2024-05-19,2025-05-17,2025-05-17,"annual town report, elections page (report-elections.csv)",
2027,2025-05-18,2026-05-16,2026-05-16,town-supplementary/docs/town-2026-election-unofficial-results.pdf,
2028,2026-05-17,,,,the season under way; closes at the 2027 annual town election
