block,item,scope,status,figure,fte,date,who,why,evidence,note
deficit,Schools,school,path,"$28,707,248 to keep everything (level service)",,2025-01-22,the superintendent,"what keeping every position, programme and activity would cost, with special education grants applied — $29,056,371 with no grants",doc:sources/district-budget/docs/fy26-superintendent-39-s-proposed-budget-presentation-1-22-25.pdf,
deficit,Schools,school,started,"$3,492,995",,2025-02-05,the town manager,"the Town Manager's target for the schools, $25,563,376, against the $29,056,371 it would take to keep everything",doc:sources/district-budget/docs/fy26-town-manager-39-s-target-budget-2-5-25-presentation.pdf,the number the cut lists of 5 Feb and 26 Feb were built to
deficit,Schools,school,path,$1.9 million still to cut,,2025-02-05,the superintendent,"after grants, revolving-fund offsets and expense cuts were applied, what was still to be found from staff",school-committee/2025-02-05@9001,
deficit,Schools,school,path,"$680,000 more from the town",,2025-02-26,the superintendent,"the town manager's revised number, higher than first expected, largely absorbed by cost increases",school-committee/2025-02-26@11175,
deficit,Schools,school,corrected,"$1,913,460",,2025-03-12,the district,"grants and revolving-fund offsets were counted: keeping everything then cost $27,700,934 against the Town Manager’s $25,787,474",doc:sources/district-budget/docs/summary-page-tm-target-budget-needs-based-level-service.pdf,"the needs-based version was $1,578,472 short"
deficit,Schools,school,now,"$25,787,474 approved, 3.63% over FY25 — closed by cuts",,2025-03-12,School Committee vote,"the superintendent’s recommended budget, with the ski programme kept on participant cost-sharing",school-committee/2025-03-12@7813,
proposals,Level service,school,tier,"$27,700,934",,2025-03-12,the district,"everything as it was, with grants and offsets applied — 11.32% over FY25",doc:sources/district-budget/docs/summary-page-tm-target-budget-needs-based-level-service.pdf,"$1,913,460 above the Town Manager’s budget"
proposals,Needs-based,school,tier,"$27,365,946",,2025-03-12,the district,essential staffing and expenses to meet student needs — 9.98% over FY25,doc:sources/district-budget/docs/summary-page-tm-target-budget-needs-based-level-service.pdf,"$1,578,472 above the Town Manager’s budget; the override petition’s $2,099,337 sits above this"
proposals,Town Manager’s target,school,tier,"$25,563,376",,2025-02-05,the town manager,the limit set for the school department — 2.66% over FY25,doc:sources/district-budget/docs/fy26-town-manager-39-s-target-budget-2-5-25-presentation.pdf,
proposals,School Committee approved,school,tier,"$25,787,474",,2025-03-12,School Committee vote,the target plus what was found by March — 3.63% over FY25; the cut list below,doc:sources/district-budget/docs/final-fy26-sc-approved-budget-3-12-25-with-level-service-budget.pdf,adopted
cuts,Primary — part-time secretary,school,decided,,.25,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Primary — special education inclusion teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Primary — MTSS intervention teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Primary — summer student custodian,school,decided,,0.1,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Turkey Hill — part-time secretary,school,decided,,.25,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Turkey Hill — grade 5 teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Turkey Hill — special education teachers,school,decided,,0.5,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Turkey Hill — MTSS intervention teachers,school,decided,,0.5,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,"Turkey Hill — music teacher, reduced",school,decided,,0.2,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Turkey Hill — guidance,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Turkey Hill — paraprofessional,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Turkey Hill — paraprofessional (second),school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Turkey Hill — part-time tutor,school,decided,,0.5,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Turkey Hill — summer student custodian,school,decided,,0.1,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Middle school — paraprofessional,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
cuts,Middle school — summer student custodian,school,decided,,0.1,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,
cuts,Middle/high school — world language teacher,school,decided,,,2025-03-12,School Committee vote,on the School Committee’s approved personnel cut list,doc:sources/district-budget/docs/school-committee-approved-fy26-budget-personnel-cuts.pdf,one position; the list prints no FTE
