fy,total,free_cash,taxation,unexpended_prior_year_capital,other
2017,619475.00,250000.00,349023.05,20451.95,0.00
2018,633317.00,290018.69,343298.31,0.00,0.00
2019,1455214.00,215736.00,767999.97,54478.03,417000.00
2020,1684100.00,582731.96,923235.87,171781.68,6350.49
2021,1142213.00,647880.00,487507.00,6826.00,0.00
2022,1597825.00,804041.00,682502.42,111281.58,0.00
2023,2162849.30,983034.39,967725.00,212089.91,0.00
2024,1039010.00,467268.98,556789.09,14951.93,0.00
2025,1317119.98,1016722.36,0.00,300397.62,0.00
2026,1225000.00,655424.00,244576.00,325000.00,0.00
