vintage,table,variable,estimate,moe,moe_note,geography,about,source_file,sha256
2023,B01001,B01001_001E,11804,19,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_002E,6008,404,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_003E,340,168,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_004E,452,174,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_005E,360,149,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_006E,219,113,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_007E,139,77,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_008E,86,142,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_009E,20,23,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_010E,110,90,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_011E,341,149,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_012E,334,157,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_013E,444,138,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_014E,294,116,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_015E,383,156,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_016E,286,142,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_017E,422,141,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_018E,251,116,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_019E,572,212,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_020E,159,90,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_021E,100,49,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_022E,295,169,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_023E,219,105,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_024E,157,65,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_025E,25,25,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_026E,5796,400,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_027E,225,137,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_028E,378,115,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_029E,391,155,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_030E,371,187,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_031E,44,34,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_032E,36,32,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_033E,56,72,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_034E,162,138,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_035E,115,74,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_036E,504,155,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_037E,470,151,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_038E,481,145,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_039E,405,175,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
2023,B01001,B01001_040E,269,150,,"Lunenburg town, Worcester County, Massachusetts","Sex by age — the 65-and-over share, and every band beneath it",acs5-2023-B01001-lunenburg.json,3c371d3a828e55fedd3b772a265700a1e3fb739d469f36ae23ba53d3b6fe7c9f
