column,meaning,unit,basis,caution
fy,"Fiscal year, ending 30 June. FY2026 runs 1 July 2025 to 30 June 2026.",year,ours,INTEGER everywhere except grant_award/grants_history (a multi-year ESSER award) and rate_register (one rate with no year).
edition,"Which annual town report the row was read from, as that report names itself.",,ours,FY2016 has TWO editions — the report and an addendum. Summing on fy rather than edition counts that year twice.
page,"The page number printed on the page, not the PDF's index.",,publisher,The two differ by a cover offset that is not constant across years.
document,The source file the figure was read from.,,ours,
doc_id,The archive path of the document this row's figures came from.,,ours,Every fact row carries one. A figure that cannot name its document is not loaded.
label,"The row's name, as printed.",,publisher,"Not a key. MUNIS truncates to ten characters, so MS GUIDANC and HS GUIDANC collide."
line_key,Our normalised join key for a budget line.,,derived,Normalisation differs between budget_figure and workbook_figure — joining them on line_key matches only a fraction. Join on the normalised label instead.
value,"The figure, as printed.",dollars,publisher,
amount,"The figure, as printed.",dollars,publisher,
v1,"ORDINAL, NOT A COLUMN NAME: the first column of THIS PAGE that held figures.",dollars,derived,"The ruler is built per page, so v1 on one page and v1 on the next can be different printed columns. Read column_meaning. Summing v1 down a run adds one page's APPROPRIATED to another's TOTAL EXPENDED."
v2,ORDINAL: the second column of this page that held figures.,dollars,derived,See v1.
v3,ORDINAL: the third column of this page that held figures.,dollars,derived,See v1.
v4,ORDINAL: the fourth column of this page that held figures.,dollars,derived,See v1.
v5,ORDINAL: the fifth column of this page that held figures.,dollars,derived,See v1.
v6,ORDINAL: the sixth column of this page that held figures.,dollars,derived,See v1.
v7,ORDINAL: the seventh column of this page that held figures.,dollars,derived,See v1.
v8,ORDINAL: the eighth column of this page that held figures.,dollars,derived,See v1.
columns_as_printed,"The column headings of this table, verbatim, as that page prints them.",,publisher,This is what says which printed column v1 actually is. It is the only thing that does.
column_meaning,"What each ordinal column is, where the table states an identity that fixes it.",,derived,"Says `not established` where the table does not fix it, and that is not the same as unknown-and-guessable."
status,Whether this row's table was CHECKED against a total the report itself prints.,,derived,"`checked`, `check failed`, `no check`. NOTHING may be aggregated without splitting on this — check failed is not slightly-worse data, it is data whose columns do not sum to the printed total."
reconciliation,The per-column result of that check: what we summed against what the report printed.,,derived,
row_check,Whether the row satisfies an identity the table itself states.,,derived,
derived_cell,"A cell we computed from the row's own other cells, recorded here and NEVER written into a v column.",,derived,"An inference kept out of the readings, on purpose."
n_values,How many money cells this row actually carried.,count,derived,"Fewer than the table's column count means blank cells, and which ones were blank is positional."
ruler_spanned,The column ruler could not cut this row cleanly.,,derived,Flagged rather than dropped: a dropped row shifts nothing and is invisible.
is_subtotal,"This row is a total of other rows, not a fund or a line of its own.",,derived,Must be excluded from column sums or the rows it summarises are counted twice.
group,"The department heading the row sits under, as printed.",,publisher,A heading governs every row below it until the next one.
dataset,Which extract family this row belongs to.,,ours,
table_family,Which printed table shape this row came from.,,ours,
kind,What sort of row or record this is.,,ours,Meaning differs by table — see the per-table entry.
stage,"What the figure IS: proposed, settled, or actual.",,ours,Rule 1. A rate measured from one stage to another is partly growth and partly the step between them.
variant,Which whole-budget scenario the figure belongs to.,,ours,"FY27 has four — Balanced, Core Budget, Level Service, Restoration. Without this you sum all four budgets together."
period,MUNIS accounting period: a point in time INSIDE the fiscal year.,,publisher,A period is not a stage. Period 9 and period 12 are two different reports of the same year; adding them adds one report to the other.
account_id,"The full MUNIS account, fund-org-object.",,publisher,The stable identity. Never identify an account by its name.
account_type,Whether the account is expense or revenue.,,publisher,"Revenue is stored NEGATIVE. Omitting this once made the town's whole budget compute as minus $997,871."
level,Whether the row is a department roll-up or a detail account.,,derived,"Both live in the same table. Summing both adds the budget to itself. `level` means something different again in `dese_function_expenditure` and `dese_function_statewide`, where it is the DESE hierarchy — total, rollup, category, detail — and in the athletics tables, where it is a school level."
fund,The MUNIS fund number.,,publisher,"School money spans 13xx, 15xx, 22xx and 26xx-29xx. There is no single range that means school."
fund_name,The fund's name as MUNIS prints it.,,publisher,CHAPTER 658 REVOLVING FUND is athletics. Identify a fund by number.
dept,The MUNIS department number.,,publisher,A department is not a purpose: school retiree health sits in the insurance department.
org,The MUNIS org segment of the account.,,publisher,
object,The MUNIS object code — what kind of thing the money buys.,,publisher,
function,The DESE function code.,,publisher,"Joins a CATEGORY, never a line."
name,The name as the source prints it.,,publisher,MUNIS truncates account names to ten characters.
original,The appropriation as originally voted.,dollars,publisher,
revised,The appropriation after transfers.,dollars,publisher,
expended,Spent.,dollars,publisher,
encumbered,Committed by purchase order but not yet spent.,dollars,publisher,
available,Revised less expended less encumbered.,dollars,publisher,
pct_used,Share of the revised budget used.,percent,publisher,
revenue,Money received into the fund.,dollars,publisher,"Not the same quantity as spending, and the two must never be added."
spent,Money paid out of the fund.,dollars,publisher,Not the same quantity as revenue.
opening_balance,What the fund held at the start of the year.,dollars,publisher,
closing_balance,What the fund held at the end of the period.,dollars,publisher,
class,Our classification of what KIND of revenue this is.,,ours,Says where the money came FROM. It does NOT say what the money went on to pay for — general fund money is fungible and no document apportions it.
classification,Our classification of the node.,,ours,
how,How that classification was established.,,ours,
why,"Why the classification was made, in words that can be argued with.",,ours,
basis,"Whether a figure is published, contractual, statutory, our measurement or our assumption.",,ours,
source,"Where the figure came from, as the extractor recorded it.",,ours,A loose reference — a filename — not a resolved address.
