kind,sy,org_code,org_name,org_type,stu_grp,gk_pct,g01_pct,g02_pct,g03_pct,g04_pct,g05_pct,g06_pct,g07_pct,g08_pct,g09_pct,g10_pct,g11_pct,grd_all
attrition,2026,01620605,Advanced Community Experience Program,School,All Students,,,,,,,,,,,,,
attrition,2026,01620000,Lunenburg,District,All Students,0.043,0.038,0.07,0.016,0.055,0.017,0.078,0.045,0.277,0.055,0.027,0.009,0.062
attrition,2026,01620000,Lunenburg,District,American Indian or Alaska Native,,,,,,,,,,,,,
attrition,2026,01620000,Lunenburg,District,Asian,,,,,,,,,,0.5,,,0.15
attrition,2026,01620000,Lunenburg,District,Black or African American,,0.286,,0.167,,,0.2,,0.25,,,,0.197
attrition,2026,01620000,Lunenburg,District,Hispanic or Latino,0.059,0.143,0.19,0.0,0.167,0.0,0.0,0.063,0.091,0.059,0.083,0.0,0.077
attrition,2026,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",,,,,,,,,,,0.0,,0.078
attrition,2026,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,,
attrition,2026,01620000,Lunenburg,District,White,0.022,0.0,0.038,0.01,0.034,0.01,0.08,0.036,0.301,0.013,0.023,0.01,0.05
attrition,2026,01620000,Lunenburg,District,High Needs,0.083,0.027,0.13,0.043,0.119,0.0,0.115,0.118,0.324,0.056,0.032,0.0,0.091
attrition,2026,01620000,Lunenburg,District,English Learners,0.0,,0.2,0.0,,,0.286,,,,,,0.113
attrition,2026,01620000,Lunenburg,District,Low Income,0.086,0.037,0.133,0.056,0.154,0.0,0.147,0.136,0.3,0.083,0.042,0.0,0.096
attrition,2026,01620000,Lunenburg,District,Students with Disabilities,0.067,0.0,0.143,0.0,0.105,0.0,0.061,0.056,0.263,0.0,0.071,0.0,0.068
attrition,2026,01620000,Lunenburg,District,Female,0.049,0.039,0.089,0.028,0.038,0.038,0.075,0.051,0.286,0.057,0.034,0.018,0.066
attrition,2026,01620000,Lunenburg,District,Male,0.036,0.037,0.051,0.0,0.071,0.0,0.081,0.039,0.27,0.053,0.018,0.0,0.057
attrition,2026,01620505,Lunenburg High,School,All Students,,,,,,,,,,0.055,0.027,0.009,0.029
attrition,2026,01620505,Lunenburg High,School,Asian,,,,,,,,,,0.5,,,0.333
attrition,2026,01620505,Lunenburg High,School,Black or African American,,,,,,,,,,,,,0.0
attrition,2026,01620505,Lunenburg High,School,Hispanic or Latino,,,,,,,,,,0.059,0.083,0.0,0.056
attrition,2026,01620505,Lunenburg High,School,"Multi-Race, Not Hispanic or Latino",,,,,,,,,,,0.0,,0.053
attrition,2026,01620505,Lunenburg High,School,Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,,
attrition,2026,01620505,Lunenburg High,School,White,,,,,,,,,,0.013,0.023,0.01,0.015
attrition,2026,01620505,Lunenburg High,School,High Needs,,,,,,,,,,0.056,0.032,0.0,0.033
attrition,2026,01620505,Lunenburg High,School,English Learners,,,,,,,,,,,,,0.0
attrition,2026,01620505,Lunenburg High,School,Low Income,,,,,,,,,,0.083,0.042,0.0,0.045
attrition,2026,01620505,Lunenburg High,School,Students with Disabilities,,,,,,,,,,0.0,0.071,0.0,0.028
attrition,2026,01620505,Lunenburg High,School,Female,,,,,,,,,,0.057,0.034,0.018,0.036
attrition,2026,01620505,Lunenburg High,School,Male,,,,,,,,,,0.053,0.018,0.0,0.023
attrition,2026,01620305,Lunenburg Middle School,School,All Students,,,,,,,0.078,0.045,,,,,0.064
attrition,2026,01620305,Lunenburg Middle School,School,Asian,,,,,,,,,,,,,
attrition,2026,01620305,Lunenburg Middle School,School,Black or African American,,,,,,,0.2,,,,,,0.214
attrition,2026,01620305,Lunenburg Middle School,School,Hispanic or Latino,,,,,,,0.0,0.063,,,,,0.033
attrition,2026,01620305,Lunenburg Middle School,School,"Multi-Race, Not Hispanic or Latino",,,,,,,,,,,,,0.0
attrition,2026,01620305,Lunenburg Middle School,School,Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,,
attrition,2026,01620305,Lunenburg Middle School,School,White,,,,,,,0.08,0.036,,,,,0.063
attrition,2026,01620305,Lunenburg Middle School,School,High Needs,,,,,,,0.115,0.118,,,,,0.116
attrition,2026,01620305,Lunenburg Middle School,School,English Learners,,,,,,,0.286,,,,,,0.25
attrition,2026,01620305,Lunenburg Middle School,School,Low Income,,,,,,,0.147,0.136,,,,,0.143
attrition,2026,01620305,Lunenburg Middle School,School,Students with Disabilities,,,,,,,0.061,0.056,,,,,0.059
attrition,2026,01620305,Lunenburg Middle School,School,Female,,,,,,,0.075,0.051,,,,,0.065
attrition,2026,01620305,Lunenburg Middle School,School,Male,,,,,,,0.081,0.039,,,,,0.064
attrition,2026,01620010,Lunenburg Primary School,School,All Students,0.043,0.038,,,,,,,,,,,0.041
attrition,2026,01620010,Lunenburg Primary School,School,Asian,,,,,,,,,,,,,
attrition,2026,01620010,Lunenburg Primary School,School,Black or African American,,0.286,,,,,,,,,,,0.4
attrition,2026,01620010,Lunenburg Primary School,School,Hispanic or Latino,0.059,0.143,,,,,,,,,,,0.097
attrition,2026,01620010,Lunenburg Primary School,School,"Multi-Race, Not Hispanic or Latino",,,,,,,,,,,,,
attrition,2026,01620010,Lunenburg Primary School,School,White,0.022,0.0,,,,,,,,,,,0.011
attrition,2026,01620010,Lunenburg Primary School,School,High Needs,0.083,0.027,,,,,,,,,,,0.059
attrition,2026,01620010,Lunenburg Primary School,School,English Learners,0.0,,,,,,,,,,,,0.077
attrition,2026,01620010,Lunenburg Primary School,School,Low Income,0.086,0.037,,,,,,,,,,,0.065
attrition,2026,01620010,Lunenburg Primary School,School,Students with Disabilities,0.067,0.0,,,,,,,,,,,0.028
attrition,2026,01620010,Lunenburg Primary School,School,Female,0.049,0.039,,,,,,,,,,,0.045
attrition,2026,01620010,Lunenburg Primary School,School,Male,0.036,0.037,,,,,,,,,,,0.037
attrition,2026,01620025,Turkey Hill Elementary School,School,All Students,,,,0.016,0.055,,,,,,,,0.034
attrition,2026,01620025,Turkey Hill Elementary School,School,Asian,,,,,,,,,,,,,
attrition,2026,01620025,Turkey Hill Elementary School,School,Black or African American,,,,0.167,,,,,,,,,0.091
attrition,2026,01620025,Turkey Hill Elementary School,School,Hispanic or Latino,,,,0.0,0.167,,,,,,,,0.071
attrition,2026,01620025,Turkey Hill Elementary School,School,"Multi-Race, Not Hispanic or Latino",,,,,,,,,,,,,0.111
attrition,2026,01620025,Turkey Hill Elementary School,School,Native Hawaiian or Other Pacific Islander,,,,,,,,,,,,,
attrition,2026,01620025,Turkey Hill Elementary School,School,White,,,,0.01,0.034,,,,,,,,0.022
attrition,2026,01620025,Turkey Hill Elementary School,School,High Needs,,,,0.043,0.119,,,,,,,,0.08
attrition,2026,01620025,Turkey Hill Elementary School,School,English Learners,,,,0.0,,,,,,,,,0.0
