fy,measure,basis,districts,p_min,p25,median,p75,p_max,lunenburg,lunenburg_rank_of_districts,doc_id
1993,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",371,0.0000,401.0572,1024.2684,1854.9709,45621.1667,1118.7076,171 of 371,sources/state-dese/dese-ch70-district-profile.xlsx
1993,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,371,-7.4382,0.5127,0.7347,0.9646,2.0843,0.7067,205 of 371,sources/state-dese/dese-ch70-district-profile.xlsx
1994,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",368,50.0000,478.5638,1190.0444,2101.1214,45927.5000,1249.1698,173 of 368,sources/state-dese/dese-ch70-district-profile.xlsx
1994,net school spending as a share of required,stage: actual,368,0.9499,1.0000,1.0152,1.0434,34.0426,1.0392,103 of 368,sources/state-dese/dese-ch70-district-profile.xlsx
1994,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,368,0.0000,0.5153,0.7469,0.9508,1.8858,0.6747,205 of 368,sources/state-dese/dese-ch70-district-profile.xlsx
1995,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",351,0.0000,508.2328,1289.3345,2443.6697,34470.6250,1301.0099,174 of 351,sources/state-dese/dese-ch70-district-profile.xlsx
1995,net school spending as a share of required,stage: actual,349,0.1301,1.0077,1.0206,1.0487,8.5164,1.0118,238 of 349,sources/state-dese/dese-ch70-district-profile.xlsx
1995,required local contribution as a share of the foundation budget,the rest is Chapter 70 aid,351,0.0000,0.5077,0.7431,0.9834,5.2204,0.6504,207 of 351,sources/state-dese/dese-ch70-district-profile.xlsx
1996,Chapter 70 aid per foundation pupil,"per FOUNDATION enrollment, which is not a headcount of children in the buildings",353,104.1667,621.8781,1522.6439,2620.3671,91996.6667,1491.6870,181 of 353,sources/state-dese/dese-ch70-district-profile.xlsx
1996,net school spending as a share of required,stage: actual,354,0.1144,1.0132,1.0438,1.1055,629.1667,1.0032,306 of 354,sources/state-dese/dese-ch70-district-profile.xlsx
