fy,lea,district,race_ethnicity,race_level,job_class,educators_headcount,educators_pct,hires_headcount,hires_pct,retained_headcount,retained_pct,reconciles,doc_id
2021,00000000,State Totals,Afr. Amer./Black,detail,Administrator,741,0.08,47,0.1,618,0.849,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Afr. Amer./Black,detail,Other - Licensed,476,0.042,62,0.048,359,0.779,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Afr. Amer./Black,detail,Other - Non-Licensed,811,0.046,59,0.058,666,0.796,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Afr. Amer./Black,detail,Paraprofessional,1825,0.072,120,0.067,1412,0.829,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Afr. Amer./Black,detail,Teacher,2499,0.033,230,0.046,1951,0.825,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,All Educators,all,Administrator,9265,1,471,1,8794,0.876,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,All Educators,all,Other - Licensed,11303,1,1284,1,9131,0.817,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,All Educators,all,Other - Non-Licensed,17746,1,1013,1,15894,0.843,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,All Educators,all,Paraprofessional,25232,1,1782,1,21410,0.784,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,All Educators,all,Teacher,76546,1,5016,1,68779,0.884,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Administrator,11,0.001,0,0,8,0.8,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Other - Licensed,13,0.001,1,0.001,8,0.8,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Other - Non-Licensed,15,0.001,1,0.001,12,0.75,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Paraprofessional,30,0.001,1,0.001,26,0.743,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Amer. Ind. or Alaska Nat.,detail,Teacher,67,0.001,5,0.001,55,0.902,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Asian,detail,Administrator,153,0.017,6,0.013,140,0.87,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Asian,detail,Other - Licensed,143,0.013,15,0.012,119,0.793,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Asian,detail,Other - Non-Licensed,260,0.015,27,0.027,205,0.782,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Asian,detail,Paraprofessional,546,0.022,58,0.033,421,0.827,yes,sources/state-dese/dese-educators-retention.xlsx
2021,00000000,State Totals,Asian,detail,Teacher,1278,0.017,149,0.03,1048,0.858,yes,sources/state-dese/dese-educators-retention.xlsx
