fy,lea,district,org_code,org_name,org_level,total_cnt,pk_cnt,k_cnt,grade_1_cnt,grade_2_cnt,grade_3_cnt,grade_4_cnt,grade_5_cnt,grade_6_cnt,grade_7_cnt,grade_8_cnt,grade_9_cnt,grade_10_cnt,grade_11_cnt,grade_12_cnt,sp_cnt,el_cnt,el_pct,first_lang_not_english_cnt,high_needs_cnt,high_needs_pct,low_income_cnt,low_income_pct,econ_disadvantaged_cnt,econ_disadvantaged_pct,swd_cnt,swd_pct,reconciles,doc_id
1992,00190000,AYER,00190000,AYER,district,,,,,,,,,,,,,,,,,15,0.007,49,,,518,0.23,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,00190000,AYER,00190005,FORT DEVENS ELEMENTARY,school,,,,,,,,,,,,,,,,,,,11,,,53,0.133,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,00190000,AYER,00190010,PAGE,school,,,,,,,,,,,,,,,,,,,16,,,190,0.302,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,00190000,AYER,00190025,HILLTOP,school,,,,,,,,,,,,,,,,,,,9,,,180,0.35,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,00190000,AYER,00190510,AYER JUNIOR-SENIOR H S,school,,,,,,,,,,,,,,,,,,,13,,,95,0.133,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01250000,HARVARD,01250000,HARVARD,district,,,,,,,,,,,,,,,,,0,0.0,5,,,3,0.003,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01250000,HARVARD,01250005,HARVARD ELEMENTARY,school,,,,,,,,,,,,,,,,,,,0,,,3,0.006,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01250000,HARVARD,01250505,BROMFIELD,school,,,,,,,,,,,,,,,,,,,5,,,0,0.0,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01620000,LUNENBURG,01620000,LUNENBURG,district,,,,,,,,,,,,,,,,,0,0.0,5,,,75,0.049,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01620000,LUNENBURG,01620015,THOMAS C PASSIOS ELEM,school,,,,,,,,,,,,,,,,,,,5,,,41,0.062,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01620000,LUNENBURG,01620020,TURKEY HILL MIDDLE,school,,,,,,,,,,,,,,,,,,,0,,,30,0.063,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,01620000,LUNENBURG,01620505,LUNENBURG HIGH,school,,,,,,,,,,,,,,,,,,,0,,,4,0.01,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06100000,ASHBURNHAM-WESTMINSTER,06100000,ASHBURNHAM-WESTMINSTER,district,,,,,,,,,,,,,,,,,1,0.0,7,,,141,0.063,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06100000,ASHBURNHAM-WESTMINSTER,06100003,VETERANS MEMORIAL,school,,,,,,,,,,,,,,,,,,,0,,,1,0.012,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06100000,ASHBURNHAM-WESTMINSTER,06100005,WESTMINSTER ELEM,school,,,,,,,,,,,,,,,,,,,1,,,43,0.066,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06100000,ASHBURNHAM-WESTMINSTER,06100025,BRIGGS ELEM,school,,,,,,,,,,,,,,,,,,,4,,,58,0.112,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06100000,ASHBURNHAM-WESTMINSTER,06100505,OAKMONT REGIONAL H S,school,,,,,,,,,,,,,,,,,,,2,,,39,0.04,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06730000,GROTON-DUNSTABLE,06730000,GROTON-DUNSTABLE,district,,,,,,,,,,,,,,,,,0,0.0,8,,,53,0.033,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06730000,GROTON-DUNSTABLE,06730001,GROTON-DUNSTABLE ECC,school,,,,,,,,,,,,,,,,,,,0,,,1,0.007,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06730000,GROTON-DUNSTABLE,06730005,SWALLOW/UNION SCHOOL,school,,,,,,,,,,,,,,,,,,,0,,,16,0.062,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06730000,GROTON-DUNSTABLE,06730010,FLORENCE ROCHE SCHOOL,school,,,,,,,,,,,,,,,,,,,0,,,24,0.046,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06730000,GROTON-DUNSTABLE,06730305,GROTON/DUN REG'L MIDDLE,school,,,,,,,,,,,,,,,,,,,1,,,9,0.025,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,06730000,GROTON-DUNSTABLE,06730505,GROTON DUNSTABLE REGIONAL,school,,,,,,,,,,,,,,,,,,,7,,,3,0.009,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350000,NORTH MIDDLESEX,district,,,,,,,,,,,,,,,,,0,0.0,1,,,265,0.06,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350010,ASHBY ELEMENTARY,school,,,,,,,,,,,,,,,,,,,0,,,42,0.128,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350015,PETER FITZPATRICK,school,,,,,,,,,,,,,,,,,,,0,,,57,0.081,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350020,SQUANNACCOK,school,,,,,,,,,,,,,,,,,,,0,,,21,0.032,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350030,HAWTHORNE BROOK,school,,,,,,,,,,,,,,,,,,,0,,,56,0.064,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350035,VARNUM BROOK,school,,,,,,,,,,,,,,,,,,,0,,,65,0.086,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1992,07350000,NORTH MIDDLESEX,07350505,NORTH MIDDLESEX REG,school,,,,,,,,,,,,,,,,,,,1,,,24,0.022,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,00190000,AYER,00190000,AYER,district,,,,,,,,,,,,,,,,,6,0.003,315,,,442,0.224,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,00190000,AYER,00190005,FORT DEVENS ELEMENTARY,school,,,,,,,,,,,,,,,,,4,0.009,14,,,45,0.105,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,00190000,AYER,00190010,PAGE,school,,,,,,,,,,,,,,,,,1,0.002,22,,,183,0.32,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,00190000,AYER,00190025,HILLTOP,school,,,,,,,,,,,,,,,,,1,0.003,5,,,169,0.456,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,00190000,AYER,00190305,AYER MIDDLE,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,00190000,AYER,00190510,AYER HIGH,school,,,,,,,,,,,,,,,,,0,0.0,46,,,45,0.074,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01250000,HARVARD,01250000,HARVARD,district,,,,,,,,,,,,,,,,,0,0.0,105,,,21,0.021,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01250000,HARVARD,01250005,HARVARD ELEMENTARY,school,,,,,,,,,,,,,,,,,0,0.0,0,,,10,0.017,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01250000,HARVARD,01250505,BROMFIELD,school,,,,,,,,,,,,,,,,,0,0.0,6,,,11,0.027,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01620000,LUNENBURG,01620000,LUNENBURG,district,,,,,,,,,,,,,,,,,3,0.002,213,,,109,0.064,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01620000,LUNENBURG,01620015,THOMAS C PASSIOS ELEM,school,,,,,,,,,,,,,,,,,3,0.004,7,,,49,0.069,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01620000,LUNENBURG,01620020,TURKEY HILL MIDDLE,school,,,,,,,,,,,,,,,,,0,0.0,1,,,49,0.094,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,01620000,LUNENBURG,01620505,LUNENBURG HIGH,school,,,,,,,,,,,,,,,,,0,0.0,1,,,11,0.023,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06100000,ASHBURNHAM-WESTMINSTER,06100000,ASHBURNHAM-WESTMINSTER,district,,,,,,,,,,,,,,,,,1,0.0,416,,,186,0.081,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06100000,ASHBURNHAM-WESTMINSTER,06100003,VETERANS MEMORIAL,school,,,,,,,,,,,,,,,,,0,0.0,0,,,3,0.03,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06100000,ASHBURNHAM-WESTMINSTER,06100005,WESTMINSTER ELEM,school,,,,,,,,,,,,,,,,,1,0.001,1,,,65,0.096,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06100000,ASHBURNHAM-WESTMINSTER,06100010,MEETINGHOUSE SCHOOL,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06100000,ASHBURNHAM-WESTMINSTER,06100025,BRIGGS ELEM,school,,,,,,,,,,,,,,,,,0,0.0,2,,,63,0.115,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06100000,ASHBURNHAM-WESTMINSTER,06100505,OAKMONT REGIONAL H S,school,,,,,,,,,,,,,,,,,0,0.0,1,,,55,0.056,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06730000,GROTON-DUNSTABLE,06730000,GROTON-DUNSTABLE,district,,,,,,,,,,,,,,,,,7,0.004,276,,,90,0.05,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
1993,06730000,GROTON-DUNSTABLE,06730001,GROTON-DUNSTABLE ECC,school,,,,,,,,,,,,,,,,,1,0.008,1,,,7,0.053,,,,,,sources/state-dese/dese-enrollment-by-grade.xlsx
