fy,lea,district,level,func_cat_code,func_cat_desc,func_code,func_desc,in_out_dist,gen_fund,grants_revolving,total,per_pupil,reconciles,doc_id
2009,00190000,Ayer,detail,ADMN,Administration,1110,School Committee,In-District,38400,0,38400,32,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,ADMN,Administration,1210,Superintendent,In-District,180854,0,180854,149,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,ADMN,Administration,1410,Business and Finance,In-District,274772,0,274772,226,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,ADMN,Administration,1420,Human Resources and Benefits,In-District,18696,0,18696,15,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,ADMN,Administration,1430,Legal Service for School Committee,In-District,36924,0,36924,30,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,ADMN,Administration,1450,District-wide Information Mgmt & Tech,In-District,182902,0,182902,151,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,ADMN,Administration,ADMN,Administration,,732548,0,732548,604,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5100,Employer Retirement Contributions,In-District,301766,0,301766,249,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5200,Insurance for Active Employees,In-District,1513392,241820,1755212,1446,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5250,Insurance for Retired School Employees,In-District,421990,0,421990,348,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5260,Other Non-Employee Insurance,In-District,24219,0,24219,20,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,BENE,"Insurance, Retirement Programs and Other",5350,Rental Lease of Buildings,In-District,0,59579,59579,49,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,BENE,"Insurance, Retirement Programs and Other",BENE,"Insurance, Retirement Programs and Other",,2261367,301399,2562766,2111,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2710,Guidance incl Adjustment Counselors,In-District,262471,93264,355735,293,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2720,Testing and Assessment,In-District,0,3786,3786,3,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,GUID,"Guidance, Counseling and Testing",2800,Psychological Services,In-District,63787,0,63787,53,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,GUID,"Guidance, Counseling and Testing",GUID,"Guidance, Counseling and Testing",,326258,97050,423308,349,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,rollup,IIII,In-district Expenditure,IIII,In-district Expenditure,,11000903,2884350,13885253,11440,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,LDRS,Instructional Leadership,2110,Curriculum Directors  (Supervisory),In-District,252641,78577,331218,273,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,LDRS,Instructional Leadership,2210,School Leadership,In-District,441007,102693,543700,448,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,LDRS,Instructional Leadership,2250,Admin. Technology (School Level),In-District,18242,0,18242,15,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,LDRS,Instructional Leadership,2315,Instructional Coordinators (Non-Supervisory),In-District,56515,0,56515,47,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,LDRS,Instructional Leadership,LDRS,Instructional Leadership,,768405,181270,949675,782,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2410,"Textbooks, Related Software/Media/Matls",In-District,139849,0,139849,115,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2415,Other Instructional Matls (Libraries),In-District,8273,47419,55692,46,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2420,Instructional Equipment,In-District,27926,103320,131246,108,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2430,General Classroom Supplies,In-District,6469,0,6469,5,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,MATL,"Instructional Materials, Equipment and Technology",2440,Other Instructional Services,In-District,5484,0,5484,5,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,MATL,"Instructional Materials, Equipment and Technology",MATL,"Instructional Materials, Equipment and Technology",,188001,150739,338740,279,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,category,ODTR,Out-of-district Transportation,ODTR,Out-of-district Transportation,,273619,0,273619,0,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,rollup,OODD,Out-of-district Expenditure,OODD,Out-of-district Expenditure,,2159584,592223,2751807,0,yes,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4110,Custodial Services,In-District,384348,14860,399208,329,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4120,Heating of Buildings,In-District,305165,7500,312665,258,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4130,Utility Services,In-District,226603,7065,233668,193,,sources/state-dese/district-expenditures-by-function.xlsx
2009,00190000,Ayer,detail,OPMN,Operations and Maintenance,4210,Maintenance of Grounds,In-District,82316,0,82316,68,,sources/state-dese/district-expenditures-by-function.xlsx
