fy,level,func_cat_code,func_code,func_desc,districts,gen_fund_total,grants_revolving_total,total,grant_share,per_pupil_basis,per_pupil_min,per_pupil_p25,per_pupil_median,per_pupil_p75,per_pupil_max,lunenburg_per_pupil,lunenburg_rank_of_districts,doc_id
2009,category,ADMN,ADMN,Administration,328,387837193,18155404,405992597,0.0447,"per pupil, in-district FTE",175,355.8,448.5,592.2,2095,333,270 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,BENE,BENE,"Insurance, Retirement Programs and Other",328,1828183590,228924257,2057107844,0.1113,"per pupil, in-district FTE",568,1522.8,1975.5,2450.5,5743,1693,216 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,GUID,GUID,"Guidance, Counseling and Testing",326,307288891,20999994,328288885,0.0640,"per pupil, in-district FTE",8,277.0,344.0,441.0,1069,317,190 of 326,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,LDRS,LDRS,Instructional Leadership,328,681596251,85688741,767284992,0.1117,"per pupil, in-district FTE",62,638.0,773.5,969.5,2064,765,172 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,MATL,MATL,"Instructional Materials, Equipment and Technology",328,210009644,122108915,332118560,0.3677,"per pupil, in-district FTE",99,230.5,312.0,452.2,2385,127,322 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,ODTR,ODTR,Out-of-district Transportation,278,99506816,0,99506816,0.0000,not published — DESE prints 0 per pupil against out-of-district rows,,,,,,,,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,OPMN,OPMN,Operations and Maintenance,328,989779291,31777028,1021556317,0.0311,"per pupil, in-district FTE",500,903.0,1073.5,1317.5,4140,872,257 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,PDEV,PDEV,Professional Development,328,120351272,87890584,208241854,0.4221,"per pupil, in-district FTE",6,82.8,142.0,212.5,959,85,244 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,SERV,SERV,Pupil Services,328,642809249,444682090,1087491352,0.4089,"per pupil, in-district FTE",483,917.5,1085.0,1354.0,4109,1022,197 of 328,sources/state-dese/district-expenditures-by-function.xlsx
2009,category,TCHR,TCHR,Teachers,328,4097884820,457986730,4555871551,0.1005,"per pupil, in-district FTE",3417,4238.5,4706.0,5490.2,10351,4189,258 of 328,sources/state-dese/district-expenditures-by-function.xlsx
