fy,lea,district,geo_level,grades,grades_level,student_group,student_group_level,indicator_category,indicator,printing,denominator_cnt,measure_cnt,measure_pct,value_type,doc_id
2017,00000000,State,state,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,46920,35849,76.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,00000000,State,state,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,73249,,90.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,00000000,State,state,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,5881,3889,66.10000000000001,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,00000000,State,state,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,14049,,76.8,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01250000,Harvard,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,91,77,84.6,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01250000,Harvard,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,111,,96.4,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01250000,Harvard,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,15,11,73.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01250000,Harvard,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,22,,90.9,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01620000,Lunenburg,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,73,50,68.5,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01620000,Lunenburg,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,101,,97.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,13,7,53.800000000000004,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,01620000,Lunenburg,district,K-12,all,Students with Disabilities,detail,STUDENT OUTCOMES,5-year cohort graduation rate,1,17,,94.1,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,136,101,74.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06100000,Ashburnham-Westminster,district,K-12,all,All Students,all,STUDENT OUTCOMES,5-year cohort graduation rate,1,173,,96.0,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
2017,06100000,Ashburnham-Westminster,district,K-12,all,Students with Disabilities,detail,POSTSECONDARY OUTCOMES,College students persistently enrolled in postsecondary education for the first two years,1,23,18,78.3,Percent of Students,sources/state-dese/dese-sped-indicators.xlsx
