fy,lea,district,geo_level,grade_span,placement_at_start,cohort_cnt,no_iep_cnt,no_iep_pct,included_cnt,included_pct,sub_separate_cnt,sub_separate_pct,out_of_district_cnt,out_of_district_pct,unaccounted_cnt,reconciles,doc_id
2018,00000000,State,state,K-12,Inclusive Setting,82706,16131,0.195,61003,0.738,3660,0.044,1726,0.021,186,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,00000000,State,state,K-12,Substantially Separate Classroom,15949,288,0.018,3306,0.207,10810,0.678,1456,0.091,89,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,00000000,State,state,K-2,Inclusive Setting,21733,4713,0.217,15285,0.703,1379,0.063,324,0.015,32,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,00000000,State,state,K-2,Substantially Separate Classroom,3640,69,0.019,622,0.171,2657,0.73,283,0.078,9,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01250000,Harvard,district,K-12,Inclusive Setting,90,22,0.244,65,0.722,1,0.011,2,0.022,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01250000,Harvard,district,K-12,Substantially Separate Classroom,3,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01250000,Harvard,district,K-2,Inclusive Setting,29,11,0.379,18,0.621,0,0.0,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01250000,Harvard,district,K-2,Substantially Separate Classroom,0,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01620000,Lunenburg,district,K-12,Inclusive Setting,151,40,0.265,103,0.682,1,0.007,5,0.033,2,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01620000,Lunenburg,district,K-12,Substantially Separate Classroom,12,0,0.0,3,0.25,4,0.333,5,0.417,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01620000,Lunenburg,district,K-2,Inclusive Setting,50,14,0.28,34,0.68,1,0.02,1,0.02,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,01620000,Lunenburg,district,K-2,Substantially Separate Classroom,2,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06100000,Ashburnham-Westminster,district,K-12,Inclusive Setting,244,57,0.234,175,0.717,12,0.049,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06100000,Ashburnham-Westminster,district,K-12,Substantially Separate Classroom,26,0,0.0,5,0.192,20,0.769,1,0.038,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06100000,Ashburnham-Westminster,district,K-2,Inclusive Setting,73,24,0.329,49,0.671,0,0.0,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06100000,Ashburnham-Westminster,district,K-2,Substantially Separate Classroom,5,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06160000,Ayer Shirley,district,K-12,Inclusive Setting,226,96,0.425,116,0.513,11,0.049,2,0.009,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06160000,Ayer Shirley,district,K-12,Substantially Separate Classroom,40,1,0.025,12,0.3,19,0.475,8,0.2,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06160000,Ayer Shirley,district,K-2,Inclusive Setting,61,17,0.279,39,0.639,4,0.066,0,0.0,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06160000,Ayer Shirley,district,K-2,Substantially Separate Classroom,8,0,0.0,0,0.0,6,0.75,2,0.25,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06730000,Groton-Dunstable,district,K-12,Inclusive Setting,251,50,0.199,185,0.737,10,0.04,5,0.02,1,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06730000,Groton-Dunstable,district,K-12,Substantially Separate Classroom,9,0,0.0,0,0.0,7,0.778,2,0.222,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06730000,Groton-Dunstable,district,K-2,Inclusive Setting,63,9,0.143,51,0.81,3,0.048,0,0.0,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,06730000,Groton-Dunstable,district,K-2,Substantially Separate Classroom,4,,,,,,,,,,,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,07350000,North Middlesex,district,K-12,Inclusive Setting,294,31,0.105,237,0.806,17,0.058,9,0.031,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,07350000,North Middlesex,district,K-12,Substantially Separate Classroom,46,0,0.0,15,0.326,30,0.652,1,0.022,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,07350000,North Middlesex,district,K-2,Inclusive Setting,91,11,0.121,70,0.769,6,0.066,4,0.044,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2018,07350000,North Middlesex,district,K-2,Substantially Separate Classroom,20,0,0.0,5,0.25,14,0.7,1,0.05,0,yes,sources/state-dese/dese-sped-placement-trajectory.xlsx
2019,00000000,State,state,K-12,Inclusive Setting,82680,15980,0.193,61286,0.741,3633,0.044,1615,0.02,166,no,sources/state-dese/dese-sped-placement-trajectory.xlsx
