fy,lea,district,org_code,org_name,org_level,gen_ed_fte,gen_ed_pct,sped_fte,sped_pct,career_tech_fte,career_tech_pct,el_fte,el_pct,total_fte,comments,reconciles,doc_id
2008,00000000,State,00000000,State,state,56742.2,0.802,10235.9,0.145,2074.9,0.029,1663.6,0.024,70716.6,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,79.7,0.851,13,0.139,0,0.0,1,0.011,93.7,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,00190000,Ayer (non-op),00190025,Page-Hilltop,school,34,0.803,8,0.189,0,0.0,0.3,0.008,42.3,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,15,0.776,4,0.207,0,0.0,0.3,0.017,19.3,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,30.7,0.959,1,0.031,0,0.0,0.3,0.01,32,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01250000,Harvard,01250000,Harvard,district,86.1,1.0,0,0.0,0,0.0,0,0.0,86.1,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01250000,Harvard,01250005,Hildreth Elementary School,school,33,1.0,0,0.0,0,0.0,0,0.0,33,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01250000,Harvard,01250505,The Bromfield High School,school,53.1,1.0,0,0.0,0,0.0,0,0.0,53.1,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01620000,Lunenburg,01620000,Lunenburg,district,101,0.845,18.5,0.155,0,0.0,0,0.0,119.5,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01620000,Lunenburg,01620010,Lunenburg Primary School,school,19,0.776,5.5,0.224,0,0.0,0,0.0,24.5,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01620000,Lunenburg,01620015,Thomas C Passios Elementary,school,18.5,0.822,4,0.178,0,0.0,0,0.0,22.5,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01620000,Lunenburg,01620020,Turkey Hill Middle,school,24.5,0.86,4,0.14,0,0.0,0,0.0,28.5,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,01620000,Lunenburg,01620505,Lunenburg High,school,39,0.886,5,0.114,0,0.0,0,0.0,44,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06100000,Ashburnham-Westminster,06100000,Ashburnham-Westminster,district,132.4,0.862,21.3,0.138,0,0.0,0,0.0,153.7,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06100000,Ashburnham-Westminster,06100005,Westminster Elementary,school,19,0.891,2.3,0.109,0,0.0,0,0.0,21.3,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06100000,Ashburnham-Westminster,06100010,Meetinghouse School,school,14,0.894,1.7,0.106,0,0.0,0,0.0,15.7,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06100000,Ashburnham-Westminster,06100025,Briggs Elementary,school,27,0.818,6,0.182,0,0.0,0,0.0,33,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06100000,Ashburnham-Westminster,06100305,Overlook Middle School,school,30.9,0.87,4.6,0.13,0,0.0,0,0.0,35.5,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06100000,Ashburnham-Westminster,06100505,Oakmont Regional High School,school,41.6,0.862,6.7,0.138,0,0.0,0,0.0,48.2,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06730000,Groton-Dunstable,06730000,Groton-Dunstable,district,160.7,0.889,19.2,0.106,0,0.0,1,0.006,180.9,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06730000,Groton-Dunstable,06730001,Boutwell School,school,3,0.75,1,0.25,0,0.0,0,0.0,4,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06730000,Groton-Dunstable,06730005,Swallow/Union School,school,13.6,0.819,3,0.181,0,0.0,0,0.0,16.6,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06730000,Groton-Dunstable,06730010,Florence Roche School,school,25.7,0.896,3,0.104,0,0.0,0,0.0,28.7,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06730000,Groton-Dunstable,06730040,Prescott Elementary,school,13,0.896,1.5,0.104,0,0.0,0,0.0,14.5,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
2008,06730000,Groton-Dunstable,06730305,Groton Dunstable Regional Middle,school,52.8,0.876,6.5,0.107,0,0.0,1,0.017,60.3,,yes,sources/state-dese/dese-teachers-by-program-area.xlsx
