dor_code,municipality,fy,sf_value_total,sf_parcels,avg_sf_value,avg_sf_bill,bill_pct_of_value,income_per_capita,bill_pct_of_income,rank,source_file,sha256
001,Abington,2027,,,,,,,,,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2026,2261973000,3845,588289,7536,1.28,44933,16.77,138,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2025,2212974300,3847,575247,7513,1.31,42780,17.56,127,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2024,2120165400,3848,550979,7372,1.34,40313,18.29,119,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2023,1915222600,3846,497978,7076,1.42,37848,18.7,119,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2022,1744723400,3843,454000,6910,1.52,38406,17.99,113,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2021,1515256600,3838,394804,6506,1.65,36199,17.97,103,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2020,1471809600,3824,384887,6543,1.7,35401,18.48,97,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2019,1383248300,3806,363439,6320,1.74,34342,18.4,99,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2018,1293608500,3771,343041,6113,1.78,33244,18.39,102,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2017,1214814600,3767,322489,5918,1.84,32036,18.47,102,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2016,1137181200,3762,302281,5420,1.79,30766,17.62,114,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2015,1107867300,3750,295431,5022,1.7,30052,16.71,124,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2014,1051330700,3740,281104,4832,1.72,29299,16.49,122,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2013,1071556100,3729,287357,4756,1.66,28378,16.76,118,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2012,1114967400,3723,299481,4600,1.54,28077,16.38,120,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2011,1105035600,3707,298094,4513,1.51,27526,16.4,112,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
001,Abington,2010,1151315800,3687,312264,4328,1.39,26499,16.33,119,AvgSingleFamTaxBill-2026-09-26-5d7664b92f9f.xlsx,5d7664b92f9f99e2188d472c84e2f6f66db36ff4f206c9f0dbf76edaf677789f
