dor_code,municipality,fy,expenditure,source_file,sha256
001,Abington,2002,2305047,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2003,2654673,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2004,2845797,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2005,3241007,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2006,3461740,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2007,3680969,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2008,3945055,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2009,3462801,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2010,4171130,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2011,4419022,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2012,4821680,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2013,4276869,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2014,4221181,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
001,Abington,2015,4285046,health-insurance-expenditures.xlsx,26f37cf12ba8d7ab8e3563030d9e04da968fabb48c995d67523df51893bb1853
