fy,edition,page_printed,page_pdf,printing,total_row,fund,amount,quote
2024,FY2024,21,21,1,TOTAL ASSETS,sewer,5573383.92,"printed 'Total Assets' row, FY2024 printed page 21 (pdf 21); the cell reads 5,573,383.92"
2024,FY2024,21,21,1,TOTAL ASSETS,water,65079.88,"printed 'Total Assets' row, FY2024 printed page 21 (pdf 21); the cell reads 65,079.88"
2024,FY2024,21,21,1,TOTAL ASSETS,solid_waste,214850.51,"printed 'Total Assets' row, FY2024 printed page 21 (pdf 21); the cell reads 214,850.51"
2024,FY2024,21,21,1,TOTAL ASSETS,peg_access,1032714.29,"printed 'Total Assets' row, FY2024 printed page 21 (pdf 21); the cell reads 1,032,714.29"
2024,FY2024,21,21,1,TOTAL ASSETS,total_memorandum,6886028.60,"printed 'Total Assets' row, FY2024 printed page 21 (pdf 21); the cell reads 6,886,028.60"
2024,FY2024,21,21,1,TOTAL LIABILITIES,sewer,3351914.89,"printed 'Total Liabilities' row, FY2024 printed page 21 (pdf 21); the cell reads 3,351,914.89"
2024,FY2024,21,21,1,TOTAL LIABILITIES,water,13745.95,"printed 'Total Liabilities' row, FY2024 printed page 21 (pdf 21); the cell reads 13,745.95"
2024,FY2024,21,21,1,TOTAL LIABILITIES,solid_waste,32856.69,"printed 'Total Liabilities' row, FY2024 printed page 21 (pdf 21); the cell reads 32,856.69"
2024,FY2024,21,21,1,TOTAL LIABILITIES,peg_access,3877.42,"printed 'Total Liabilities' row, FY2024 printed page 21 (pdf 21); the cell reads 3,877.42"
2024,FY2024,21,21,1,TOTAL LIABILITIES,total_memorandum,3402394.95,"printed 'Total Liabilities' row, FY2024 printed page 21 (pdf 21); the cell reads 3,402,394.95"
2024,FY2024,21,21,1,TOTAL FUND EQUITY,sewer,2221469.03,"printed 'Total Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 2,221,469.03"
2024,FY2024,21,21,1,TOTAL FUND EQUITY,water,51333.93,"printed 'Total Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 51,333.93"
2024,FY2024,21,21,1,TOTAL FUND EQUITY,solid_waste,181993.82,"printed 'Total Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 181,993.82"
2024,FY2024,21,21,1,TOTAL FUND EQUITY,peg_access,1028836.87,"printed 'Total Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 1,028,836.87"
2024,FY2024,21,21,1,TOTAL FUND EQUITY,total_memorandum,3483633.65,"printed 'Total Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 3,483,633.65"
2024,FY2024,21,21,1,TOTAL LIABILITIES AND FUND EQUITY,sewer,5573383.92,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 5,573,383.92"
2024,FY2024,21,21,1,TOTAL LIABILITIES AND FUND EQUITY,water,65079.88,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 65,079.88"
2024,FY2024,21,21,1,TOTAL LIABILITIES AND FUND EQUITY,solid_waste,214850.51,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 214,850.51"
2024,FY2024,21,21,1,TOTAL LIABILITIES AND FUND EQUITY,peg_access,1032714.29,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 1,032,714.29"
2024,FY2024,21,21,1,TOTAL LIABILITIES AND FUND EQUITY,total_memorandum,6886028.60,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 21 (pdf 21); the cell reads 6,886,028.60"
2024,FY2024,21,21,1,PROOF,sewer,0.00,"printed 'PROOF' row, FY2024 printed page 21 (pdf 21); the cell reads 0.00"
2024,FY2024,21,21,1,PROOF,water,0.00,"printed 'PROOF' row, FY2024 printed page 21 (pdf 21); the cell reads 0.00"
2024,FY2024,21,21,1,PROOF,solid_waste,0.00,"printed 'PROOF' row, FY2024 printed page 21 (pdf 21); the cell reads 0.00"
2024,FY2024,21,21,1,PROOF,peg_access,0.00,"printed 'PROOF' row, FY2024 printed page 21 (pdf 21); the cell reads 0.00"
2024,FY2024,21,21,1,PROOF,total_memorandum,0.00,"printed 'PROOF' row, FY2024 printed page 21 (pdf 21); the cell reads 0.00"
2024,FY2024,28,28,2,TOTAL ASSETS,sewer,5573383.92,"printed 'Total Assets' row, FY2024 printed page 28 (pdf 28); the cell reads 5,573,383.92"
2024,FY2024,28,28,2,TOTAL ASSETS,water,65079.88,"printed 'Total Assets' row, FY2024 printed page 28 (pdf 28); the cell reads 65,079.88"
2024,FY2024,28,28,2,TOTAL ASSETS,solid_waste,214850.51,"printed 'Total Assets' row, FY2024 printed page 28 (pdf 28); the cell reads 214,850.51"
2024,FY2024,28,28,2,TOTAL ASSETS,peg_access,1032714.29,"printed 'Total Assets' row, FY2024 printed page 28 (pdf 28); the cell reads 1,032,714.29"
2024,FY2024,28,28,2,TOTAL ASSETS,total_memorandum,6886028.60,"printed 'Total Assets' row, FY2024 printed page 28 (pdf 28); the cell reads 6,886,028.60"
2024,FY2024,28,28,2,TOTAL LIABILITIES,sewer,3351914.89,"printed 'Total Liabilities' row, FY2024 printed page 28 (pdf 28); the cell reads 3,351,914.89"
2024,FY2024,28,28,2,TOTAL LIABILITIES,water,13745.95,"printed 'Total Liabilities' row, FY2024 printed page 28 (pdf 28); the cell reads 13,745.95"
2024,FY2024,28,28,2,TOTAL LIABILITIES,solid_waste,32856.69,"printed 'Total Liabilities' row, FY2024 printed page 28 (pdf 28); the cell reads 32,856.69"
2024,FY2024,28,28,2,TOTAL LIABILITIES,peg_access,3877.42,"printed 'Total Liabilities' row, FY2024 printed page 28 (pdf 28); the cell reads 3,877.42"
2024,FY2024,28,28,2,TOTAL LIABILITIES,total_memorandum,3402394.95,"printed 'Total Liabilities' row, FY2024 printed page 28 (pdf 28); the cell reads 3,402,394.95"
2024,FY2024,28,28,2,TOTAL FUND EQUITY,sewer,2221469.03,"printed 'Total Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 2,221,469.03"
2024,FY2024,28,28,2,TOTAL FUND EQUITY,water,51333.93,"printed 'Total Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 51,333.93"
2024,FY2024,28,28,2,TOTAL FUND EQUITY,solid_waste,181993.82,"printed 'Total Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 181,993.82"
2024,FY2024,28,28,2,TOTAL FUND EQUITY,peg_access,1028836.87,"printed 'Total Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 1,028,836.87"
2024,FY2024,28,28,2,TOTAL FUND EQUITY,total_memorandum,3483633.65,"printed 'Total Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 3,483,633.65"
2024,FY2024,28,28,2,TOTAL LIABILITIES AND FUND EQUITY,sewer,5573383.92,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 5,573,383.92"
2024,FY2024,28,28,2,TOTAL LIABILITIES AND FUND EQUITY,water,65079.88,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 65,079.88"
2024,FY2024,28,28,2,TOTAL LIABILITIES AND FUND EQUITY,solid_waste,214850.51,"printed 'Total Liabilities and Fund Equity' row, FY2024 printed page 28 (pdf 28); the cell reads 214,850.51"
