fy,edition,page_printed,page_pdf,printing,section,line,fund,amount,document,read_by
2024,FY2024,21,21,1,assets,Cash and cash equivalents,sewer,2602641.71,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Cash and cash equivalents,water,52357.54,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Cash and cash equivalents,solid_waste,167232.93,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Cash and cash equivalents,peg_access,1001381.26,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Cash and cash equivalents,total_memorandum,3823613.44,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Receivables: User Fees,sewer,135172.94,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Receivables: User Fees,water,-3.14,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Receivables: User Fees,total_memorandum,135169.80,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Receivables: Special assessments,sewer,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Receivables: Special assessments,total_memorandum,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Due to/from other funds,sewer,-303552.33,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Due to/from other funds,water,12725.48,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Due to/from other funds,solid_waste,47617.58,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Due to/from other funds,peg_access,31333.03,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,assets,Due to/from other funds,total_memorandum,-211876.24,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Warrants payable,sewer,76417.55,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Warrants payable,water,13749.09,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Warrants payable,solid_waste,32856.69,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Warrants payable,peg_access,283.50,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Warrants payable,total_memorandum,123306.83,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Accrued payroll and withholdings,sewer,1202.80,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Accrued payroll and withholdings,peg_access,3593.92,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Accrued payroll and withholdings,total_memorandum,4796.72,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Deferred revenue: User Charges,sewer,135172.94,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Deferred revenue: User Charges,water,-3.14,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Deferred revenue: User Charges,total_memorandum,135169.80,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Deferred revenue: Special assessments,sewer,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,liabilities,Deferred revenue: Special assessments,total_memorandum,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Reserved for encumbrances,sewer,7651.50,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Reserved for encumbrances,solid_waste,140.00,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Reserved for encumbrances,total_memorandum,7791.50,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Reserved for expenditures,sewer,400000.00,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Reserved for expenditures,total_memorandum,502000.00,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Unreserved retained earnings,sewer,1813817.53,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Unreserved retained earnings,water,51333.93,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Unreserved retained earnings,solid_waste,181853.82,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Unreserved retained earnings,peg_access,1028836.87,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,21,21,1,fund_equity,Unreserved retained earnings,total_memorandum,2973842.15,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Cash and cash equivalents,sewer,2602641.71,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Cash and cash equivalents,water,52357.54,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Cash and cash equivalents,solid_waste,167232.93,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Cash and cash equivalents,peg_access,1001381.26,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Cash and cash equivalents,total_memorandum,3823613.44,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Receivables: User Fees,sewer,135172.94,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Receivables: User Fees,water,-3.14,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Receivables: User Fees,total_memorandum,135169.80,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Receivables: Special assessments,sewer,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Receivables: Special assessments,total_memorandum,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Due to/from other funds,sewer,-303552.33,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Due to/from other funds,water,12725.48,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Due to/from other funds,solid_waste,47617.58,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Due to/from other funds,peg_access,31333.03,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,assets,Due to/from other funds,total_memorandum,-211876.24,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Warrants payable,sewer,76417.55,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Warrants payable,water,13749.09,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Warrants payable,solid_waste,32856.69,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Warrants payable,peg_access,283.50,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Warrants payable,total_memorandum,123306.83,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Accrued payroll and withholdings,sewer,1202.80,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Accrued payroll and withholdings,peg_access,3593.92,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Accrued payroll and withholdings,total_memorandum,4796.72,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Deferred revenue: User Charges,sewer,135172.94,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Deferred revenue: User Charges,water,-3.14,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Deferred revenue: User Charges,total_memorandum,135169.80,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Deferred revenue: Special assessments,sewer,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,liabilities,Deferred revenue: Special assessments,total_memorandum,3139121.60,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Reserved for encumbrances,sewer,7651.50,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Reserved for encumbrances,solid_waste,140.00,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Reserved for encumbrances,total_memorandum,7791.50,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Reserved for expenditures,sewer,400000.00,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Reserved for expenditures,total_memorandum,502000.00,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Unreserved retained earnings,sewer,1813817.53,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Unreserved retained earnings,water,51333.93,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Unreserved retained earnings,solid_waste,181853.82,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Unreserved retained earnings,peg_access,1028836.87,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2024,FY2024,28,28,2,fund_equity,Unreserved retained earnings,total_memorandum,2973842.15,sources/town-annual-reports/docs/4132-fy-2024-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Cash and Cash Equivalents,sewer,2180979.26,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Cash and Cash Equivalents,water,67557.93,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Cash and Cash Equivalents,solid_waste,222940.64,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Cash and Cash Equivalents,peg_access,946153.75,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Cash and Cash Equivalents,total_memorandum,3417631.58,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: User Fees,sewer,134785.36,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: User Fees,water,87.10,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: User Fees,total_memorandum,134872.46,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: Special Assessments,sewer,2779513.03,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: Special Assessments,total_memorandum,2779513.03,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: Other Receivables,sewer,60513.74,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Receivable: Other Receivables,total_memorandum,60513.74,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
2025,FY2025,21,25,1,assets,Due to/Due From,sewer,323705.05,sources/town-annual-reports/docs/4130-fy-2025-annual-town-report.pdf,vision
