fy,source_row,eff_date,post_date,src,src_meaning,period,journal,ref1,po_ref2,ref3,reference,amount,running_balance_derived,check_no,warrant,voucher,vendor,comments
2024,110,2023-07-01,2023-10-31,SOY,start of year — opening balance carried forward,0,5,,,,SOY BAL,137845.84,137845.84,0,,,,OPENING BALANCE
2024,109,2023-07-06,2023-07-03,PRJ,payroll journal,1,11,,,,,-37.50,137808.34,0,,,,
2024,108,2023-07-14,2023-07-19,APP,accounts payable — warrant disbursement,1,55,1 W/P,,,1 W/P 23,-8442.08,129366.26,0,,,,
2024,107,2023-07-19,2023-08-17,CRP,cash receipts posting,1,227,MS,,JUN23/REVF,,-33.62,129332.64,0,,,,
2024,106,2023-07-31,2023-09-12,CRP,cash receipts posting,1,263,MS,,JUL23/REVT,,6507.40,135840.04,0,,,,
2024,105,2023-08-03,2023-08-03,APP,accounts payable — warrant disbursement,2,58,8 24,,,8 24,-822.50,135017.54,0,,,,
2024,103,2023-08-15,2023-08-16,APP,accounts payable — warrant disbursement,2,166,11 24,,,11 24,-187.41,134830.13,0,,,,
2024,104,2023-08-17,2023-08-10,PRJ,payroll journal,2,83,,,,,-1497.00,133333.13,0,,,,
2024,100,2023-08-17,2023-09-12,CRP,cash receipts posting,2,408,MS,,MISC RCPTS,,1310.00,134643.13,0,,,,
2024,99,2023-08-22,2023-09-12,CRP,cash receipts posting,2,419,MS,,JUL23/REVF,,-289.00,134354.13,0,,,,
2024,102,2023-08-31,2023-08-29,PRJ,payroll journal,2,231,,,,,-5222.28,129131.85,0,,,,
2024,101,2023-08-31,2023-08-31,APP,accounts payable — warrant disbursement,2,290,9 24,,,9 24,-93.00,129038.85,0,,,,
2024,98,2023-08-31,2023-11-01,CRP,cash receipts posting,2,487,T145,937665,MISC RCPT,,2972.50,132011.35,0,,,VARIOUS,CHAPTER 658 ATHLETIC ACTIVITY
2024,97,2023-08-31,2023-11-01,CRP,cash receipts posting,2,493,T145,,AUG23/REVT,,18071.85,150083.20,0,,,,CHAPTER 658 ATHLETIC ACTIVITY
