id,kind,subkind,code,name,owner,owner_basis,relates_to,purpose,authority,trend_label,report
gf-122,appropriation,,122,SELECT BOARD,select-board,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-126,appropriation,,126,TOWN MANAGER,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-131,appropriation,,131,FINANCE COMMITTEE,finance-committee,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-132,appropriation,reserve,132,RESERVE FUND,finance-committee,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-133,appropriation,reserve,133,SALARY RESERVE,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-135,appropriation,,135,TOWN ACCOUNTANT,accounting,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-136,appropriation,,136,ANNUAL AUDIT,accounting,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-141,appropriation,,141,ASSESSOR'S ADMINISTRATION,board-of-assessors,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-145,appropriation,,145,TREASURER'S ADMINISTRATION,treasurer-collector,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-146,appropriation,,146,TAX COLLECTOR'S ADMINISTRATION,treasurer-collector,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-155,appropriation,,155,INFORMATION TECHNOLOGY DEPT,information-technology,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-158,appropriation,,158,TAX TITLE REDEMP/FORECLOSURE,treasurer-collector,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-161,appropriation,,161,TOWN CLERK'S ADMINISTRATION,town-clerk,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-162,appropriation,,162,ELECTIONS,town-clerk,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-163,appropriation,,163,REGISTRATION & CENSUS,town-clerk,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-170,appropriation,,170,LAND USE,land-use,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-175,appropriation,,175,PLANNING BOARD,planning-board,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-178,appropriation,,178,ARCHITECTURAL PRESERVATION DIS,architectural-preservation-district-commission,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-192,appropriation,,192,PUBLIC BUILDINGS,facilities,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-193,appropriation,,193,FACILITIES & GROUNDS,facilities,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-195,appropriation,,195,TOWN REPORTS,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-199,appropriation,,199,CENTRAL PURCHASING,town-manager,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-210,appropriation,,210,POLICE DEPARTMENT,police,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-213,appropriation,,213,POLICE LOCK UP,police,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-214,appropriation,,214,INJURY LEAVE,police,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-220,appropriation,,220,FIRE DEPARTMENT,fire,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-223,appropriation,,223,FIRE HYDRANT EXPENSE,fire,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-227,appropriation,,227,MTC OF TOWN RADIOS,fire,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-228,appropriation,,228,RADIO WATCH,dispatch,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-241,appropriation,,241,BUILDING INSPECTION,building-inspection,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-244,appropriation,,244,INSPECTOR OF WGHTS & MEASURES,building-inspection,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-291,appropriation,,291,EMERGENCY MANAGEMENT,emergency-management,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-292,appropriation,,292,ANIMAL CONTROL,animal-control,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-294,appropriation,,294,TREE REMOVAL,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-300,appropriation,,300,SCHOOL DEPARTMENT,school-committee,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-301,appropriation,,301,SCHOOL NON-RECURRING EXPENSES,school-committee,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-310,appropriation,assessment,310,MONTY TECH ASSESSMENT,monty-tech,the department the ledger files it under,school-committee,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-411,appropriation,,411,HIGHWAY CONSTRUCTION & MAINTE,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-421,appropriation,,421,HIGHWAY ADMINISTRATION,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-423,appropriation,,423,SNOW REMOVAL,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-425,appropriation,,425,TRAFFIC SIGNS & DEVICES,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-429,appropriation,,429,VEHICLE MAINTENANCE,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
gf-433,appropriation,,433,RECYCLING PROGRAM,dpw,the department the ledger files it under,,,,,sources/town-ledgers/expenses/glytdbud-expense-fy2026-p09-gf-all.txt
