fy,kind,name,amount,owner,doc
2020,federal,"Special Education, 240 Grant",367980.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Title I, 305 Grant",240799.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Special Education, AARP IDEA",88330.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Title II, 140 Grant",33740.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Title IV, 309 Grant",18466.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Special Education, Targeted IEP , 274 Grant",12818.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,Special Education Program Improvement,12634.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Special Education, Early Childhood, 262 Grant",12281.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,"Special Education, AARP",8229.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2020,federal,Improvement,2327.0,,fy25-superintendent-39-s-budget-update.txt
2020,state,Family & Community Grant,45700.0,Director of Community School Programs,fy25-superintendent-39-s-budget-update.txt
2020,state,Early Literacy Learning,36883.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2021,federal,"Special Education, 240 Grant",386101.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2021,federal,"Title I, 305 Grant",239678.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2021,federal,"Special Education, AARP IDEA",88330.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2021,federal,"Title II, 140 Grant",33465.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2021,federal,"Title IV, 309 Grant",18466.0,Director of Teaching & Learning,fy25-superintendent-39-s-budget-update.txt
2021,federal,"Special Education, Targeted IEP , 274 Grant",12634.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
2021,federal,Special Education Program Improvement,12634.0,Director of Special Services,fy25-superintendent-39-s-budget-update.txt
