id,option,statute,statute_url,who_decides,threshold,available_to_lunenburg,effect_on_the_gap,who_it_lands_on,note
plan-design,"Change copays, deductibles and tiers up to the state plan's level",M.G.L. c.32B §§21–22,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section21,Select Board,"30 days with the Public Employee Committee, then a three-person panel decides in 10 days, binding",yes,"Lowers the premium the town buys, so it lowers the rate the whole projection compounds","Employees and retirees, at the point of care — a copay is paid by whoever is ill","Copays may be no greater in dollar amount than the GIC's largest non-Medicare plan (§22). Up to 25% of the first year's savings may be directed back to subscribers (§21(f)) — a ceiling on what a panel may order, not a floor the town owes. Lunenburg has never used this route."
join-gic-agreement,Move everyone into the state's Group Insurance Commission by agreement,M.G.L. c.32B §19(e),https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section19,Select Board with the Public Employee Committee,A majority of the weighted votes — the retiree representative holds 10%,yes,"A different premium, and the town stops choosing plans","Everyone insured: the plan menu becomes the state's","Notice by 1 December for 1 July. The often-quoted 70% is the threshold for sending a dispute to arbitration, not for agreeing."
join-gic-unilateral,Move everyone into the GIC without agreement,M.G.L. c.32B §23,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section23,Select Board,"Must show savings at least 5% greater than plan design alone could reach (§21(d))",yes,Same as above,Same as above,"Locks the town in for 3 years, then whole-year intervals of at least 2. Benefits are then set exclusively by the Commission and are not bargainable, except the contribution split."
medicare-transfer,Require Medicare-eligible retirees onto a Medicare plan,M.G.L. c.32B §18A,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section18A,Acceptance,"Only where the Medicare plan plus Parts A and B is of comparable actuarial value",already done in part,"Medicare becomes the primary payer, so the town's plan pays only what is left","Retirees, who move to a different plan","Lunenburg moved a group in 2020 and states it cut the active renewal 2% and reduced OPEB liability by $5–6M — the town's own figures, with no valuation in the archive."
opt-out,Pay employees to decline coverage,M.G.L. c.32B §4,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section4,Bargained or employer discretion,"Only for someone already covered by a plan financed without any employer participation",already running,"Small: the town saves a premium and pays an incentive","Nobody loses coverage — it is voluntary and reversible","Lunenburg's pilot ran from FY24; the Finance Director called the result ""minimal."" FY27 budgets $14,000 for 10 people."
self-insure,Pay claims from a town trust instead of buying premiums,M.G.L. c.32B §3A,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section3A,Town,No state approval needed,"yes, but",Removes the insurer's margin and adds the town's claims risk,"Taxpayers, in a bad year","Any deficit in the claims trust ""shall be raised in the next fiscal year's tax rate"" — by operation of law. Requires an annual audit accruing claims incurred but not reported."
raise-town-share,Pay more than half the premium,M.G.L. c.32B §7A,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section7A,Town Meeting or ballot,Acceptance vote,already accepted,Raises the town's cost,Taxpayers,"Lunenburg pays 75% for actives. §7A permits more than 50% and has no ceiling — and no route back down."
cut-town-share,Pay less than half the premium,M.G.L. c.32B §7,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section7,Nobody,Not permitted at any threshold,no,—,—,"§7 fixes the town's share at 50% and §7A permits ""more, but not less, than fifty per cent."" There is no downward route in the statute at all."
change-split-by-vote,Change the 75/25 split through the plan-design process,M.G.L. c.32B §21(f),https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section21,Nobody,Not permitted,no,—,—,"""The panel shall not impose any change to contribution ratios."" The 2011 reform moved plan design out of bargaining and left the split at the table. Between 75% and the 50% floor it is bargained, never decreed."
stop-offering,Stop offering health insurance,M.G.L. c.32B §10,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section10,Nobody,Not permitted,no,—,—,"Acceptance ""shall not be revoked or rescinded."" And if Town Meeting does not appropriate the cost, §3 has the assessors put it in the tax rate anyway."
drop-retirees,Drop retirees or require years of service for coverage,M.G.L. c.32B §9,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIV/Chapter32B/Section9,Nobody,Not permitted,no,—,—,"Galenski v. Town of Erving, 471 Mass. 305 (2015), struck down a ten-year service prerequisite."
