board,board_slug,date,kind,file_id,url,first_seen,basis
Agricultural Commission,agricultural-commission,2017-03-09,agenda,504,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03092017-504,,seed
Agricultural Commission,agricultural-commission,2017-03-09,minutes,504,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03092017-504,,seed
Agricultural Commission,agricultural-commission,2017-04-20,agenda,505,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04202017-505,,seed
Agricultural Commission,agricultural-commission,2017-04-20,minutes,505,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04202017-505,,seed
Agricultural Commission,agricultural-commission,2017-06-08,agenda,508,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06082017-508,,seed
Agricultural Commission,agricultural-commission,2017-06-08,minutes,508,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06082017-508,,seed
Agricultural Commission,agricultural-commission,2017-07-20,agenda,503,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202017-503,,seed
Agricultural Commission,agricultural-commission,2017-07-20,minutes,503,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07202017-503,,seed
Agricultural Commission,agricultural-commission,2017-10-05,agenda,506,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10052017-506,,seed
Agricultural Commission,agricultural-commission,2017-10-05,minutes,506,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10052017-506,,seed
Agricultural Commission,agricultural-commission,2017-11-16,agenda,507,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11162017-507,,seed
Agricultural Commission,agricultural-commission,2017-11-16,minutes,507,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11162017-507,,seed
Agricultural Commission,agricultural-commission,2018-01-18,agenda,473,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01182018-473,,seed
Agricultural Commission,agricultural-commission,2018-01-18,minutes,473,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01182018-473,,seed
Agricultural Commission,agricultural-commission,2018-02-15,agenda,474,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02152018-474,,seed
Agricultural Commission,agricultural-commission,2018-02-15,minutes,474,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02152018-474,,seed
Agricultural Commission,agricultural-commission,2018-04-10,agenda,475,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04102018-475,,seed
Agricultural Commission,agricultural-commission,2018-04-10,minutes,475,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04102018-475,,seed
Agricultural Commission,agricultural-commission,2018-04-19,agenda,476,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04192018-476,,seed
Agricultural Commission,agricultural-commission,2018-04-19,minutes,476,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04192018-476,,seed
Agricultural Commission,agricultural-commission,2018-06-21,agenda,477,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06212018-477,,seed
Agricultural Commission,agricultural-commission,2018-07-12,agenda,478,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07122018-478,,seed
Agricultural Commission,agricultural-commission,2018-07-12,minutes,478,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07122018-478,,seed
Agricultural Commission,agricultural-commission,2018-08-16,agenda,482,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08162018-482,,seed
Agricultural Commission,agricultural-commission,2018-08-16,minutes,482,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08162018-482,,seed
Agricultural Commission,agricultural-commission,2018-10-18,agenda,479,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10182018-479,,seed
