board,year,agendas,minutes,minutes_share,basis
Agricultural Commission,2017,6,6,1.0,town listing
Agricultural Commission,2018,10,9,0.9,town listing
Agricultural Commission,2019,11,7,0.6364,town listing
Agricultural Commission,2020,9,3,0.3333,town listing
Agricultural Commission,2021,9,6,0.6667,town listing
Agricultural Commission,2022,12,3,0.25,town listing
Agricultural Commission,2023,14,10,0.7143,town listing
Agricultural Commission,2024,20,17,0.85,town listing
Agricultural Commission,2025,14,13,0.9286,town listing
Agricultural Commission,2026,6,0,0.0,town listing
Architectural Preservation District Commission,2016,12,12,1.0,town listing
Architectural Preservation District Commission,2017,5,5,1.0,town listing
Architectural Preservation District Commission,2018,10,6,0.6,town listing
Architectural Preservation District Commission,2019,15,9,0.6,town listing
Architectural Preservation District Commission,2020,8,1,0.125,town listing
Architectural Preservation District Commission,2021,14,10,0.7143,town listing
Architectural Preservation District Commission,2022,19,10,0.5263,town listing
Architectural Preservation District Commission,2023,11,11,1.0,town listing
Architectural Preservation District Commission,2024,14,12,0.8571,town listing
Architectural Preservation District Commission,2025,12,11,0.9167,town listing
Architectural Preservation District Commission,2026,4,3,0.75,town listing
Athletic Advisory Council,2023,1,0,0.0,town listing
Athletic Advisory Council,2024,1,0,0.0,town listing
Athletic Advisory Council,2025,2,0,0.0,town listing
BOA Neighborhood ans Site Index Subcommittee,2024,1,0,0.0,town listing
Board of Assessors,2010,12,12,1.0,town listing
Board of Assessors,2011,13,12,0.9231,town listing
Board of Assessors,2012,13,12,0.9231,town listing
Board of Assessors,2013,13,12,0.9231,town listing
Board of Assessors,2014,19,15,0.7895,town listing
Board of Assessors,2015,12,12,1.0,town listing
Board of Assessors,2016,13,10,0.7692,town listing
Board of Assessors,2017,14,12,0.8571,town listing
Board of Assessors,2018,12,10,0.8333,town listing
Board of Assessors,2019,18,12,0.6667,town listing
Board of Assessors,2020,16,7,0.4375,town listing
Board of Assessors,2021,9,7,0.7778,town listing
Board of Assessors,2022,12,11,0.9167,town listing
Board of Assessors,2023,25,23,0.92,town listing
Board of Assessors,2024,30,27,0.9,town listing
Board of Assessors,2025,23,22,0.9565,town listing
Board of Assessors,2026,12,7,0.5833,town listing
Board of Health,2009,13,13,1.0,town listing
Board of Health,2010,15,11,0.7333,town listing
Board of Health,2011,16,14,0.875,town listing
Board of Health,2012,21,16,0.7619,town listing
Board of Health,2013,15,10,0.6667,town listing
Board of Health,2014,18,15,0.8333,town listing
Board of Health,2015,23,12,0.5217,town listing
Board of Health,2016,20,7,0.35,town listing
Board of Health,2017,20,5,0.25,town listing
Board of Health,2018,16,12,0.75,town listing
Board of Health,2021,16,9,0.5625,town listing
Board of Health,2022,16,10,0.625,town listing
Board of Health,2023,15,10,0.6667,town listing
Board of Health,2024,16,11,0.6875,town listing
Board of Health,2025,15,14,0.9333,town listing
Board of Health,2026,11,8,0.7273,town listing
Board of Registrars,2013,1,0,0.0,town listing
Board of Registrars,2016,1,0,0.0,town listing
Board of Registrars,2018,4,0,0.0,town listing
Board of Registrars,2019,1,0,0.0,town listing
Board of Registrars,2021,1,0,0.0,town listing
Board of Registrars,2022,7,0,0.0,town listing
Board of Registrars,2023,2,0,0.0,town listing
Board of Registrars,2024,7,0,0.0,town listing
Board of Registrars,2025,2,0,0.0,town listing
Board of Registrars,2026,9,0,0.0,town listing
Budget Task Force,2024,15,0,0.0,town listing
Building Reuse Committee,2013,11,2,0.1818,town listing
Building Reuse Committee,2014,10,9,0.9,town listing
Building Reuse Committee,2015,15,11,0.7333,town listing
Building Reuse Committee,2017,4,0,0.0,town listing
Building Reuse Committee,2019,1,1,1.0,town listing
By-Law Committee,2016,9,8,0.8889,town listing
By-Law Committee,2021,5,5,1.0,town listing
By-Law Committee,2022,15,8,0.5333,town listing
By-Law Committee,2023,2,0,0.0,town listing
By-Law Committee,2025,5,2,0.4,town listing
By-Law Committee,2026,5,0,0.0,town listing
Cable Advisory Committee,2015,9,2,0.2222,town listing
Cable Advisory Committee,2016,2,0,0.0,town listing
Cable Advisory Committee,2017,11,8,0.7273,town listing
Cable Advisory Committee,2018,2,2,1.0,town listing
Cable Advisory Committee,2026,2,1,0.5,town listing
