source,use,basis,why
Any general-fund revenue source,Department 300,impossible,"Money in fund 0100 is fungible and no record ties a source to a department. The town apportions by share when presenting a budget; that is a convention, not a flow. **No further data will fix this.**"
Department 300 appropriation,"Its 258 accounts, by function",traced,`glytdbud-expense-fy2026-p12-gf-all` holds every account.
Fund 1301 (athletics),Athletics spending,restricted,"The fund is athletics — established from its cash journal. But **no expense report exists for special revenue funds**, so what it actually paid for is not observed. The general-fund athletics line (function 3510) is a separate, traced thing."
Fund 2200 (school lunch),Food service,restricted,Same gap.
Fund 2640 (circuit breaker),Special education,restricted,Same gap — and see the assumption below about whether this is the same money as the general-fund `SCHCOSTREI` line.
Fund 1312 / 1305 / 1306 / 1302 / 1300,Their own programs,restricted,Same gap.
Fund 1308 (school choice),—,unknown,School choice money is not restricted the way a program revolving fund is. Where it is spent is not established here at all.
Grant funds 26xx–29xx,The purpose of each grant,restricted,"Restricted by the grant award rather than by a town vote, and equally unobserved."
Pension assessment (dept 820),School staff,unknown,The assessment covers town and school employees together. No published document gives the split.
Dept 914 `SCHRETHLTH`,School retirees,traced,The account name states it and it sits beside the town-retiree equivalent.
State teachers’ pension system,District teaching staff,unknown,"Not appropriated by Lunenburg, not in our archive, and not sized anywhere here."
