report,fy,program,res_count,nonres_count,total_count,res_total,nonres_total,total,document
program,2025,2024 Lunenburg's Great Cardboard Boat Race,3,4,7,0.00,0.00,0.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,BEST Soccer,16,11,27,3040.00,2090.00,5130.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,BEST Soccer- Summer Clinic,1,0,1,-190.00,0.00,-190.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,COUCH TO 5K,8,0,8,280.00,0.00,280.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Game Time Training Basketball Clinic,1,2,3,-160.00,-320.00,-480.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Gentle Flow Yoga,4,12,16,0.00,0.00,0.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,MA Sports Leagues School Vacation Programs,30,14,44,4600.00,2000.00,6600.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,NRWA Summertime Eco-Adventures,4,0,4,0.00,0.00,0.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Science Heroes,15,15,30,0.00,0.00,0.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,SNAPOLOGY-STEM PROGRAMS,49,59,108,6501.00,10559.50,17060.50,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,SWIM LESSONS 2024,19,1,20,360.00,0.00,360.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,SWIM LESSONS 2025,98,47,145,2310.00,1170.00,3480.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,The Painted Goat- Adult and Youth Workshops!,13,8,21,570.00,405.00,975.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Thursday Night Volleyball- Advanced,12,19,31,480.00,780.00,1260.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Thursday- Intermediate Pickleball,7,28,35,160.00,1120.00,1280.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Wednesday Afternoon Pickleball,27,71,98,600.00,2130.00,2730.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
program,2025,Wildlife Encounters- Junior Zookeepers,30,22,52,280.00,190.00,470.00,sources/town-ledgers/account-details/parks-program-financials-fy2025-myrec.pdf
membership,2025,2024 BEACH PASSES,26,3,29,1509.00,175.00,1684.00,sources/town-ledgers/account-details/parks-membership-sales-fy2025-myrec.pdf
membership,2025,2024 SEASON PASS-FAMILY ADD ON $5,1,3,4,5.00,15.00,20.00,sources/town-ledgers/account-details/parks-membership-sales-fy2025-myrec.pdf
membership,2025,2025 BEACH PASSES,60,71,131,3466.00,3614.00,7080.00,sources/town-ledgers/account-details/parks-membership-sales-fy2025-myrec.pdf
membership,2025,LUNENBURG EMPLOYEE MEMBERSHIP,0,0,0,0.00,44.00,44.00,sources/town-ledgers/account-details/parks-membership-sales-fy2025-myrec.pdf
