fy,edition,statement,identity,note
2015,FY2015,revenue_vs_expenses,1 + 2 = 3,Starting Balance + Revenue = Subtotal
2015,FY2015,revenue_vs_expenses,3 - 4 = 5,Subtotal - Expenses = Ending Balance
2016,FY2016,revenue_vs_expenses,1 + 2 = 3,
2016,FY2016,revenue_vs_expenses,3 - 4 = 5,
2017,FY2017,revenue_vs_expenses,1 + 2 = 3,
2017,FY2017,revenue_vs_expenses,3 - 4 = 5,
2018,FY2018,revenue_vs_expenses,1 + 2 = 3,
2018,FY2018,revenue_vs_expenses,3 - 4 = 5,
2019,FY2019,revenue_vs_expenses,1 + 2 = 3,
2019,FY2019,revenue_vs_expenses,3 - 4 = 5,the second row labelled Subtotal
2019,FY2019,revenue_vs_expenses,5 + 6 = 7,"the Comcast Tech Capital Grant Fund added in, the year it was merged"
2020,FY2020,revenue_vs_expenses,1 + 2 = 3,
2020,FY2020,revenue_vs_expenses,3 - 4 = 6,"row 5, labelled Subtotal, takes no part in this and is 449,041.36 -- the figure FY2019 prints in the same position"
2021,FY2021,revenue_vs_expenses,1 + 2 + 3 = 4,"Revenue Total INCLUDES the starting balance, despite its name"
2021,FY2021,revenue_vs_expenses,4 - 5 = 6,
2022,FY2022,revenue_vs_expenses,1 + 2 = 3,
2022,FY2022,revenue_vs_expenses,3 - 4 = 5,no balance is carried in or out; TOTAL is the year alone
2023,FY2023,revenue_vs_expenses,1 + 2 = 3,
2023,FY2023,revenue_vs_expenses,3 - 4 = 5,
2024,FY2024,revenue_vs_expenses,1 + 2 + 3 = 4,
2024,FY2024,revenue_vs_expenses,4 - 5 = 6,
2025,FY2025,revenue_vs_expenses,1 + 2 + 3 = 4,
2025,FY2025,revenue_vs_expenses,6 - 5 = 7,Beginning Balance - Expenses = Ending Balance. The revenue Subtotal (4) takes no part in it.
