step,fy,subject,pdf,ocr,text,located,extracted,database,published,pages,rows,blocked
6,2011,appropriations,yes,yes,yes,yes,yes,yes,,60 61 62 63 64 65 71 84,298,
6,2012,appropriations,yes,yes,yes,yes,yes,yes,,61 62 63 64 65 81,269,
6,2013,appropriations,yes,yes,yes,yes,yes,yes,,65 66 67 68 69 70 76,282,
6,2014,appropriations,yes,yes,yes,yes,yes,yes,,24 25 26 27 28 34,386,
6,2015,appropriations,yes,yes,yes,yes,yes,yes,,24 25 26 27 28 34,337,
6,2016,appropriations,yes,yes,yes,yes,yes,yes,,25 26 27 28 29 30 36,497,
6,2017,appropriations,yes,yes,yes,yes,yes,yes,,24 25 26 27 28 34 155,487,
6,2018,appropriations,yes,yes,yes,yes,yes,yes,,30 31 32 33 34 40 155,386,
6,2019,appropriations,yes,yes,yes,yes,yes,yes,,160,317,
6,2020,appropriations,yes,yes,yes,yes,yes,yes,,26 27 28 29 30 36,385,
6,2021,appropriations,yes,yes,yes,yes,yes,yes,,27 28 29 30 31 37 140,322,
6,2022,appropriations,yes,yes,yes,yes,yes,yes,,28 29 30 31 32 38,348,
6,2023,appropriations,yes,yes,yes,yes,yes,yes,,27 28 29 30 31 32,268,
3,2024,appropriations,yes,yes,yes,,,,,,0,no page carrying this table has been identified
6,2025,appropriations,yes,yes,yes,yes,yes,yes,,,83,
4,2011,balance-sheet,yes,yes,yes,yes,,,,56,0,no extractor for this family yet
4,2012,balance-sheet,yes,yes,yes,yes,,,,56,0,no extractor for this family yet
4,2013,balance-sheet,yes,yes,yes,yes,,,,61,0,no extractor for this family yet
4,2014,balance-sheet,yes,yes,yes,yes,,,,20,0,no extractor for this family yet
4,2015,balance-sheet,yes,yes,yes,yes,,,,20,0,no extractor for this family yet
4,2016,balance-sheet,yes,yes,yes,yes,,,,20 21,0,no extractor for this family yet
4,2017,balance-sheet,yes,yes,yes,yes,,,,20,0,no extractor for this family yet
4,2018,balance-sheet,yes,yes,yes,yes,,,,26,0,no extractor for this family yet
3,2019,balance-sheet,yes,yes,yes,,,,,,0,no page carrying this table has been identified
4,2020,balance-sheet,yes,yes,yes,yes,,,,22,0,no extractor for this family yet
4,2021,balance-sheet,yes,yes,yes,yes,,,,23,0,no extractor for this family yet
4,2022,balance-sheet,yes,yes,yes,yes,,,,24,0,no extractor for this family yet
4,2023,balance-sheet,yes,yes,yes,yes,,,,24,0,no extractor for this family yet
3,2024,balance-sheet,yes,yes,yes,,,,,,0,no page carrying this table has been identified
3,2025,balance-sheet,yes,yes,yes,,,,,,0,no page carrying this table has been identified
6,2011,capital,yes,yes,yes,yes,yes,yes,,,37,
6,2012,capital,yes,yes,yes,yes,yes,yes,,71,41,
6,2013,capital,yes,yes,yes,yes,yes,yes,,,22,
6,2014,capital,yes,yes,yes,yes,yes,yes,,,46,
6,2015,capital,yes,yes,yes,yes,yes,yes,,93,45,
6,2016,capital,yes,yes,yes,yes,yes,yes,,,47,
6,2017,capital,yes,yes,yes,yes,yes,yes,,,37,
6,2018,capital,yes,yes,yes,yes,yes,yes,,,45,
6,2019,capital,yes,yes,yes,yes,yes,yes,,107,47,
6,2020,capital,yes,yes,yes,yes,yes,yes,,,43,
6,2021,capital,yes,yes,yes,yes,yes,yes,,,48,
6,2022,capital,yes,yes,yes,yes,yes,yes,,94 142,53,
6,2023,capital,yes,yes,yes,yes,yes,yes,,44,55,
6,2024,capital,yes,yes,yes,yes,yes,yes,,27,26,
6,2025,capital,yes,yes,yes,yes,yes,yes,,30,24,
6,2011,debt,yes,yes,yes,yes,yes,yes,,75,20,
4,2012,debt,yes,yes,yes,yes,,,,75,0,no extractor for this family yet
3,2013,debt,yes,yes,yes,,,,,,0,no page carrying this table has been identified
3,2014,debt,yes,yes,yes,,,,,,0,no page carrying this table has been identified
4,2015,debt,yes,yes,yes,yes,,,,41,0,no extractor for this family yet
4,2016,debt,yes,yes,yes,yes,,,,43,0,no extractor for this family yet
6,2017,debt,yes,yes,yes,yes,yes,yes,,40,5,
4,2018,debt,yes,yes,yes,yes,,,,47,0,no extractor for this family yet
6,2019,debt,yes,yes,yes,yes,yes,yes,,,8,
6,2020,debt,yes,yes,yes,yes,yes,yes,,42,49,
6,2021,debt,yes,yes,yes,yes,yes,yes,,42,98,
4,2022,debt,yes,yes,yes,yes,,,,44,0,no extractor for this family yet
6,2023,debt,yes,yes,yes,yes,yes,yes,,52,53,
6,2024,debt,yes,yes,yes,yes,yes,yes,,36,47,
6,2025,debt,yes,yes,yes,yes,yes,yes,,,74,
