fy,as_of,total,collaborative,day,residential,collaborative_within_day,collaborative_basis,report_says_prior_year,parts_tie,chain_agrees,page,document,checks
2011,2011-03-01,15,,13,2,1,subset of day placements,,yes,n/a,35,FY2011,parts 13+2=15 ties to stated 15
2012,2012-03-01,24,,19,5,7,subset of day placements,,yes,n/a,33,FY2012,parts 19+5=24 ties to stated 24
2013,2013-03-01,22,,17,5,,not stated,,yes,n/a,32,FY2013,parts 17+5=22 ties to stated 22
2014,2014-03-01,26,7,13,6,,parallel category,,yes,n/a,96,FY2014,parts 7+13+6=26 ties to stated 26
2015,2015-03-01,30,9,15,6,,parallel category,,yes,n/a,103,FY2015,parts 9+15+6=30 ties to stated 30
2016,2016-03-01,19,4,12,3,,parallel category,30,yes,yes,105,FY2016,"parts 4+12+3=19 ties to stated 19; report says prior year 30, FY2015 stated 30 - agrees"
2017,2017-03-01,14,2,8,4,,parallel category,19,yes,yes,102,FY2017,"parts 2+8+4=14 ties to stated 14; report says prior year 19, FY2016 stated 19 - agrees"
2018,2018-03-01,14,6,5,3,,parallel category,14,yes,yes,115,FY2018,"parts 6+5+3=14 ties to stated 14; report says prior year 14, FY2017 stated 14 - agrees"
2019,2019-03-01,12,4,5,3,,parallel category,14,yes,yes,119,FY2019,"parts 4+5+3=12 ties to stated 12; report says prior year 14, FY2018 stated 14 - agrees"
2020,2020-03-01,11,3,3,5,,parallel category,12,yes,yes,109,FY2020,"parts 3+3+5=11 ties to stated 11; report says prior year 12, FY2019 stated 12 - agrees"
2021,2021-03-01,12,,,,,not stated,,not stated,n/a,,recovered from FY2022 p104,
2022,2022-03-01,8,4,2,2,,parallel category,12,yes,yes,104,FY2022,"parts 4+2+2=8 ties to stated 8; report says prior year 12, FY2021 stated 12 - agrees"
2023,2023-03-01,7,3,3,1,,parallel category,8,yes,yes,120,FY2023,"parts 3+3+1=7 ties to stated 7; report says prior year 8, FY2022 stated 8 - agrees"
2024,2024-03-01,8,4,3,1,,parallel category,7,yes,yes,97,FY2024,"parts 4+3+1=8 ties to stated 8; report says prior year 7, FY2023 stated 7 - agrees"
2025,2025-03-01,10,6,3,1,,parallel category,8,yes,yes,92,FY2025,"parts 6+3+1=10 ties to stated 10; report says prior year 8, FY2024 stated 8 - agrees"
