fy,category,unit,item,value,value_type,set_on,expires,source,source_file,source_ref,status,in_model
2026,activity_fee,Student Activities,fee increase,,dollars,2025-02-26,,"School Committee minutes, 26 February 2025 — discussed, not voted",minutes/text/school-committee/2025-02-26-minutes-7076.txt,Committee recommends Dr. Gilson,not_adopted,no
2024,athletic_fee,ANY,unified_track,100.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Unified Track =$100.00,verified,reference
2024,athletic_fee,HS,family_cap,475.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Total Cap per season=$475.00,verified,reference
2024,athletic_fee,HS,full_pay,250.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!E3,verified,reference
2024,athletic_fee,HS,reduced_fee,32.50,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!Q3,verified,reference
2024,athletic_fee,HS,second_child,140.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!H3,verified,reference
2024,athletic_fee,HS,third_child,85.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!K3,verified,reference
2024,athletic_fee,MS,full_pay,200.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,1st student=$200.00,verified,reference
2024,athletic_fee,MS,reduced_fee,26.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!T3,verified,reference
2024,athletic_fee,MS,second_child,150.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,2nd student=$150.00,verified,reference
2025,athletic_fee,ANY,unified_track,100.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Unified Track =$100.00,verified,reference
2025,athletic_fee,HS,family_cap,475.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Total Cap per season=$475.00,verified,reference
2025,athletic_fee,HS,full_pay,250.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!F3,verified,reference
2025,athletic_fee,HS,reduced_fee,32.50,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!R3,verified,reference
2025,athletic_fee,HS,second_child,140.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!I3,verified,reference
2025,athletic_fee,HS,third_child,85.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!L3,verified,reference
2025,athletic_fee,MS,full_pay,200.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,1st student=$200.00,verified,reference
2025,athletic_fee,MS,reduced_fee,26.00,dollars,,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!U3,verified,reference
2025,athletic_fee,MS,second_child,150.00,dollars,,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,2nd student=$150.00,verified,reference
2026,athletic_fee,ANY,family_cap,1500.00,dollars,2025-02-26,,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,family cap of $1500,verified,yes
2026,athletic_fee,HS,full_pay,325.00,dollars,2025-02-26,,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,"up 
to $325",verified,yes
2026,athletic_fee,HS,reduced_fee,50.00,dollars,2025-02-26,,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,Reduced fee for high school to $50,verified,yes
2026,athletic_fee,HS,sibling_discount_pct,25.00,percent,2025-02-26,,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,A 25% discount for siblings,verified,yes
2026,athletic_fee,MS,full_pay,275.00,dollars,2025-02-26,,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,$275 for Middle School,verified,yes
2026,athletic_fee,MS,reduced_fee,40.00,dollars,2025-02-26,,"School Committee minutes, 26 February 2025 — ""Increasing New & Existing Revenues""",minutes/text/school-committee/2025-02-26-minutes-7076.txt,$40 for middle school,verified,yes
2027,athletic_fee,ANY,family_cap,1500.00,dollars,2026-08,,"Superintendent's email to families, August 2026",,,reported,yes
2027,athletic_fee,HS,full_pay,400.00,dollars,2026-08,,"Superintendent's email to families, August 2026",,,reported,yes
2027,athletic_fee,HS,second_child,300.00,dollars,2026-08,,"Superintendent's email to families, August 2026",,,reported,yes
2027,athletic_fee,HS,third_child,225.00,dollars,2026-08,,"Superintendent's email to families, August 2026",,,reported,yes
2026,bus_fee,"Transportation, to school",eligibility — grades 7-12,,all charged,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,Grades 7-12 :  all students charged,verified,no
2026,bus_fee,"Transportation, to school","eligibility — grades K-6, 2 miles or more",,no charge,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,Grades K-6 :  2 or more miles no charge,verified,no
2026,bus_fee,"Transportation, to school","eligibility — grades K-6, under 2 miles",,charged,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,Grades K-6 :  0-1.99 miles are charged,verified,no
2026,bus_fee,"Transportation, to school",one student,180.00,dollars per family per year,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,$180 Families with 1 student,verified,no
2026,bus_fee,"Transportation, to school","one student, reduced",50.00,dollars per family per year,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,$50 Families with 1 student that qualify for a reduced fee,verified,no
2026,bus_fee,"Transportation, to school",policy adopted,,note,2025-05-21,,"School Committee minutes, 21 May 2025 — Bus Fee Policy 3601.01 approved",minutes/text/school-committee/2025-05-21-minutes-7235.txt,to approve the Bus Fee Policy 3601.01 as written,verified,no
2026,bus_fee,"Transportation, to school",qualifying families,0.00,dollars per family per year,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,Free - Families that have submitted a Free/Reduced Application and qualify,verified,no
2026,bus_fee,"Transportation, to school",two or more students,270.00,dollars per family per year,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,$270 Families with 2 or more students,verified,no
2026,bus_fee,"Transportation, to school","two or more, reduced",75.00,dollars per family per year,2025-05,,"Superintendent's email, May 2025",email/2025-05-bus-fees-superintendent.txt,$75 Families with 2 or more students that qualify for a reduced fee,verified,no
2027,bus_fee,"Transportation, to school",one student,180.00,dollars per family per year,2026-08-17,,"Superintendent's email, 17 August 2026",email/2026-08-17-bus-routes-and-fees-superintendent.txt,One child: $180.00,verified,no
2027,bus_fee,"Transportation, to school","one student, reduced",,dollars per family per year,,,"Not restated in the 17 August 2026 email, which gives three tiers",email/2026-08-17-bus-routes-and-fees-superintendent.txt,,not_published,no
2027,bus_fee,"Transportation, to school",qualifying families,0.00,dollars per family per year,2026-08-17,,"Superintendent's email, 17 August 2026",email/2026-08-17-bus-routes-and-fees-superintendent.txt,Free-Families that have qualified,verified,no
2027,bus_fee,"Transportation, to school",two or more students,270.00,dollars per family per year,2026-08-17,,"Superintendent's email, 17 August 2026",email/2026-08-17-bus-routes-and-fees-superintendent.txt,Family rate (2+ children): $270.00,verified,no
2027,bus_fee,"Transportation, to school","two or more, reduced",75.00,dollars per family per year,2026-08-17,,"Superintendent's email, 17 August 2026",email/2026-08-17-bus-routes-and-fees-superintendent.txt,$75 Families w/2+ children that qualify for a reduced fee,verified,no
,contract_cola,Cafeteria,cost-of-living adjustment,,percent,,"June 30, 2026",Lunenburg school employee contracts — term 2023–2026,contracts/CONTRACTS.md,*not public*,not_published,no
,contract_cola,"Custodians, prior agreement",cost-of-living adjustment,,percent,,"expired June 30, 2026",Lunenburg school employee contracts — term FY24–FY26,contracts/CONTRACTS.md,—,recorded,no
,contract_cola,Secretaries,cost-of-living adjustment,,percent,,"June 30, 2028",Lunenburg school employee contracts — term 2025–2028,contracts/CONTRACTS.md,*not public*,not_published,no
2025,contract_cola,Teachers,cost-of-living adjustment to the salary scale,2.5,percent,,"June 30, 2027","Lunenburg school employee contracts — Teachers, term FY25–FY27",contracts/CONTRACTS.md,Teachers | FY25–FY27 | 2.5% · 4.0% · 3.5%,recorded,no
2026,contract_cola,Paraprofessionals,cost-of-living adjustment to the salary scale,3.0,percent,,"June 30, 2028","Lunenburg school employee contracts — Paraprofessionals, term FY26–FY28",contracts/CONTRACTS.md,Paraprofessionals | FY26–FY28 | 3.0% · 2.0% · 2.0%,recorded,no
