fy,document,pages,state,rows,column_order,header_read_from_page,grand_total_forward,grand_total_balance,opens_where_prior_closed,rows_failing_row_identity,unparsed_figures,reason,notes
2015,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv,44;45,refused,,,,,,,,,"no page anchors enough columns: the fullest header, on p44, names all eight but the scanner returned them run together in one box, so only 1 column position is measurable and the pitch cannot be fitted",
2016,sources/town-budget/ocr/4122-fy-2016-annual-town-report-addendum.tsv,9;10;11;12,refused,,,,,,,,,"no page names all eight columns: the fullest header, on p9, names 6 of them and never transfer or balance -- the scan of these pages ends before the right-hand columns",
2016,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv,47;48;49,refused,61,balance_forward;commitments;adjustments;refunds;payments;abatements;transfer;balance,47,,,,,0,"0 GRAND TOTAL rows were read off pages 47;48;49, not one",p47 ruler residual 0.0047 skew 0.00000; p48 carried from p47 residual 0.0007 skew -0.00096; p49 carried from p47 residual 0.0001 skew 0.00446
2017,sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv,43;44;45,reconciled,74,balance_forward;commitments;adjustments;refunds;payments;abatements;transfer;balance,45,8394045.53,9008228.35,,0,0,ties to its printed GRAND TOTAL on all eight columns,p43 ruler residual 0.0019 skew -0.00716; p44 ruler residual 0.0033 skew -0.00049; p45 ruler residual 0.0031 skew 0.00000
2018,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv,52;53;54,reconciled,79,balance_forward;commitments;adjustments;refunds;payments;abatements;transfer;balance,52,9021528.35,8769763.83,13300.00,0,0,ties to its printed GRAND TOTAL on all eight columns,p52 anchors residual 0.0000 skew -0.00709; p53 anchors residual 0.0000 skew 0.00000; p54 ruler residual 0.0055 skew 0.00000
2019,sources/town-budget/ocr/4126-fy-2019-annual-town-report.tsv,53;54;55,refused,,,,,,,,,"no page names all eight columns: the fullest header, on p54, names 7 of them and never balance -- the scan of these pages ends before the right-hand columns",
2020,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv,47;48;49,reconciled,87,balance_forward;commitments;abatements;payments;refunds;transfer;adjustments;balance,47,9108033.04,8827513.06,,0,0,ties to its printed GRAND TOTAL on all eight columns,p47 anchors residual 0.0000 skew -0.01101; p48 anchors residual 0.0000 skew 0.00000; p49 anchors residual 0.0000 skew 0.00000
2021,sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv,47;48;49,reconciled,93,balance_forward;commitments;abatements;payments;refunds;transfer;adjustments;balance,47,8827513.06,8057994.74,0.00,0,0,ties to its printed GRAND TOTAL on all eight columns,p47 anchors residual 0.0000 skew 0.00000; p48 anchors residual 0.0000 skew 0.00000; p49 anchors residual 0.0000 skew 0.00000
2022,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv,49;50;51,reconciled,95,balance_forward;commitments;abatements;payments;refunds;transfer;adjustments;balance,49,8057994.74,6661085.84,0.00,0,0,ties to its printed GRAND TOTAL on all eight columns,p49 anchors residual 0.0000 skew -0.00636; p50 anchors residual 0.0000 skew 0.00000; p51 anchors residual 0.0000 skew 0.00000
2023,sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv,54;55;56,reconciled,94,balance_forward;commitments;abatements;payments;refunds;transfer;adjustments;balance,56,6661085.86,6264883.52,0.02,0,0,ties to its printed GRAND TOTAL on all eight columns,p54 ruler residual 0.0026 skew 0.00000; p55 ruler residual 0.0038 skew 0.00000; p56 anchors residual 0.0000 skew -0.00157
2024,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv,38;39,refused,90,balance_forward;commitments;abatements;payments;refunds;transfer;adjustments;balance,39,6264883.52,6218623.48,0.00,,1,does not tie to its own GRAND TOTAL: balance_forward ours 5796695.21 printed 6264883.52 diff -468188.31; commitments ours 34849290.70 printed 34849290.78 diff -0.08; balance ours 6166275.33 printed 6218623.48 diff -52348.15,p38 ruler residual 0.0007 skew -0.00174; p39 ruler residual 0.0081 skew 0.00000
2025,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv,40;41,refused,4,balance_forward;commitments;abatements;payments;refunds;transfer;adjustments;balance,40,,,,,0,"0 GRAND TOTAL rows were read off pages 40;41, not one",p40 anchors residual 0.0000 skew 0.00000; p41: header unreadable and too few anchors to carry one
