fy,edition,document,pages,table,kind,source,detail
2011,FY2011,4117-fy-2011-annual-town-report.pdf,13-14,Capital Planning Committee: items placed in the FY2012 plan,announced but absent,table note,"Only the last two rows survive on p14 ('School, THMS | Gym Bleachers/gym floor | $ 35,000.00' and 'School, THMS | Whiteboards | $ 25,000.00'); the rest of the table and its heading are missing from the OCR entirely."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,56,"Combined balance sheet, all fund types, June 30 2011",announced but absent,table note,The table's own heading AND the whole ASSETS section above 'FY 09 REAL ESTATE TAXES' are missing from the OCR — the page begins mid-table.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,56,"Combined balance sheet, all fund types, June 30 2011",announced but absent,table note,"Column headers (which fund each money column belongs to) are also absent, so the six columns can only be identified by matching totals against other statements."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,89,Salary Administration Plan: alphabetical listing of class titles and grades,announced but absent,table note,About half the grades are missing from the OCR — every title is present but only 16 carry a number.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,89,Salary Administration Plan: alphabetical listing of class titles and grades,announced but absent,table note,The grade-to-dollar schedule itself is not printed in the report.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,97-101,"Payroll report: gross earnings by employee, FY2011",announced but absent,table note,"The DEPARTMENT column is missing for most rows on pp98-99 and present for most on pp100-101 — where it is absent, the department is simply not recoverable."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,23,"Police calls for service by type, 2011",does not sum,table note,"The listed types are explicitly 'a portion' — they do not sum to 19,750."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,97-101,"Payroll report: gross earnings by employee, FY2011",duplicated,table note,"Watch for genuine duplicates: 'BALL, COURTNEY' appears twice with different amounts, which is how a person paid from two funds is recorded."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,"The FY2011 tax rate goes UP (14.20 to 16.16) while total valuation goes DOWN ($1,227m to $1,114m) — the levy still rises 3.3%. The valuation and tax history table on p12 shows this plainly and is the only place in the report it is visible."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,The New Growth Revenue table on p12 uses a DIFFERENT tax rate for the same fiscal year than the valuation table immediately above it — FY2011 new growth is priced at 14.20 while the FY2011 rate is 16.16. It appears to apply the prior year's rate. Joining the two tables on fiscal year would silently mix rates.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,"This is the year the town STOPPED printing vital statistics in detail. The p80 note says so explicitly, citing the Registry of Vital Records and the US Department of State. Any name-level series ends here."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,"The Housing Partnership roster on p7 carries rows reading '2009 3 Vacancies / 2008 5 Vacancies / 2007 5 Vacancies' — unfilled seats recorded going back three years, in a table that otherwise lists people."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,"Monty Tech reports vocational programme enrollment WITH a gender split for every one of its twenty programmes (p49-52): Dental Assisting 3 male / 55 female, Electrical 78 male / 6 female, Business Technology 11 male / 49 female. Nothing else in this report breaks any population down by sex."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,"Charter and school choice tuitions both missed their appropriations badly in opposite directions (p65): Choice Tuitions spent $355,494 against $284,958 appropriated; Charter Tuitions spent $259,434 against $325,360. The two errors nearly cancel in the total."
2011,FY2011,4117-fy-2011-annual-town-report.pdf,,,note,surprise,The p13 burial list has about 22 entries; the p80 vitals report says 58 deaths. The two are counting different things (burials in town cemeteries vs. deaths recorded by the clerk) and nothing on either page says so.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,12,"Valuation and tax history, FY2004-FY2011",unreadable / OCR damage,table note,The printed section heading above it is OCR rubble ('varatull allu ran motory') — the readable heading is the column header row itself.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,19-20,Communicable disease cases reported,unreadable / OCR damage,table note,The top of the list is cut off at the p19/p20 boundary.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,23,"Police calls for service by type, 2011",unreadable / OCR damage,table note,Two clauses in the middle of the sentence are OCR rubble and their counts are unrecoverable.
2011,FY2011,4117-fy-2011-annual-town-report.pdf,26,"Library trustees, Friends and staff",unreadable / OCR damage,table note,The library statistics the p25 narrative promises ('The following are only a few of the statistics from last year') are NOT in the OCR at all — that block is lost.
