body,slug,years_filed,years_said_none,first_filed,last_filed,filed,said_none,of_years,org_chart_unit
Nashoba Associated Boards of Health,nashoba-associated-boards-of-health,2011;2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,,2011,2025,13,0,14,
Council on Aging (board),council-on-aging,2011;2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025,,2011,2025,12,0,14,Council on Aging (board)
Department of Public Works,department-of-public-works,2011;2013;2014;2015;2016;2017;2019;2020;2021;2022;2024;2025,,2011,2025,12,0,14,Department of Public Works
Fire Department,fire-department,2011;2013;2014;2015;2017;2018;2020;2021;2022;2023;2024;2025,,2011,2025,12,0,14,Fire Department
Planning Board,planning-board,2013;2014;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,,2013,2025,12,0,14,Planning Board
Zoning Board Of Appeals,zoning-board-of-appeals,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,,2013,2024,12,0,14,Zoning Board Of Appeals
Board Of Assessors (board),board-of-assessors,2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025,,2014,2025,11,0,14,Board Of Assessors (board)
Building Department,building-department,2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025,,2014,2025,11,0,14,Building Department
Cemetery Commission,cemetery-commission,2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025,,2014,2025,11,0,14,Cemetery Commission
Conservation Commission,conservation-commission,2011;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025,2014,2011,2025,11,1,14,Conservation Commission
Police Department,police-department,2013;2015;2016;2017;2018;2020;2021;2022;2023;2024;2025,,2013,2025,11,0,14,Police Department
Trust Funds,trust-funds,2014;2015;2016;2017;2018;2019;2020;2021;2022;2024;2025,,2014,2025,11,0,14,
Board Of Health,board-of-health,2014;2015;2016;2017;2018;2021;2022;2023;2024;2025,,2014,2025,10,0,14,Board Of Health
General Funds Revenue Chart,general-funds-revenue-chart,2015;2016;2017;2018;2019;2020;2021;2022;2023,,2015,2023,9,0,14,
Public Library,public-library,2014;2015;2017;2019;2020;2021;2022;2023;2024,,2014,2024,9,0,14,Public Library
Town Manager,town-manager,2013;2017;2018;2019;2020;2022;2023;2024;2025,,2013,2025,9,0,14,Town Manager
Capital Planning Committee,capital-planning-committee,2015;2016;2017;2018;2020;2021;2022;2023,,2015,2023,8,0,14,Capital Planning Committee
Finance Committee,finance-committee,2016;2017;2019;2020;2021;2022;2024;2025,,2016,2025,8,0,14,Finance Committee
Lunenburg Public Schools,lunenburg-public-schools,2014;2015;2018;2019;2020;2021;2022;2023,,2014,2023,8,0,14,Lunenburg Public Schools
Historical Commission,historical-commission,2014;2016;2017;2019;2020;2021;2022,2015;2023;2025,2014,2022,7,3,14,Historical Commission
Montachusett Regional Vocational Technical School,montachusett-regional-vocational-technical-school,2011;2013;2014;2016;2020;2021;2023,,2011,2023,7,0,14,Montachusett Regional Vocational Technical School
Sewer Commission,sewer-commission,2014;2015;2016;2017;2020;2023;2024,,2014,2024,7,0,14,Sewer Commission
Ad Hoc Open Space Advisory Committee,ad-hoc-open-space-advisory-committee,2018;2019;2020;2021;2022;2023,,2018,2023,6,0,14,Ad Hoc Open Space Advisory Committee
Cultural Council,cultural-council,2015;2016;2017;2021;2022;2024,2014;2019;2020;2025,2015,2024,6,4,14,Cultural Council
High School,high-school,2014;2015;2016;2017;2024;2025,,2014,2025,6,0,14,
Primary School,primary-school,2014;2015;2016;2017;2024;2025,,2014,2025,6,0,14,
School Facilities,school-facilities,2014;2015;2016;2017;2024;2025,,2014,2025,6,0,14,
Senior Property Tax Work Off Program,senior-property-tax-work-off-program,2015;2016;2017;2020;2022;2024,,2015,2024,6,0,14,
Architectural Preservation District Commission,architectural-preservation-district-commission,2017;2018;2019;2020;2021,2016;2022;2023,2017,2021,5,3,14,Architectural Preservation District Commission
Middle School,middle-school,2014;2016;2017;2024;2025,,2014,2025,5,0,14,
Public Access Cable Committee,public-access-cable-committee,2019;2020;2021;2022;2023,,2019,2023,5,0,14,Public Access Cable Committee
Special Services,special-services,2014;2015;2016;2017;2024,,2014,2024,5,0,14,
"Treasurer/Collector Treasurer's Cash as of June 30, 2020",treasurer-collector-treasurer-s-cash-as-of-june-30-2020,2020;2021;2022;2024;2025,,2020,2025,5,0,14,
Veterans' Services,veterans-services,2016;2022;2023;2024;2025,2017,2016,2025,5,1,14,Veterans' Services
Green Community Task Force,green-community-task-force,2011;2013;2014;2015,2016;2017;2019;2020,2011,2015,4,4,14,Green Community Task Force
Information Technology,information-technology,2015;2016;2017;2020,2019;2021,2015,2020,4,2,14,Information Technology
Superintendent Message,superintendent-message,2014;2015;2016;2017,,2014,2017,4,0,14,
"Treasurer's Cash as of June 30, 2014",treasurer-s-cash-as-of-june-30-2014,2014;2015;2018;2019,,2014,2019,4,0,14,
Technology Department,technology-department,2013;2016;2017,,2013,2017,3,0,14,
Turkey Hill Elementary School,turkey-hill-elementary-school,2016;2024;2025,,2016,2025,3,0,14,
Capital Planning,capital-planning,2014;2024,2025,2014,2024,2,1,14,
Cemetery Department,cemetery-department,2011;2013,,2011,2013,2,0,14,
Health 14 Historical Commission,health-14-historical-commission,2011;2013,,2011,2013,2,0,14,
Lunenburg Public Access,lunenburg-public-access,2024;2025,,2024,2025,2,0,14,
Public Access Channel Committee,public-access-channel-committee,2015;2017,,2015,2017,2,0,14,
School Lunch Program,school-lunch-program,2016;2017,,2016,2017,2,0,14,
Superintendent's Message,superintendent-s-message,2024;2025,,2024,2025,2,0,14,
TECHNICAL SCHOOL,technical-school,2018;2019,,2018,2019,2,0,14,
"Treasurer/Tax Collector Treasurer's Cash as of June 30, 2016",treasurer-tax-collector-treasurer-s-cash-as-of-june-30-2016,2016;2017,,2016,2017,2,0,14,
Trust and Stabilization Funds Held by Other Banks,trust-and-stabilization-funds-held-by-other-banks,2024;2025,,2024,2025,2,0,14,
Veterans' Agent,veterans-agent,2019;2020,2015,2019,2020,2,1,14,
105 Capital Planning Committe lanning Boar,105-capital-planning-committe-lanning-boar,2019,,2019,2019,1,0,14,
3 fire Department Police Department,3-fire-department-police-department,2019,,2019,2019,1,0,14,
Ad Hoc Open Space Advisory,ad-hoc-open-space-advisory,2025,,2025,2025,1,0,14,
Ad Hoc Open Space Advisory Committee to the Planning Board,ad-hoc-open-space-advisory-committee-to-the-planning-board,2024,,2024,2024,1,0,14,
Agricultural Commission,agricultural-commission,2015,2014;2016;2017;2020;2021;2022;2023,2015,2015,1,7,14,Agricultural Commission
Building Inspector / Zoning Official Capital Planning Committee,building-inspector-zoning-official-capital-planning-committee,2013,,2013,2013,1,0,14,
Committee Submitted Zoning Board of Appeals,committee-submitted-zoning-board-of-appeals,2025,,2025,2025,1,0,14,
Director of Facilities & Grounds/ Schools,director-of-facilities-grounds-schools,2013,,2013,2013,1,0,14,
enior Property Tax Work Off Prograr,enior-property-tax-work-off-prograr,2019,,2019,2019,1,0,14,
ewer Commissio,ewer-commissio,2019,,2019,2019,1,0,14,
Fire Department ...o,fire-department-o,2016,,2016,2016,1,0,14,
General Fund Revenues Chart,general-fund-revenues-chart,2014,,2014,2014,1,0,14,
Green Communities Committee,green-communities-committee,2021,2022;2024;2025,2021,2021,1,3,14,Green Communities Committee
Historical Committee,historical-committee,2024,,2024,2024,1,0,14,
Housing Authority Submitted Lunenburg Public Library,housing-authority-submitted-lunenburg-public-library,2025,,2025,2025,1,0,14,
Library 68-69 Public Access Channel Committee,library-68-69-public-access-channel-committee,2016,,2016,2016,1,0,14,
Lunenburg Public Schools IT,lunenburg-public-schools-it,2025,,2025,2025,1,0,14,
Lunenburg Public Schools IT Review,lunenburg-public-schools-it-review,2024,,2024,2024,1,0,14,
Lunenburg School Food Service,lunenburg-school-food-service,2024,,2024,2024,1,0,14,
Master Planning Steering Committee,master-planning-steering-committee,2023,2024,2023,2023,1,1,14,
Montachusett Regional Vocational,montachusett-regional-vocational,2025,,2025,2025,1,0,14,
Montachusett Regional Vocational Technical School District,montachusett-regional-vocational-technical-school-district,2024,,2024,2024,1,0,14,
Montachusett Regional Vocational Technical School ooooooooooo a o,montachusett-regional-vocational-technical-school-ooooooooooo-a-o,2022,,2022,2022,1,0,14,
Payroll Report 89,payroll-report-89,2013,,2013,2013,1,0,14,
Payroll Report 97-99 10 PM Personnel Committee,payroll-report-97-99-10-pm-personnel-committee,2011,,2011,2011,1,0,14,
PD Update Lunenburg School Food Service,pd-update-lunenburg-school-food-service,2025,,2025,2025,1,0,14,
"Presidential Primary March 1, 2016",presidential-primary-march-1-2016,2016,,2016,2016,1,0,14,
Program Sewer Commission,program-sewer-commission,2025,,2025,2025,1,0,14,
PROTECTION OF PERSONS & PROPERTY page Board of Health,protection-of-persons-property-page-board-of-health,2020,,2020,2020,1,0,14,
Review Special Services Department,review-special-services-department,2025,,2025,2025,1,0,14,
School Reports / Lunenburg,school-reports-lunenburg,2013,,2013,2013,1,0,14,
Senior Property Tax Work Off Program Sewer Commission,senior-property-tax-work-off-program-sewer-commission,2018,,2018,2018,1,0,14,
Senior Property Tax Work-Off,senior-property-tax-work-off,2025,,2025,2025,1,0,14,
Sewer Commission •aaaaaaaaaaaaaa,sewer-commission-aaaaaaaaaaaaaa,2022,,2022,2022,1,0,14,
Sewer Commissioners,sewer-commissioners,2013,,2013,2013,1,0,14,
"Special State Primary February 2, 2016",special-state-primary-february-2-2016,2016,,2016,2016,1,0,14,
"Special State Primary, November 5, 2017",special-state-primary-november-5-2017,2017,,2017,2017,1,0,14,
"State Primary September 4, 2018",state-primary-september-4-2018,2018,,2018,2018,1,0,14,
Teaching & Learning Models and,teaching-learning-models-and,2025,,2025,2025,1,0,14,
Teaching & Learning Models and PD Update,teaching-learning-models-and-pd-update,2024,,2024,2024,1,0,14,
Town Clerk,town-clerk,2015,,2015,2015,1,0,14,Town Clerk
Town Manager Report- Kerry A. Lafleur,town-manager-report-kerry-a-lafleur,2015,,2015,2015,1,0,14,
