fy,section,department,printed_from,printed_to,pdf_from,pdf_to,state,as_printed
2011,,Bonded Indebtedness,12,74,15,77,report,Bonded Indebtedness 12-74
2011,,Capital Project Funds,68,68,71,71,report,Capital Project Funds 68
2011,,Cemetery Department,10,10,13,13,report,Cemetery Department 10
2011,,Central Massachusetts Mosquito Control Collection of Taxes,75,75,78,78,report,Central Massachusetts Mosquito Control Collection of Taxes 75
2011,,Conservation Commission,14,14,17,17,report,Conservation Commission 14
2011,,Council on Aging,26,27,29,30,report,Council on Aging 26-27
2011,,Department of Public Works,12,22,15,25,report,Department of Public Works 12-22
2011,,Elections Town/State,77,78,80,81,report,Elections Town/State 77-78
2011,,Fire Department,18,19,21,22,report,Fire Department 18-19
2011,,Green Community Task Force,27,28,30,31,report,Green Community Task Force 27-28
2011,,Health 14 Historical Commission,17,18,20,21,report,Health 14 Historical Commission 17-18
2011,,Library 22-23 Meetings,2,2,5,5,report,Library 22-23 Meetings 2
2011,,Montachusett Regional Vocational Technical School,43,52,46,55,report,Montachusett Regional Vocational Technical School 43-52
2011,,Nashoba Associated Boards of Health,14,17,17,20,report,Nashoba Associated Boards of Health 14-17
2011,,Office Hours,1,1,4,4,report,Office Hours 1
2011,,"Officials, Elected and Appointed",3,6,6,9,report,"Officials, Elected and Appointed 3-6"
2011,,Payroll Report 97-99 10 PM Personnel Committee,23,24,26,27,report,Payroll Report 97-99 10 PM Personnel Committee 23-24
2013,,Balance Sheet,57,57,60,60,report,Balance Sheet 57
2013,,Bonded Indebtedness,76,78,79,81,report,Bonded Indebtedness 76-78
2013,,Building Inspector / Zoning Official Capital Planning Committee,9,10,12,13,report,Building Inspector / Zoning Official Capital Planning Committee 9-10
2013,,Capital Project Funds,72,72,75,75,report,Capital Project Funds 72
2013,,Cemetery Department,8,8,11,11,report,Cemetery Department 8
2013,,Collection of Taxes,79,79,82,82,report,Collection of Taxes 79
2013,,Department of Public Works,17,19,20,22,report,Department of Public Works 17-19
2013,,Director of Facilities & Grounds/ Schools,30,30,33,33,report,Director of Facilities & Grounds/ Schools 30
2013,,Elections Town/ State,87,88,90,91,report,Elections Town/ State 87-88
2013,,Fire Department,21,23,24,26,report,Fire Department 21-23
2013,,Green Community Task Force,11,12,14,15,report,Green Community Task Force 11-12
2013,,Health 12 Historical Commission,15,15,18,18,report,Health 12 Historical Commission 15
2013,,Library 10-11 Meetings,2,2,5,5,report,Library 10-11 Meetings 2
2013,,Montachusett Regional Vocational Technical School,41,56,44,59,report,Montachusett Regional Vocational Technical School 41-56
2013,,Nashoba Associated Boards of Health,12,15,15,18,report,Nashoba Associated Boards of Health 12-15
