fy,department,person,title,page,as_printed
2012,,Kerry A. Speidel,,9,"Respectfully submitted,"
2012,3 ** denotes chairperson Brendan Grady 2,Patrick J. Slattery,"Chairman Amory Phelps, Member Damon McQuaid, Secretary",18,"Respectfully submitted,"
2013,Montachusett Regional Vocational Technical School,Stevch C. Sharek,Superintendent-Director,44,"Respectfully submitted,"
2014,,Brian Spadafino,Principal,108,"Respectfully Submitted,"
2014,,Doreen C. Noble,Director,50,"Respectfully submitted,"
2014,,Elaine E. Blaisdell,Principal,101,"Respectfully submitted,"
2014,,James P Marino,Chief James P. Marino,82,"Respectfully submitted,"
2014,,Julianna Hanscom,Director of Special Services,98,"Respectfully submitted,"
2014,,Loxi Jo Calmes,Superintendent of Schools,94,"Respectfully Submitted,"
2014,,Martha Moore,Library Director,58,"Submitted by Martha Moore, Library Director"
2014,,Patrick A. Sullivan,Chief of Department*,76,Report submitted by Fire Chief Patrick A. Sullivan
2014,,Steve Malandrinos,IT Director,63,"Submitted by Steve Malandrinos, IT Director"
2014,,Timothy Santry,Principal,104,"Respectfully submitted,"
2014,Green Community Task Force,Dave Blatt,Chairman,56,"Submitted by Dave Blatt, Chairman"
2014,Green Community Task Force,Rebecca Lantry,Chairwoman,56,"Report submitted by Rebecca Lantry, Chairwoman"
2014,School Facilities,John Londa,Director of Facilities,95,"Respectfully submitted,"
2015,,Brian Spadafino,Principal,114,"Respectfully Submitted,"
2015,,Elaine E. Blaisdell,Principal,107,"Respectfully submitted,"
2015,,Games P. Marino,Chief James P. Marino,89,Respectfully Submitted
2015,,TOWN OF LUNENBURG,,188,(Submitted by Personnel Committee)
2015,,Timothy Santry,Principal,110,"Respectfully Submitted,"
2015,Agricultural Commission,Jeffrey L. Mendoza,Chairman,49,"Respectfully Submitted,"
2015,Conservation Commission,Richard Bursch,Chair,52,"Respectfully Submitted,"
2015,Primary School,Julianna Hanscom,Director of Special Services,105,"Respectfully Submitted,"
2015,"Public Library 67,",Martha Moore,Director,68,"Respectfully submitted,"
2015,School Facilities,Loxi Jo Calmes,Superintendent of Schools,102,"Respectfully Submitted,"
2015,Special Services,John Londa,Director of Facilities and Grounds,103,"Respectfully submitted,"
2015,Superintendent Message,Sheila M. Harrity,Superintendent-Director,117,"Respectfully submitted,"
2016,,Sheila M. Harrity,Superintendent-Director,138,Respectfully Submitted By:
2016,"Annual Town Meeting May 5, 2016",Agricultural Commis,,169,"setts General Law Chapter 40A, Section 3 and Chapter 61A. (Submitted by Agricultural Commis-"
2016,Conservation Commission,Richard Bursch,Chairman,54,"Respectfully Submitted,"
2016,Middle School,Tim Santry,Principal,115,"Respectfully submitted,"
2016,Police Department **•,James P. Marino,Chief James P. Marino,92,"Respectfully Submitted,"
2016,Primary School,Elaine E. Blaisdell,Principal,109,"Respectfully submitted,"
2016,School Facilities,John Londa,Director of Facilities and Grounds,103,"Respectfully submitted,"
2016,Special Services,Julianna Hanscom,Special Services Director,107,"Respectfully Submitted,"
2016,Special Services,Nadine Lorenzen,Food Service Director,107,"Respectfully Submitted,"
2016,Superintendent Message,Loxi Jo Calmes,Superintendent of Schools,102,"Respectfully Submitted,"
2016,Superintendent Message,Sile In Harity,"Sheila M. Harrity, Ed.D., Superintendent-Director",122,"Respectfully submitted,"
2016,Technology Department,Steve Malandrinos,Technology Director,104,"Respectfully submitted,"
2016,Town Manager Report-Heather R. Lemieux,Heather R. Lemieux,Town Manager,19,"Respectfully submitted,"
2016,Turkey Hill Elementary School,Heidi Champagne,Principal,112,"Respectfully Submitted,"
2016,Veterans Services,T.J. Blauser,Veterans Agent,78,"Respectfully submitted,"
2017,,Brian Spadafino,Principal,119,"Respectfully Submitted,"
2017,,Elaine E. Blaisdell,Principal,107,"Respectfully submitted,"
2017,,Heather R. Lemieux,,19,"Respectfully submitted,"
2017,,Heidi Champagne,Principal,111,"Respectfully Submitted,"
2017,,Jack Rodriquenz,Director,58,Respectfully Submitted
2017,,James P. Marino,Chief James P. Marino,88,Respectfully Submitted
2017,,Martha Moore,Director,64,Respectfully submitted by
2017,,Tim Santry,Principal,115,"Respectfully Submitted,"
2017,Conservation Commission,Richard Bursch,Chair,51,"Respectfully Submitted,"
2017,School Facilities,John Londa,Director of Facilities and Grounds,100,"Respectfully submitted,"
2017,School Facilities,Loxi Jo Calmes,Superintendent of Schools,100,"Respectfully Submitted,"
2017,School Lunch Program,Julianna Hansom,Director of Special Services,105,"Respectfully submitted,"
2017,School Lunch Program,Nadine Lorenzen,Food Service Director,105,"Respectfully Submitted,"
2017,Superintendent Message,Sheila M Marity,"Sheila M. Harrity, Ed.D., Superintendent-Direckor",122,"Respectfully submitted,"
