role_raw,grade_or_dept,rows,role_category,role_grade,classified_by
,Paraprofessionals,178,paraprofessional,,heading-paras
,Cafeteria,86,cafeteria,,heading-cafeteria
,Custodians,83,custodian,,heading-custodial
,Unified Arts,73,teacher,,heading-department
,,60,unknown,,no-rule-matched
,Science,58,teacher,,heading-department
,Special Services,57,specialist,,heading-special-services
,Language Arts,51,teacher,,heading-department
,Foreign Language,50,teacher,,heading-department
,Social Studies,47,teacher,,heading-department
,Math,45,teacher,,heading-department
,8th Grade:,43,teacher,,heading-department
,Guidance,39,counselor,,heading-guidance
,6th Grade:,35,teacher,,heading-department
,Learning Center/Special Education,35,specialist,,heading-special-services
,Cafeteria:,34,cafeteria,,heading-cafeteria
,Special Education,33,specialist,,heading-special-services
Para,Kindergarten,32,paraprofessional,K,para-title
,Grade 3,31,teacher,3,heading-department
Para,Pre-School,31,paraprofessional,PK,para-title
,7th Grade:,30,teacher,,heading-department
Para,Achieve,28,paraprofessional,,para-title
Para,Achieve Programs,28,paraprofessional,,para-title
,Grade 4,27,teacher,4,heading-department
,Grade 5,27,teacher,5,heading-department
(para),Achieve: Middle School,25,paraprofessional,,para-title
Para,,22,paraprofessional,,para-title
(para),Special Ed. Middle School:,19,paraprofessional,,para-title
Speech,Specialists,19,speech_therapist,,speech
,Paraprofessionals:,17,paraprofessional,,heading-paras
General workers,Food Service,17,cafeteria,,heading-cafeteria
Para,Paraprofessionals,17,paraprofessional,,para-title
Teacher,Kindergarten,17,teacher,K,teacher-title
,Custodial,16,custodian,,heading-custodial
,Special Areas,16,teacher,,heading-department
Para,TLC,16,paraprofessional,,para-title
Secretary,,16,secretary,,clerical
Maintenance,Custodians,15,custodian,,custodial
Nurse,,15,nurse,,nurse
Red,Grade 7,15,teacher,7,heading-department
,Achieve,14,specialist,,heading-special-services
,Ith Grade:,14,teacher,,heading-department
Blue,Grade 4,13,teacher,4,heading-department
Principal,,13,administrator,,principal
Teacher,Pre-School,13,teacher,PK,teacher-title
,Achieve Programs,12,specialist,,heading-special-services
,Achieve: Middle School,12,specialist,,heading-special-services
,Tutors,12,paraprofessional,,heading-paras
Paraprofessional,Achieve:,12,paraprofessional,,para-title
Red,Grade 6,12,teacher,6,heading-department
White,Grade 5,12,teacher,5,heading-department
,Cafeteria Manager,11,cafeteria,,heading-cafeteria
Assistant Principal,,11,administrator,,principal
COTA,Specialists,11,therapist,,ot-pt
Custodian/Night,Custodians,11,custodian,,custodial
White,Grade 4,11,teacher,4,heading-department
,ELL Teachers,10,teacher,,heading-department
,Music,10,teacher,,heading-department
,Physical Education/Health,10,teacher,,heading-department
Learning Center Tutors,SPECIAL SERVICES,10,paraprofessional,,tutor-title
Senior Custodian,Custodians,10,custodian,,custodial
Tutor,Achieve,10,paraprofessional,,tutor-title
Tutors/Aides,Tutors/Aides,10,paraprofessional,,aide-title
White,Grade 6,10,teacher,6,heading-department
,Custodian:,9,custodian,,heading-custodial
,Reading Specialist,9,specialist,,heading-specialists
,Technology IT:,9,technology,,heading-technology
Blue,Grade 5,9,teacher,5,heading-department
Café Manager,Cafeteria,9,cafeteria,,heading-cafeteria
Maintenance,Maintenance,9,custodian,,custodial
PE,Special Areas,9,teacher,,heading-department
Para,Achieve/TLC,9,paraprofessional,,para-title
Principal,Administration/Office/Nurse,9,administrator,,principal
Sped Para,Special Education,9,paraprofessional,,para-title
Teacher,Achieve,9,teacher,,teacher-title
White,Grade 7,9,teacher,7,heading-department
,Extended Day,8,unknown,,no-rule-matched
,Special Ed Paras Middle School,8,paraprofessional,,heading-paras
,Specialists,8,specialist,,heading-specialists
(PE),Specialists: Middle School,8,specialist,,heading-specialists
1B,First Grade Teachers,8,teacher,1,heading-department
1C,First Grade Teachers,8,teacher,1,heading-department
7th,Special Ed. Middle School:,8,unknown,,no-rule-matched
"Art, 114",Special Areas,8,teacher,,heading-department
,Achieve:Middle School,7,specialist,,heading-special-services
,Tutors/Aides,7,paraprofessional,,heading-paras
1A,First Grade Teachers,7,teacher,1,heading-department
Adm. Secretary,Administration/Office/Nurse,7,secretary,,clerical
Asst. Principal,Central Office,7,administrator,,principal
BCBA,Specialists,7,specialist,,interventionist
Gr. 4 Para,Paraprofessionals,7,paraprofessional,4,para-title
Member,Lunenburg School Committee,7,unknown,,no-rule-matched
"Music, 118",Special Areas,7,teacher,,heading-department
Principal,Central Office,7,administrator,,principal
Teacher,Achieve Programs,7,teacher,,teacher-title
Tutors/Aides,SPECIAL EDUCATION,7,paraprofessional,,aide-title
para,Special Ed. Middle School:,7,paraprofessional,,para-title
,"8*"" Grade Teachers",6,teacher,,heading-department
,Art/Library,6,teacher,,heading-department
,Media Specialist,6,specialist,,heading-specialists
,Pre-School,6,teacher,PK,heading-department
1D,First Grade Teachers,6,teacher,1,heading-department
1E,First Grade Teachers,6,teacher,1,heading-department
Cafeteria Manager,Cafeteria,6,cafeteria,,food-service
Café,Cafeteria,6,cafeteria,,heading-cafeteria
Cook/Managers,Food Service,6,cafeteria,,food-service
