fund,name,revenue,salaries,expenditure,encumbered,balance
1312,EXTENDED DAY REVOLVING FUND,192943.21,227220.93,6128.64,0.0,54160.65999999999
'2200,SCHOOL LUNCH REVOLVING,572231.32,217676.1,521910.17,0.0,287770.76999999996
2813,FY25 #240,-0.0,89183.81,140214.52000000002,0.0,-88502.82
1301,CHAPTER 658 REVOLVING FUND,160164.09,24490.190000000002,75976.98999999999,0.0,169944.8
2702,FY25 CSHS INST/SUPRT SALARIES,-0.0,0.0,0.0,0.0,2937.9
2705,FY24 305 TITLE 1 GRANT,-0.0,0.0,0.0,0.0,-0.0
2709,FY12  REG DISSEMINATION GR#321,-0.0,0.0,0.0,0.0,35.0
2713,FY25 TITLE 1 #305,-0.0,0.0,0.0,0.0,33867.6
2727,FY15 TITLE I #305,-0.0,0.0,0.0,0.0,0.4
2728,FY24 TITLE 11 PART A #140,-0.0,0.0,3217.3199999999997,0.0,5107.68
2742,FY17 SPEC ED PRO IMP #274,-0.0,0.0,0.0,0.0,43.0
2748,FY24 117 EVIDENCE,-0.0,0.0,0.0,0.0,-0.0
2750,FY24 TITLE IV-PART A #309,-0.0,0.0,0.0,0.0,-18.5
2755,FY19 TITLE IV #309,-0.0,0.0,0.0,0.0,212.69
2758,FY23 240,-0.0,0.0,1665.9,0.0,-8166.51
2765,FY20 TITLE IIA #140,-0.0,0.0,0.0,0.0,-502.0
2766,FY20 TITLE I #305,-0.0,0.0,0.0,0.0,-200.0
2767,FY20 TITLE IV #309,-0.0,0.0,0.0,0.0,-267.0
2768,FY21 ESSER FUND CODE 113,-0.0,0.0,0.0,0.0,-99.78
2769,FY21 TITLE II #140,-0.0,0.0,0.0,0.0,4.55
2770,FY25 TITLE IV 309,-0.0,0.0,0.0,0.0,1721.25
2771,FY21 TITLE I #305,-0.0,0.0,0.0,0.0,947.51
2772,FY21 SCHOOL REOPENING #102,-0.0,0.0,0.0,0.0,21.63
2778,FY25 117 SOA EVIDENCE BASE,-0.0,0.0,68647.46,0.0,-91220.0
2781,FY22 119 ESSER III FRINGE BENEFIT,-0.0,0.0,0.0,0.0,-1408.46
2787,FY22 TITLE IV PART A #309,-0.0,0.0,0.0,0.0,886.62
2788,FY22 TITLE II #140,-0.0,0.0,0.0,0.0,1995.42
2793,SCHOOL WATER IMPROVEMENT GRANT,-0.0,0.0,0.0,0.0,4001.89
2795,FY23 TITLE IV #309,-0.0,0.0,0.0,0.0,214.0
2796,FY23 TITLE II #140,-0.0,0.0,0.0,0.0,-5680.42
2797,FY23 #719 ACCELERATED LITERACY,-0.0,0.0,0.0,0.0,-0.12
2800,FY25 140   080524093026,-0.0,0.0,2208.0,0.0,-0.0
2809,FY26 117 soa Evidence Based,-0.0,0.0,0.0,0.0,-0.0
2814,FY26 #240,-0.0,0.0,179636.83,0.0,-179636.83
2832,FY25 #274  0205202509302025,-0.0,0.0,5427.0,0.0,0.3500000000003638
2690,FY26 #309 TITLE IV PART A,-0.0,0.0,3240.0,0.0,-3240.0
2622,FY25 FAMILY & COMMUNITY,-0.0,0.0,2477.0,0.0,70800.08
2649,DISPLACED STUDENTS-PUERTO RICO,-0.0,0.0,0.0,0.0,-0.0
2650,UNDER STORAGE TANK GRANT,-0.0,0.0,0.0,0.0,1500.0
2653,FY24 FAMILY & COMMUNITY #237,-0.0,0.0,0.0,0.0,433.7
2667,FY24  #718 ARTS/CULTURAL VITAL,-0.0,0.0,0.0,0.0,11.1
2672,FY26 FAMILY & COMMUNITY 237,48557.87,0.0,13372.28,0.0,35185.590000000004
2681,COMP SCHOOL HEALTH SERV GRANT,10775.0,0.0,5119.55,0.0,5655.45
2903,BC/BS MINI GRANT,-0.0,0.0,0.0,0.0,94.65
2640,SPECIAL ED CIRCUIT BREAKER,325970.0,0.0,4004.52,0.0,615300.6599999999
1303,SUMMER SCHOOL REVOLVING FUND,-0.0,0.0,0.0,0.0,340.0
1305,AFTER SCHOOL ACTIVITIES FUND,111376.22,0.0,95195.63,0.0,148577.68
1306,SCHOOL FACILITIES USE REVOLV,18670.5,0.0,12353.5,0.0,71558.82
1308,SCHOOL CHOICE REVOLVING FUND,83116.5,0.0,30558.24,0.0,299460.97
1300,LOST BOOKS/TECH REV FUND,2860.25,0.0,661.0,0.0,16665.42
1314,VENDING REVOLVING,-0.0,0.0,0.0,0.0,1954.71
1549,TECHNOLOGY FOR SCHOOL CHILDREN,-0.0,0.0,0.0,0.0,10000.0
1310,GREENTHUMB REVOLVING FUND,-0.0,0.0,0.0,0.0,2390.77
1309,INSURANCE RECOVERIES SCHOOL,-0.0,0.0,0.0,0.0,1298.66
2911,TECH PREP PRIVATE GRANT,-0.0,0.0,0.0,0.0,1450.0
2912,TUFTS UNIVERSITY HEAT GRANT,-0.0,0.0,0.0,0.0,113.45
2914,HACH SCIENTIFIC FOUNDATION GR,-0.0,0.0,0.0,0.0,90.61
2903,BC/BS MINI GRANT,-0.0,0.0,0.0,0.0,94.65
1302,ADULT EDUCATION REVOLVING FUND,4000.0,0.0,2880.0,0.0,12743.75
1311,SCHOOL GIFT FUND,22485.91,0.0,2910.68,0.0,109397.82
1315,FAMILY NETWORK GIFT FUND,-0.0,0.0,0.0,0.0,2300.64
2582,EECBG ENERGY EFFICIENCY GRANT,-0.0,0.0,0.0,0.0,316.48
