kind,label,town,athletes,amount,cell,note
line,Coach,,,2542,B6,
line,Practices at Wachusett Mountain,,,1870,B8,
line,Race 1/8/26,,,1195,B11,
line,Race 1/15/26,,,1195,B12,
line,Race 1/22/26,,,1140,B13,
line,Race 1/29/26,,,1195,B14,
line,Race 2/5/26,,,1085,B15,
line,Race 2/12/26,,,1140,B16,
line,Race 2/13/26,,,1030,B17,
total,Total Cost,,14,12392,B19,The workbook's own total; the line items sum to it
per_athlete,Total Cost per Athlete,,1,885.1428571428571,B21,12392 divided by the 14 athletes
share,3 Athletes,Lunenburg,3,2655.4285714285716,B25,Lunenburg's own share — not invoiced to anybody
share,1 Athlete,Littleton,1,885.1428571428571,B29,"$325 paid by the athlete direct to Lunenburg (B30); $560.14 billed to the town (B31)"
share,1 Athlete,Narragansett,1,885.1428571428571,B35,"$325 paid by the athlete direct to Lunenburg (B36); $560.14 billed to the town (B37)"
share,9 Athletes,Leominster,9,7966.285714285714,B40,"Fee covered by Leominster (A41); billed in full (B42)"
