fy,edition,group,fund,page,is_subtotal,columns_as_printed,v1,v2,v3,v4,v5,v6,n_values,ruler_spanned,row_check,derived_cell,columns_tying,status,reconciliation
2011,FY2011,,Zoning Board Consultant Revolving,66,,,11422.58,42103.27,10816.46,,,,3,,one cell missing; derivable from the row itself,"v4 = 42,709.39, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,,Conservation Gift Fund-Cook Farm,66,,,148.00,,148.00,,,,2,,,,0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,,Town Records Gift Fund,66,,,252.35,,252.35,,,,2,,,,0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,,Scholarship Fund,66,,,217.99,,217.99,,,,2,,,,0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,,Sewer Gift Fund,66,,,387.09,,387.09,,,,2,,,,0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,,Insurance Recoveries,66,,,250.98,16780.00,3530.29,,,,3,,one cell missing; derivable from the row itself,"v4 = 13,500.69, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,,Household Hazardous Waste.,66,,,768.76,,768.76,,,,2,,,,0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,School Lunch,66,,,28946.14,572008.13,12200.75,,,,3,,one cell missing; derivable from the row itself,"v4 = 588,753.52, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Title | #305,66,,,20996.29,109758.29,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 130,754.58, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,PL 94-142 #240,66,,,18689.83,377445.35,2240.48,,,,3,,one cell missing; derivable from the row itself,"v4 = 393,894.70, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,PL 99-457,66,,,1.58,1.58,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 3.16, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Chapter 188,66,,,1.37,1.37,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 2.74, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Chapter 493 Emergency Ed. Grant,66,,,3.04,3.04,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 6.08, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,N.C.T.M. Standards,66,,,4.46,4.46,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 8.92, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Gov. Alliance Against Drugs #331,66,,,2222.71,2222.71,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 4,445.42, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Eisenhower Grant,66,,,567.21,567.21,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 1,134.42, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Per Pupil Aid,66,,,279.01,279.01,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 558.02, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
2011,FY2011,SCHOOL DEPARTMENT,Family Math/Science FY 93,66,,,5.15,5.15,0.00,,,,3,,one cell missing; derivable from the row itself,"v4 = 10.30, from this fund's own other three columns",0,check failed,"v2: 5,575,241.30 vs printed 6,048,615.90 (-473,374.60)"
