fy,edition,page,forward,receipts,disbursements,carried,quote
2011,FY2011,67,2688344.09,6127226.48,6048615.90,2766954.67,"GRAND TOTAL row, page 67"
2012,FY2012,67,2766954.67,5976644.29,6680977.17,2062621.79,"GRAND TOTAL row, page 67"
2013,FY2013,71,2062621.79,5844092.35,5697713.47,2209000.67,"GRAND TOTAL row, page 71"
2014,FY2014,33,2209000.67,5443849.18,5052956.22,2599893.63,"GRAND TOTAL row, page 33"
2015,FY2015,33,2599893.63,5285016.77,5180429.68,2704480.72,"GRAND TOTAL row, page 33"
2016,FY2016,35,2704480.72,6543358.01,6074216.03,3173622.70,"GRAND TOTAL row, page 35"
2017,FY2017,33,3173622.70,6383702.24,5993188.58,3564136.36,"GRAND TOTAL row, page 33"
2018,FY2018,39,3564136.36,6246072.62,5837989.85,3972219.13,"GRAND TOTAL row, page 39"
2019,FY2019,39,3972219.13,6391333.14,5787228.78,4576323.49,"GRAND TOTAL row, page 39"
2020,FY2020,35,4576323.49,6465186.53,5445461.13,5596048.89,"GRAND TOTAL row, page 35"
2021,FY2021,35,5596048.89,7088091.52,6269397.74,6414742.67,"GRAND TOTAL row, page 35"
2022,FY2022,37,6414742.67,9235154.01,7004408.01,8645488.67,"GRAND TOTAL row, page 37"
