fy,edition,page,group,fund,forward,receipts,disbursements,carried,row_ties,document,read_by
2022,FY2022,33,GENERAL GOVERNMENT,Regional Assessor Fund,30907.25,,,30907.25,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Conservation Fund,319.59,,,319.59,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Conservation Consultant Revolving,120.50,,,120.50,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Zoning Board Consultant Revolving,10984.46,,,10984.46,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Conservation Gift Fund-Cook Farm,148.00,,,148.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Town Records Gift Fund,252.35,,,252.35,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Scholarship Fund,232.26,,,232.26,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Sewer Gift Fund,387.09,,,387.09,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Insurance Recoveries,5248.03,8787.88,10862.88,3173.03,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Town Hall Chimney Grant,3000.00,,,3000.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,General Government Gift Fund,1110.00,,,1110.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Household Hazardous Waste,768.76,,,768.76,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Town Facilities Use Account,59232.99,33000.00,70506.01,21726.98,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Bond Premium Reserved for Capital,3543.11,,,3543.11,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Continuity of Operations Grant,25000.00,,,25000.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,GENERAL GOVERNMENT,Financial Trend Monitoring Grant,12500.00,,,12500.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,School Lunch,135396.99,823332.15,617818.50,340910.64,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Title I #305,-8676.19,180643.00,147828.75,24138.06,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,PL 94-142 #240,6778.33,276470.00,262803.24,20445.09,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,United Way Venture,40.42,,,40.42,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Recovery for Lost Books,13057.02,840.00,,13897.02,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Chapter 658 School Athletics,189410.67,176475.68,69599.93,296286.42,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,After School Activities,150090.63,147410.73,94460.34,203041.02,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,School Facilities Use,52239.46,8684.63,258.54,60665.55,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Adult Education,8692.75,3330.00,2189.00,9833.75,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Summer School Program,340.00,,,340.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,School Choice,666904.01,113539.00,247275.92,533167.09,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,School Gift Fund,69201.32,21207.39,12555.13,77853.58,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Greenthumb Revolving,1580.77,285.00,,1865.77,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Custodian Special Details,3923.30,579.72,7120.46,-2617.44,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Tech Prep Consortium,1450.00,,,1450.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,BC/BS Healthy Choices,94.65,,,94.65,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,50/50 Grant Sped Tuitions,455562.92,519393.00,548062.69,426893.23,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,33,SCHOOL DEPARTMENT,Insurance Recoveries - School,1298.66,,,1298.66,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Extended Day Revolving Fund,166185.90,256958.76,231131.71,192012.95,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Vending Machine Revolving,1954.71,,,1954.71,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Monbouquette Award,3.81,,,3.81,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Tufts University Heat Grant,113.45,,,113.45,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Underground Storage Tank Grant,1500.00,,,1500.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Hach Scientific Foundation Grant,90.61,,,90.61,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Family Network Gift Fund,2468.64,,168.00,2300.64,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,EECBG Energy Efficiency Grant,298.23,,,298.23,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Regional Dissemination Grant,35.00,,,35.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Early Childhood Grant #262,0.00,12500.00,12500.00,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Program Improvement Grant #274,-1309.80,1643.00,-253.04,586.24,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Teacher Quality #140,26.96,16138.00,16045.46,119.50,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Family & Community Grant #237,0.00,45700.00,45700.00,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Displaced Students - Puerto Rico,10660.63,,,10660.63,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Title IV - Part A #309,2898.72,3816.00,2341.00,4373.72,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY21 Sped Program Improvement #298,0.00,1200.00,,1200.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY21 #117 Evidence Based Learning,-2563.00,15183.00,10936.38,1683.62,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY21 ESSER #113,86.50,,186.28,-99.78,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY21 School Reopening #102,21.63,,,21.63,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Literacy Learning #719/730,0.00,200000.00,199869.36,130.64,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Comprehensive School Health,7928.43,114000.00,99123.05,22805.38,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Interface Referral Gift Fund,3295.00,,,3295.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Technology for School Children Gift Fund,10000.00,,,10000.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Primary School Alarm System Earmark,-25000.00,25000.00,,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 #530 ASOST-Q,0.00,48000.00,48000.00,0.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 #437 Covid 19 Summer Programming,0.00,14610.00,,14610.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 Foundation Reserve,0.00,18799.85,4232.85,14567.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 ESSER II #115,0.00,189623.00,142122.50,47500.50,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 ESSER III #119,0.00,320879.00,214010.57,106868.43,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 ARP Idea #252,0.00,23722.00,23513.75,208.25,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,FY22 Idea ARP #264,0.00,781.00,,781.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,SCHOOL DEPARTMENT,Emergency Connectivity Fund,0.00,,30865.00,-30865.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,PUBLIC SAFETY,Insurance Recoveries - Police,5690.02,22772.62,19725.17,8737.47,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,34,PUBLIC SAFETY,Community Policing FY 96,6.55,,,6.55,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Community Policing FY 97,1.97,,,1.97,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Community Policing FY 98,0.66,,,0.66,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Drug Forfeiture,1720.52,,,1720.52,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,D.A.R.E. Grant FY 97,34.85,,,34.85,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,D.A.R.E. I Grant FY 97,0.25,,,0.25,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Community Policing,2291.12,,,2291.12,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Cops Universal Hiring,1289.84,,,1289.84,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Protective Order Grant Program,135.15,,,135.15,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Walmart Grant - Police Dept.,1000.00,,,1000.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Firefighter PS Equipment Grant,30.00,,,30.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,Firefighter Safety Equipment Grant,9.84,,,9.84,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
2022,FY2022,35,PUBLIC SAFETY,State 911 Grant - Fire Dept,7.00,,,7.00,yes,sources/town-annual-reports/docs/4129-fy-2022-annual-town-report.pdf,vision
