fy,stage,ps,es,ms,hs,ace,total,documents_disagree
2014,actual,153425,0,162721,50819,0,366965,0
2015,actual,178670,0,198917,0,0,377587,0
2016,actual,185668,0,211242,141139,0,538049,0
2017,actual,156078,146275,160585,134526,0,597464,0
2018,actual,169424,122049,214030,136132,0,641635,0
2018,settled,175727,141075,192567,125144,0,634513,0
2019,actual,180165,110231,239852,99700,42924,672872,0
2019,settled,166986,107022,238679,101819,42986,657492,0
2019,proposed,153661,141976,216259,99957,49790,661643,0
2020,actual,299306,137338,288120,130564,23951,879279,0
2020,settled,308967,128497,278502,132009,23928,871903,0
2020,proposed,325603,130986,254654,109172,46512,866927,0
2021,actual,342946,129681,286383,136485,24850,920345,0
2021,settled,342946,129681,286383,136485,24850,920345,0
2021,proposed,342946,129681,286383,136485,24850,920345,0
2022,actual,250935,256591,254106,227509,31864,1021005,0
2022,settled,233325,207180,238575,240844,26309,946233,0
2022,proposed,285734,231508,267527,161890,25810,972469,0
2023,actual,268188,192693,260470,274514,22207,1018072,0
2023,settled,244972,244753,249148,248937,26949,1014759,0
2023,proposed,244972,247052,249148,248937,26949,1017058,0
2024,actual,313996,352507,281867,215465,157886,1321721,0
2024,proposed,293987,248846,311657,286180,30271,1170941,0
2025,actual,268318,244291,371572,294050,66663,1244894,0
2026,settled,424416,225152,373590,275473,43742,1342373,0
2027,proposed,650742,396666,488600,342739,38074,1916821,0
