fy,code,name,registry_name,name_disagrees,ending_cash,ending_market,page,basis,document
2014,,ZONING INCENTIVE STABILIZATION (TL 8129,,,227201.9,227201.9,38,both identities hold,sources/town-budget/ocr/4120-fy-2014-annual-town-report.tsv
2015,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),playground fund,yes,227542.95,227542.95,39,both identities hold,sources/town-budget/ocr/4121-fy-2015-annual-town-report.tsv
2016,,STABILIZATION,,,1511526.92,1551001.18,41,both identities hold,sources/town-budget/ocr/4123-fy-2016-annual-town-report.tsv
2018,,STABILIZATION,,,1740279.81,1732690.98,45,both identities hold,sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2020,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),playground fund,yes,230431.4,230431.4,41,both identities hold,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,8136,VEHICLE/EQUIPMENT STABILIZATION (MAIN STREET),vehicle equipment,,945669.29,945669.29,41,both identities hold,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2020,,STABILIZATION,,,1978347.74,2041061.72,41,both identities hold,sources/town-budget/ocr/4127-fy-2020-annual-town-report.tsv
2022,8129,ZONING INCENTIVE STABILIZATION (TD BANKNORTI,playground fund,yes,231007.68,231007.68,43,both identities hold,sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2025,,VEHICLE/EQUIPMENT STABILIZATION (MAIN STREET),,,2598621.38,2598621.38,37,both identities hold,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,,ZONING INCENTIVE STABILIZATION (TD BANKNORTH),,,249060.25,249060.25,37,both identities hold,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
