fy,page,fund,amount,direction,confidence,quote,document
2017,158,Inflow/Infiltration Stabilization,14520.0,out,clear,"…transfer from the Sewer Reserve Capacity Stabilization Fund the sum of $10,285.00; transfer from the Sewer Inflow/Infiltration Stabilization Fund the sum of $14,520.00; and appropriate from Sewer Enterprise retained earnings the sum of $160,276.94; for a total appropriation of $745,251.00 to operate the Sewer Enterprise Fund for FY18; and further that $911,971.24 be included in…",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2017,158,Sewer Reserve Capacity Stabilization,10285.0,out,clear,"…2/3rds DECLARED to appropriate from Sewer Enterprise revenues the sum of $560,169.06; transfer from the Sewer Reserve Capacity Stabilization Fund the sum of $10,285.00; transfer from the Sewer Inflow/Infiltration Stabilization Fund the sum of $14,520.00; and appropriate from Sewer Enterprise retained earnings the sum of $160,276.94; for a total appropriation of $745,251.00 to operate the…",sources/town-budget/ocr/4124-fy-2017-annual-town-report.tsv
2018,220,Sewer Reserve Capacity Stabilization,6449.63,out,deposit-misread,"…recommends approval. Finance Committee - no direct financial impact. VOTED UNANIMOUSLY to transfer $6,449.63 from the Sewer Enterprise Retained Earnings to the Reserve Capacity Stabilization Fund. ARTICLE 6. To see if the Town will vote to hear an interim report from the Charter Review Committee; or take any other action relative thereto. (Submitted by the Charter Review Committee)…",sources/town-budget/ocr/4125-fy-2018-annual-town-report.tsv
2021,144,Sewer Capital Reserve Stabilization,20000.0,out,clear,"…UNANIMOUS CONSENT to appropriate from Sewer Enterprise revenues the sum of $831,406.99; transfer from the Sewer Capital Reserve Stabilization Fund the sum of $20,000.00; transfer from the Sewer Reserve Capacity Fund the sum of $20,965.40; and appropriate from Sewer Enterprise Retained Earnings the sum of $301,113.71; for a total appropriation of $1,173,486.10 to operate the Sewer Enterprise…",sources/town-budget/ocr/4128-fy-2021-annual-town-report.tsv
2022,75,Sewer Capital Reserve Stabilization,20962.0,out,clear,"…for FY23, $853,112.53 was appropriated from Sewer Enterprise revenues, $20,000.00 transferred from the Sewer Capital Reserve Stabilization Fund, $20,962.00 was transferred from the Sewer Reserve Capacity Fund and the sum of $319,107.47 was appropriated from Retained Earnings for a total appropriation of $1,213,182.00 to operate the Sewer Enterprise Fund for FY23, including the amount of…",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2022,150,Sewer Capital Reserve Stabilization,20000.0,out,maybe-duplicate,"…UNANIMOUS CONSENT to appropriate from Sewer Enterprise revenues the sum of $853,112.53; transfer from the Sewer Capital Reserve Stabilization Fund the sum of $20,000.00; transfer from the Sewer Reserve Capacity Fund the sum of $20,962.00; and appropriate from Sewer Enterprise retained earnings the sum of $319,107.47; for a total appropriation of $1,213,182.00 to operate the Sewer Enterprise…",sources/town-budget/ocr/4129-fy-2022-annual-town-report.tsv
2023,83,Sewer Reserve Capacity Stabilization,382096.7,out,combined,"…Inflow/Infiltration fund, $35,000 from the Sewer Capital Reserve Stabilization fund, $20,962.40 from the Sewer Reserve Capacity Stabilization fund and the sum of $382,096.70 was appropriated from Re- tained Earnings for a total appropriation of $1,339,850.95 to operate the Sewer Enterprise Fund for FY23. The amount of $746,348.15 was approved to cover both the Enterprise Fund's share of Town…",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,83,Sewer Capital Reserve Stabilization,20962.4,out,maybe-duplicate,"…from Sewer Enterprise revenues, $9,900 was transferred from the Inflow/Infiltration fund, $35,000 from the Sewer Capital Reserve Stabilization fund, $20,962.40 from the Sewer Reserve Capacity Stabilization fund and the sum of $382,096.70 was appropriated from Re- tained Earnings for a total appropriation of $1,339,850.95 to operate the Sewer Enterprise Fund for FY23. The amount of $746,348.15…",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,169,Sewer Capital Reserve Stabilization,35000.0,out,clear,"…transfer from the Inflow/Infiltration Stabilization Fund the sum of $9,900.00; transfer from the Sewer Capital Reserve Stabilization Fund the sum of $35,000.00; transfer from the Sewer Reserve Capacity Stabilization Fund the sum of $20,962.40; and appropriate from Sewer Enterprise retained earnings the sum of $382,096.70 for a total appropriation of $1,339,850.95 to operate the Sewer…",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,169,Sewer Reserve Capacity Stabilization,20962.4,out,clear,"…transfer from the Sewer Capital Reserve Stabilization Fund the sum of $35,000.00; transfer from the Sewer Reserve Capacity Stabilization Fund the sum of $20,962.40; and appropriate from Sewer Enterprise retained earnings the sum of $382,096.70 for a total appropriation of $1,339,850.95 to operate the Sewer Enterprise Fund for F Y24; and further that $740,368.15 be included in…",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2023,169,Inflow/Infiltration Stabilization,9900.0,out,clear,"…VOTED (72 YES, 8 NO) to appropriate from Sewer Enterprise revenues the sum of $89,891.85; transfer from the Inflow/Infiltration Stabilization Fund the sum of $9,900.00; transfer from the Sewer Capital Reserve Stabilization Fund the sum of $35,000.00; transfer from the Sewer Reserve Capacity Stabilization Fund the sum of $20,962.40; and appropriate from Sewer Enterprise retained earnings the sum…",sources/town-budget/ocr/4131-fy-2023-annual-town-report.tsv
2024,140,Health Insurance Stabilization,105762.48,out,clear,"…Turf Revolving Fund, transfer $27,929.97 from the PEG Access and Cable Related Enterprise Fund, transfer $105,762.48 from the Health Insurance Stabilization Account, transfer $100,000 from 140",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
