department,person,title,did,source
Accounting Department,Jacqueline  Thibeau,Assistant Town Accountant,6,"town staff directory, /m/directory/department?did=6"
Accounting Department,Karen Barrett,Finance Director/Town Accountant,6,"town staff directory, /m/directory/department?did=6"
Americans with Disabilities Committee,Heather Gleason,"Member, Americans with Disabilities",49,"town staff directory, /m/directory/department?did=49"
Animal Control Department,Kathleen Comeau,Animal Control Officer,8,"town staff directory, /m/directory/department?did=8"
Assessor's Department,Brian Fernandes,Principal Assessor,9,"town staff directory, /m/directory/department?did=9"
Assessor's Department,Robin Nano,Administrative Assessing Assistant,9,"town staff directory, /m/directory/department?did=9"
Board of Health Department,Andrea Schnepf,Administrative Assistant,16,"town staff directory, /m/directory/department?did=16"
Board of Health Department,Cara Olejarz,Nashoba District Sanitarian,16,"town staff directory, /m/directory/department?did=16"
Building Department,Brian Gingras,Building Commissioner & Fence Viewer,10,"town staff directory, /m/directory/department?did=10"
Building Department,William Hezlitt,Alternate Building Inspector,10,"town staff directory, /m/directory/department?did=10"
Cemetery Commission,James Versoi,Seasonal Cemetery Laborer,18,"town staff directory, /m/directory/department?did=18"
Cemetery Commission,Peter Schmidt,Seasonal Cemetery Laborer,18,"town staff directory, /m/directory/department?did=18"
Cemetery Commission,Todd Holman,Cemetery Superintendent,18,"town staff directory, /m/directory/department?did=18"
Conservation Commission,Herlin Jaime,Conservation Agent,24,"town staff directory, /m/directory/department?did=24"
Council on Aging,Brandie O'Toole,Meal Site Manager,25,"town staff directory, /m/directory/department?did=25"
Council on Aging,Dave Gallagher,Van Driver,25,"town staff directory, /m/directory/department?did=25"
Council on Aging,Debra Goodsell,Director,25,"town staff directory, /m/directory/department?did=25"
Council on Aging,Janet Robbins,Outreach Coordinator,25,"town staff directory, /m/directory/department?did=25"
Council on Aging,Kimberly Moore,Van Driver,25,"town staff directory, /m/directory/department?did=25"
Council on Aging,Mark Riccardi,Van Driver,25,"town staff directory, /m/directory/department?did=25"
Council on Aging,Michele Beauvais,Administrative Assistant,25,"town staff directory, /m/directory/department?did=25"
Department of Public Works,Andrew Valliere,Sewer Business Manager,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Autumn Buck,Heavy Equipment Operator,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Bill Bernard,Director & Tree Warden,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Heath Thompson,Heavy Equipment Operator,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Jack Welch,Heavy Equipment Operator,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Jane Ranley,Board Clerk/Secretary,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Jim Sticklor,Mechanic,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Joseph Progin,Highway Superintendent,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Mason Cooper,Laborer,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Michael  Gale,Principal Clerk,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Robert Walsh,Heavy Equipment Operator,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Samantha Tucker,Executive Assistant,26,"town staff directory, /m/directory/department?did=26"
Department of Public Works,Susan Sullivan,Assistant to the Sewer Business Manager,26,"town staff directory, /m/directory/department?did=26"
Electrical Inspector,Baron Bowser,Electrical Inspector,11,"town staff directory, /m/directory/department?did=11"
Electrical Inspector,Jack  Biery,Assistant Electrical Inspector,11,"town staff directory, /m/directory/department?did=11"
"Facilities, Grounds, & Recreation Department",Allan Smith,Facilities Custodian,12,"town staff directory, /m/directory/department?did=12"
"Facilities, Grounds, & Recreation Department",Chris Ruth,Facilities Director,12,"town staff directory, /m/directory/department?did=12"
"Facilities, Grounds, & Recreation Department",Don Gagne,Facilities Superintendent,12,"town staff directory, /m/directory/department?did=12"
"Facilities, Grounds, & Recreation Department",Krista Deveau,Recreation Director,12,"town staff directory, /m/directory/department?did=12"
Fire Department,Alan Hyatt,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Andrew Bolton,ALS Coordinator/Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Andrew Burr,Chaplain,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Anthony Russo,On Call Firefighter/EMT,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Austin  Flagg,Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Carl Gamberdella,Asst. Fire Prevention Officer/Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Christos Lekaditis,Lieutenant/Fire Prevention Officer,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Cory Lopez,On Call Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Daniel Motyka,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Danny Sanchez-Morfin,On Call Firefighter/EMT,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Frank Byrne,Firefighter/Paramedic (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Gregory Dik,Firefighter/EMT,13,"town staff directory, /m/directory/department?did=13"
Fire Department,James Ricci,Firefighter (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Jared Wayne,On Call Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Jason Boyle,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Jenny Smith,EMS Coordinator/Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,John Massak,EMT,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Jonathan Pinard,On Call Firefighter/EMT,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Jorge Baiz-Nogue,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Joseph Bernardini,Call Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Karen Weller,Administrative Assistant/Keeper of Records,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Ken Jones,Captain,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Larissa  Couture,Firefighter/EMT,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Mark Bursch,Firefighter Captain/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Matthew Benoit,Firefighter/Advanced EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Matthew Glenny,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Melissa Buchanan,Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Michael Byrne,Firefighter/Advanced EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Mitchell Mabardy,Firefighter/Paramedic (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Olivia Hayes,SAFE Coordinator/Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Patrick Sullivan,Chief & Forest Warden,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Paul Duquette,Firefighter Lieutenant/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Peter Hyatt,Firefighter Deputy Chief/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Phillip D'Entremont,Firefighter/Paramedic (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Robert Barrett,Firefighter/Paramedic (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Ronald Hyatt,Firefighter/Paramedic (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Samuel Johnson,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Scott Dillon,Lieutenant,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Skyler Kozloski,Firefighter Lieutenant/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Stephen Morse,Firefighter/Paramedic,13,"town staff directory, /m/directory/department?did=13"
Fire Department,Timothy Downey,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Timothy O'Connell,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Tyler Pelkey,Firefighter/Paramedic (On Call),13,"town staff directory, /m/directory/department?did=13"
Fire Department,Tyler Thibodeau,Firefighter/EMT (On Call),13,"town staff directory, /m/directory/department?did=13"
Human Resources Department,Julie Belliveau,Human Resources Director,14,"town staff directory, /m/directory/department?did=14"
Human Resources Department,Kimberly Gauvin,Payroll & Benefits Coordinator,14,"town staff directory, /m/directory/department?did=14"
Information Technology Department,Casey Chisholm (Suzor IT),IT Director,19,"town staff directory, /m/directory/department?did=19"
Parks Commission,Anthony Senesi,"Board Clerk/Secretary, Parks Commission",38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Ean Laundree,Lifeguard,38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Elizabeth Simeone,Beach Director,38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Ethan Gengler,Lifeguard,38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Krista Deveau,Recreation Director,38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Mason Bowser,Lifeguard,38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Nicholas Coronella,Lifeguard,38,"town staff directory, /m/directory/department?did=38"
Parks Commission,Paige Gengler,Lifeguard,38,"town staff directory, /m/directory/department?did=38"
Personnel Committee,Julie  Belliveau,Non-Voting Member,39,"town staff directory, /m/directory/department?did=39"
Planning Board Department,Leigh Bain,"Administrative Assistant, Planning and Zoning Board of Appeals",40,"town staff directory, /m/directory/department?did=40"
Planning Board Department,Stephen Wallace,Director of Planning and Economic Development,40,"town staff directory, /m/directory/department?did=40"
Plumbing / Gas Inspector,Gary Williams,Plumbing and Gas Inspector,21,"town staff directory, /m/directory/department?did=21"
Plumbing / Gas Inspector,Jeremy Pierce,Alternate Plumbing and Gas Inspector,21,"town staff directory, /m/directory/department?did=21"
Police Department,Andrew Fields,Civilian Traffic Member,22,"town staff directory, /m/directory/department?did=22"
Police Department,Anthony Cappucci,Sergeant,22,"town staff directory, /m/directory/department?did=22"
