fy,page,order,post,kind,section,section_basis,stated_members,person,vacancies,term_expires,note,size_check
2016,8,1,Board of Assessors,board seat,elected,,,Louis J. Franco,0,2017,,no check
2016,8,2,Board of Assessors,board seat,elected,,,Richard H. Letarte,0,2018,,no check
2016,8,3,Board of Assessors,board seat,elected,,,Rena Swezey,0,2019,,no check
2016,8,4,Board of Health,board seat,elected,,5,George Emond,0,2018,,checked
2016,8,5,Board of Health,board seat,elected,,5,Paul J. Fortin,0,2017,,checked
2016,8,6,Board of Health,board seat,elected,,5,Perry R. Jewell,0,2017,,checked
2016,8,7,Board of Health,board seat,elected,,5,David M. Passios,0,2018,,checked
2016,8,8,Board of Health,board seat,elected,,5,James J. Auge,0,2019,,checked
2016,8,9,Board of Selectmen,board seat,elected,,,Thomas A. Alonzo,0,2017,,no check
2016,8,10,Board of Selectmen,board seat,elected,,,Paula J. Bertram,0,2018,,no check
2016,8,11,Board of Selectmen,board seat,elected,,,Robert J. Ebersole,0,2019,,no check
2016,8,12,Board of Selectmen,board seat,elected,,,Phyllis M. Luck,0,2017,,no check
2016,8,13,Board of Selectmen,board seat,elected,,,James E. Toale,0,2019,,no check
2016,8,14,Cemetery Commission,board seat,elected,,,Lance D. May,0,2019,,no check
2016,8,15,Cemetery Commission,board seat,elected,,,Lorraine Mendoza,0,2018,,no check
2016,8,16,Cemetery Commission,board seat,elected,,,G. Stephen Schaff,0,2017,,no check
2016,8,17,Constable,board seat,elected,,,John E. Baker,0,2019,,no check
2016,8,18,Housing Authority,board seat,elected,,5,Deborah A. H. Christen,0,2018,,check failed
2016,8,19,Housing Authority,board seat,elected,,5,Paul J. Doherty,0,2020,,check failed
2016,8,20,Housing Authority,board seat,elected,,5,Caroline Fortin,0,2019,,check failed
2016,8,21,Housing Authority,board seat,elected,,5,Linda M. McDonald,0,2021,,check failed
2016,8,22,Library Trustees,board seat,elected,,,Harry Kubitz,0,2017,,no check
2016,8,23,Library Trustees,board seat,elected,,,Richard N. Mailloux,0,2019,,no check
2016,8,24,Library Trustees,board seat,elected,,,Kiirja Paananen,0,2018,,no check
