fy,account,name,balance,ledger_balance,ledger_agrees,page,document
2024,8001,Perpetual Care Bequests,228202.91,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8001,Perpetual Care Income - Expendable,17226.88,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Charles Dickerson Library,3000.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Catherine Watson Library,2000.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Francis Caldwell Library,500.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Susan Dickinson Library,500.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Emma Dimond Library Books,300.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,August Taylor Library Books,300.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Stephen Stickney Library,2000.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Lizzie Taylor Library Books,300.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Ebenezer Bailey Library,500.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8114,Library Trust Funds - Expendable,63440.77,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8120,Wakefield Scholarship - Expendable,143.86,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8122,Chester Mossman Teen Center - Expendable,1896.71,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8125,Conservation Land Purchase,21650.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8125,R. Burton Conservation,501.48,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8125,H. Benjamin Conservation,232.72,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8125,G. Hubbard Conservation,161.7,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8125,I. Kimball Conservation,90.85,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8125,Conservation Trust Funds - Expendable,920200.47,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8126,Playground Fund - Expendable,88.13,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8127,C. Allen Headstone,100.0,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8127,C. Allen Headstone - Expendable,300.14,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8129,Zoning Incentive Stabilization Fund - Expendable,243063.42,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8132,Reserve Capacity Stabilization Fund - Expendable,9209.87,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8133,Sewer I/l Stabilization Fund - Expendable,5465.18,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8135,Sacksen Scholarship - Expendable,1524.86,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,8136,Vehicle/Equipment Stabilization Fund - Expendable,2254933.99,,,29,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2025,8117,Ryan Busque Scholarship Fund,10437.06,10437.06,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8118,Philip Crouse Scholarship Fund,80.96,80.96,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8119,Athletic Booster Trust Fund,13143.89,13143.89,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8120,Wakefield Scholarship,49.86,49.86,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8121,Sidewalks and Ground Trust,21321.88,21321.88,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8122,Chester Mossman Trust Fund,1946.79,1946.79,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8123,Worthy Poor Fundsa,33959.69,33959.69,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8124,Stabilization Fund,3147178.96,3147178.96,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8125,Conservation Trust fund,967726.65,967726.65,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8126,Playground Fund,91.78,91.78,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8127,C Allen Headstone Trust,160.63,160.63,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8128,Gazebo Restoration Trust,10295.86,10295.86,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8129,Zoning Stabilization Fund,249060.25,249060.25,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8130,Barbara Nelson Scholarship,25.43,25.43,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8131,American Legion Post 283 Trust,8341.99,8341.99,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8132,Sewer Reserve Capcity Fund,9314.06,9314.06,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8133,Sewer I/l Stabilization Fund,5516.23,5516.23,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8134,Czelusniak Scholarship Fund,13.03,13.03,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8135,Linde Sacksen Scholarship Fund,1225.6,1225.6,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8136,Vehicles/Equipment Stabilization,2598621.38,2598621.38,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8137,Opeb Trust Fund,1649190.51,1649190.51,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8138,Sewer Capital Reserve Stabilization,191679.2,191679.2,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8139,Pete Lincoln Scholarship Fund,13336.08,13336.08,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8141,Opioid Settlement Stabilization,241421.18,241421.18,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8142,Vincent Joseph Fund,14565.06,14565.06,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8143,Geof Lucier Scholarship,68603.47,71370.04,no,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,8144,• Compensated Absences fund,10000.0,10000.0,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,9000,Regional Assessor Account,30907.25,30907.25,yes,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,9001,Police/Fire Special Detail,22954.77,-25436.07,no,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,9002,Custodian Special Detail,18508.49,-18768.85,no,31,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
