dataset,edition,report_fy,document,page,table,table_fiscal_year,column_year,label,kind,levy_percent,levy_from_percent,valuation,tax_rate,tax_levy,value,share_percent,added_valuation,new_revenue,change_percent,prior_value,columns_as_printed,repaired,status,reconciliation
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,major_class,2011,,Residential,row,89.7442,,1000004500.0,16.16,16160072.72,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: the printed TOTALS cell '1,114,2828,889' is itself the misread -- the class rows sum to 1,114,282,889.00 ; valuation: 1,114,282,889.00 = the printed total ; tax_levy: 18,006,811.48 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,major_class,2011,,Open Space,row,0.0,,,16.16,,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: the printed TOTALS cell '1,114,2828,889' is itself the misread -- the class rows sum to 1,114,282,889.00 ; valuation: 1,114,282,889.00 = the printed total ; tax_levy: 18,006,811.48 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,major_class,2011,,Commercial,row,5.7898,,64514700.0,16.16,1042557.55,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: the printed TOTALS cell '1,114,2828,889' is itself the misread -- the class rows sum to 1,114,282,889.00 ; valuation: 1,114,282,889.00 = the printed total ; tax_levy: 18,006,811.48 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,major_class,2011,,Industrial,row,1.9398,,21614900.0,16.16,349296.78,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: the printed TOTALS cell '1,114,2828,889' is itself the misread -- the class rows sum to 1,114,282,889.00 ; valuation: 1,114,282,889.00 = the printed total ; tax_levy: 18,006,811.48 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,major_class,2011,,Personal Property,row,2.5262,,28148789.0,16.16,454884.43,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: the printed TOTALS cell '1,114,2828,889' is itself the misread -- the class rows sum to 1,114,282,889.00 ; valuation: 1,114,282,889.00 = the printed total ; tax_levy: 18,006,811.48 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,major_class,2011,,TOTALS,total,100.0,,1114282889.0,16.16,18006811.48,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,"valuation: the TOTALS cell read '1,114,2828,889'; the class rows sum to 1,114,282,889.00, one or two glyphs away",checked,"valuation: the printed TOTALS cell '1,114,2828,889' is itself the misread -- the class rows sum to 1,114,282,889.00 ; valuation: 1,114,282,889.00 = the printed total ; tax_levy: 18,006,811.48 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2011,,2011,row,,,,14.2,,,,13291045.0,188732.0,44.98,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2010,,2010,row,,,,13.04,,,,9982315.0,130170.0,-5.78,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2009,,2009,row,,,,12.23,,,,5077276.0,138168.0,-34.74,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,check failed,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2008,,2008,row,,,,12.13,,,,17455441.0,211735.0,-28.24,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2007,,2007,row,,,,12.41,,,,23809803.0,295074.0,-9.34,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2006,,2006,row,,,,13.34,,,,24399133.0,325484.0,-28.05,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2005,,2005,row,,,,14.2,,,,31855300.0,452345.0,32.36,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2011,2011,4117-fy-2011-annual-town-report.pdf,12,new_growth,2004,,2004,row,,,,13.12,,,,26046400.0,341729.0,8.5,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,major_class,2012,,Residential,row,89.9729,,1008566509.0,16.83,16974174.35,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,120,966,561.00 = the printed total ; tax_levy: 18,865,867.23 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,major_class,2012,,Open Space,row,0.0,,,16.83,,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,120,966,561.00 = the printed total ; tax_levy: 18,865,867.23 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,major_class,2012,,Commercial,row,5.6704,,63563291.0,16.83,1069770.19,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,120,966,561.00 = the printed total ; tax_levy: 18,865,867.23 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,major_class,2012,,Industrial,row,1.8201,,20402900.0,16.83,343380.81,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,120,966,561.00 = the printed total ; tax_levy: 18,865,867.23 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,major_class,2012,,Personal Property,row,2.5366,,28433861.0,16.83,478541.88,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,120,966,561.00 = the printed total ; tax_levy: 18,865,867.23 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,major_class,2012,,TOTALS,total,100.0,,1120966561.0,16.83,18865867.23,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,120,966,561.00 = the printed total ; tax_levy: 18,865,867.23 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2011,,2011,row,,,,14.2,,,,13291045.0,188732.0,44.98,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2010,,2010,row,,,,13.04,,,,9982315.0,130170.0,-5.78,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2009,,2009,row,,,,12.23,,,,5077276.0,138168.0,-34.74,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,check failed,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2008,,2008,row,,,,12.13,,,,17455441.0,211735.0,-28.24,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2007,,2007,row,,,,12.41,,,,23809803.0,295074.0,-9.34,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2006,,2006,row,,,,13.34,,,,24399133.0,325484.0,-28.05,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2005,,2005,row,,,,14.2,,,,31855300.0,452345.0,32.36,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2012,2012,4118-fy-2012-annual-town-report.pdf,10,new_growth,2004,,2004,row,,,,13.12,,,,26046400.0,341729.0,8.5,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,major_class,2013,,Residential,row,89.842,,1016139357.0,17.3,17579210.88,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,131,029,744.00 = the printed total ; tax_levy: 19,566,814.57 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,major_class,2013,,Open Space,row,0.0,,,17.3,,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,131,029,744.00 = the printed total ; tax_levy: 19,566,814.57 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,major_class,2013,,Commercial,row,5.7668,,65224243.0,17.3,1128379.4,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,131,029,744.00 = the printed total ; tax_levy: 19,566,814.57 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,major_class,2013,,Industrial,row,1.794,,20290900.0,17.3,351032.57,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,131,029,744.00 = the printed total ; tax_levy: 19,566,814.57 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,major_class,2013,,Personal Property,row,2.5972,,29375244.0,17.3,508191.72,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,131,029,744.00 = the printed total ; tax_levy: 19,566,814.57 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,major_class,2013,,TOTALS,total,100.0,,1131029744.0,17.3,19566814.57,,,,,,,Property Class | Levy Percent | Valuation by Class | Tax Rate | Tax Levy,,checked,"valuation: 1,131,029,744.00 = the printed total ; tax_levy: 19,566,814.57 = the printed total ; levy percent: the class shares sum to 100.0000 ; valuation x rate / 1000 = levy holds on every class row"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2012,,2012,row,,,,16.83,,,,19124255.0,321862.0,70.54,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2011,,2011,row,,,,14.2,,,,13291045.0,188732.0,44.98,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2010,,2010,row,,,,13.04,,,,9982315.0,130170.0,-5.78,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2009,,2009,row,,,,12.23,,,,5077276.0,138168.0,-34.74,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,check failed,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2008,,2008,row,,,,12.13,,,,17455441.0,211735.0,-28.24,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2007,,2007,row,,,,12.41,,,,23809803.0,295074.0,-9.34,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
valuation,FY2013,2013,4119-fy-2013-annual-town-report.pdf,10,new_growth,2006,,2006,row,,,,13.34,,,,24399133.0,325484.0,-28.05,,Fiscal Year | Added Valuation | Tax Rate | New Revenues | Change (%),,checked,"added valuation x rate / 1000 = new revenue holds on 7 of 8 rows; fails on 2009 (62,095 against a printed 138,168)"
