video_id,channel_rank,title,url,title_stem,kind,category,board_count,meeting_date,date_source,date_flag,note,classification_source,classified_by,classified_at
euQG57Zrac0,0,Finance Committee 09.24.26,https://www.youtube.com/watch?v=euQG57Zrac0,Finance Committee,meeting,regular,1,2026-09-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
kNEMWtxiZOM,1,Trust Funds Commission 09.24.26,https://www.youtube.com/watch?v=kNEMWtxiZOM,Trust Funds Commission,meeting,regular,1,2026-09-24,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
TwY3W18bNzM,2,"Open Meeting Law, Conflict of Interest Law & Public Records Law Workshop 09.23.26",https://www.youtube.com/watch?v=TwY3W18bNzM,"Open Meeting Law, Conflict of Interest Law & Public Records Law Workshop",undetermined,,0,2026-09-23,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
zKMLA7kBTnI,3,Water District 09.23.26,https://www.youtube.com/watch?v=zKMLA7kBTnI,Water District,meeting,regular,1,2026-09-23,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
8JmJ1wh7HCY,4,Board of Assessors 09.23.26,https://www.youtube.com/watch?v=8JmJ1wh7HCY,Board of Assessors,meeting,regular,1,2026-09-23,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
xMnvUglkNO0,5,Health Update - Fall 2026,https://www.youtube.com/watch?v=xMnvUglkNO0,Health Update - Fall 2026,undetermined,,0,,unknown,,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
uXzVaiUhtzw,6,Stormwater Task Force 09.21.26,https://www.youtube.com/watch?v=uXzVaiUhtzw,Stormwater Task Force,meeting,regular,1,2026-09-21,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
aJWq6GB5GYc,7,Personnel Committee 09.21.26,https://www.youtube.com/watch?v=aJWq6GB5GYc,Personnel Committee,meeting,regular,1,2026-09-21,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
MdHSKqTjxjk,8,Municipal Building Design Committee 09.21.26,https://www.youtube.com/watch?v=MdHSKqTjxjk,Municipal Building Design Committee,meeting,regular,1,2026-09-21,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
c7UVX-KNCWg,9,POW/MIA Recognition Day 09.18.26,https://www.youtube.com/watch?v=c7UVX-KNCWg,POW/MIA Recognition Day,undetermined,,0,2026-09-18,title (mm.dd.yy),,no decision recorded,no decision recorded,claude-opus-5 (1M context),2026-09-08
KXzIph3Demg,10,Conservation Commission 09.16.26,https://www.youtube.com/watch?v=KXzIph3Demg,Conservation Commission,meeting,regular,1,2026-09-16,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
XY8Ru12S9Xg,11,School Committee 09.16.26,https://www.youtube.com/watch?v=XY8Ru12S9Xg,School Committee,meeting,regular,1,2026-09-16,title (mm.dd.yy),,,model,claude-opus-5 (1M context),2026-09-08
