channel_rank,video_id,title,url,uploaded,duration_s,view_count,indexed_at
0,hP8ecY6jds4,Lunenburg Remembers Kevin Szocik on Patriot Day 09.11.26,https://www.youtube.com/watch?v=hP8ecY6jds4,2026-09-11,,,2026-09-12T01:33:01Z
1,7wCeOTdyvdc,Trust Funds Commission 09.10.26,https://www.youtube.com/watch?v=7wCeOTdyvdc,2026-09-11,,,2026-09-12T01:33:01Z
2,Qimi3yNAudg,Board of Assessors 09.09.26,https://www.youtube.com/watch?v=Qimi3yNAudg,2026-09-10,,,2026-09-12T01:33:01Z
3,tKWYbMFWJtI,School Committee 09.09.26,https://www.youtube.com/watch?v=tKWYbMFWJtI,2026-09-10,,,2026-09-12T01:33:01Z
4,qp-NjUCVwuc,Open Space Committee 09.09.26,https://www.youtube.com/watch?v=qp-NjUCVwuc,2026-09-10,,,2026-09-12T01:33:01Z
5,wkIczMuIDqA,Water District 09.08.26,https://www.youtube.com/watch?v=wkIczMuIDqA,2026-09-09,,,2026-09-12T01:33:01Z
6,BgwomyYoCJk,Stormwater Task Force 09.08.26 Part 2,https://www.youtube.com/watch?v=BgwomyYoCJk,2026-09-09,,,2026-09-12T01:33:01Z
7,rGZsddKMXyM,Stormwater Task Force 09.08.26 Part 1,https://www.youtube.com/watch?v=rGZsddKMXyM,2026-09-09,,,2026-09-12T01:33:01Z
8,VMfaXMyKBII,Sewer Commission 09.08.26,https://www.youtube.com/watch?v=VMfaXMyKBII,2026-09-09,,,2026-09-12T01:33:01Z
9,f1AbB5ZEQ5Q,PACC 09.08.26,https://www.youtube.com/watch?v=f1AbB5ZEQ5Q,2026-09-09,,,2026-09-12T01:33:01Z
10,z6Wp_dJsdtA,Council on Aging  09.08.26,https://www.youtube.com/watch?v=z6Wp_dJsdtA,2026-09-08,,,2026-09-12T01:33:01Z
11,x4HDKD0Ol7c,Personnel Committee 09.03.26,https://www.youtube.com/watch?v=x4HDKD0Ol7c,2026-09-08,,,2026-09-12T01:33:01Z
12,MHKqD8QEBnU,"Open for Business - Ruby Donut, Season 1 Episode 4",https://www.youtube.com/watch?v=MHKqD8QEBnU,,207,142,2026-09-08T16:42:02Z
13,UgUpJJb4cPw,Special Town Meeting 09.03.26,https://www.youtube.com/watch?v=UgUpJJb4cPw,,7111,379,2026-09-08T16:42:02Z
14,9E1d1VRhxCs,Conservation Commission 09.02.26,https://www.youtube.com/watch?v=9E1d1VRhxCs,,4531,68,2026-09-08T16:42:02Z
15,9SuAiiwPAC0,"Book Club  - Season 1, Episode 7",https://www.youtube.com/watch?v=9SuAiiwPAC0,,1181,223,2026-09-08T16:42:02Z
16,kG4KE9VgCdY,Select Board 09.01.26,https://www.youtube.com/watch?v=kG4KE9VgCdY,,6340,297,2026-09-08T16:42:02Z
17,DcEdUB3CsCU,Personnel Committee 08.31.26,https://www.youtube.com/watch?v=DcEdUB3CsCU,,4386,111,2026-09-08T16:42:02Z
18,N5dSxGy3zZs,Stormwater Task Force 08.31.26,https://www.youtube.com/watch?v=N5dSxGy3zZs,,5833,59,2026-09-08T16:42:02Z
19,kY5j-uu0MRo,Municipal Building Design Committee 08.31.26,https://www.youtube.com/watch?v=kY5j-uu0MRo,,5400,70,2026-09-08T16:42:02Z
20,dK-gjM3mlsA,"Lunenburg Storytime - The Books We Love, Season 7 Episode 1",https://www.youtube.com/watch?v=dK-gjM3mlsA,,1990,45,2026-09-08T16:42:02Z
21,guec8XH_xQc,Touch-A-Truck 08.28.26,https://www.youtube.com/watch?v=guec8XH_xQc,,155,62,2026-09-08T16:42:02Z
22,LGdwK249dSA,Finance Committee 08.27.26,https://www.youtube.com/watch?v=LGdwK249dSA,,7308,177,2026-09-08T16:42:02Z
23,gzjEdL1J5N0,Water District 08.26.26,https://www.youtube.com/watch?v=gzjEdL1J5N0,,2402,78,2026-09-08T16:42:02Z
24,lO_rw3eY5D8,Trust Funds Commission 08.27.26,https://www.youtube.com/watch?v=lO_rw3eY5D8,,5185,179,2026-09-08T16:42:02Z
25,J_kvfs3s0UE,School Committee 08.26.26,https://www.youtube.com/watch?v=J_kvfs3s0UE,,6588,233,2026-09-08T16:42:02Z
26,myQGZh_udNc,Parks Commission 08.26.26,https://www.youtube.com/watch?v=myQGZh_udNc,,4024,53,2026-09-08T16:42:02Z
