"sy","dist_code","dist_name","ind_cat","ind_subcat","ind_value","ind_value_type"
"2025","01620000","Lunenburg","Student Enrollment","In-District FTE Pupils","1568.9","Count"
"2025","01620000","Lunenburg","Student Enrollment","Out-of-District FTE Pupils","97.0","Count"
"2025","01620000","Lunenburg","Student Enrollment","Total FTE Pupils","1665.9","Count"
"2025","01620000","Lunenburg","Student Demographics","English learner % Headcount","3.5","Percent"
"2025","01620000","Lunenburg","Student Demographics","Low-Income % Headcount","23.3","Percent"
"2025","01620000","Lunenburg","Student Demographics","Student Headcount","1563.0","Count"
"2025","01620000","Lunenburg","Student Demographics","Students with disabilities % Headcount","15.8","Percent"
"2025","01620000","Lunenburg","Teacher Salaries","Average Teacher Salary","97233.0","Amount"
"2025","01620000","Lunenburg","Teacher Salaries","Teacher FTE","105.1","Count"
"2025","01620000","Lunenburg","Teacher Salaries","Teachers per 100 FTE students","6.7","Count"
"2025","01620000","Lunenburg","Other Staff","Instructional Coach FTE","1.0","Count"
"2025","01620000","Lunenburg","Other Staff","Instructional Support FTE","11.5","Count"
"2025","01620000","Lunenburg","Other Staff","Paraprofessional FTE","67.0","Count"
"2025","01620000","Lunenburg","Other Staff","Special Education Instructional Support FTE","0.0","Count"
"2025","01620000","Lunenburg","MCAS Performance","ELA Grade 10 % Meets or Exceeds","57.0","Percent"
"2025","01620000","Lunenburg","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","45.9","Percent"
"2025","01620000","Lunenburg","MCAS Performance","Math Grade 10 % Meets or Exceeds","50.9","Percent"
"2025","01620000","Lunenburg","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","46.2","Percent"
"2025","01620000","Lunenburg","Expenditures Per Pupil","Administration","581.0","Amount"
"2025","01620000","Lunenburg","Expenditures Per Pupil","Guidance, Counseling and Testing","677.0","Amount"
"2025","01620000","Lunenburg","Expenditures Per Pupil","Instructional Leadership","1109.0","Amount"
